disease_target_phase,primary_use_case,assay_aim,assay_target,target_analyte,drug_resistance_target,other_drug_resistance_target,validated_sample_types,other_validated_sample_type,submission_id,submission_title,manufacturer,country,region,stage_of_development,regulatory_status,other_regulatory_status,target_pathogen,planned_market_entry,type_of_technology,technology_principle,test_format,instrument_requirement,lab_vs_poc,readout_technology,resistance_marker,other_test_format,level_of_automation,self_testing_self_collection,time_to_results_excl_prep,test_to_be_listed_on_finds_web_page,data_to_be_published_on_finds_web_page,target_patient_group,type_data_source,study_type,performance_submission_title,sensitivity,sensitivity_ci_low,sensitivity_ci_up,specificity,specificity_ci_low,specificity_ci_up,total_number_samples,sample_type,number_positive_samples,number_negative_samples,city,permalink,country_tmp,city2,lat,lng,who_technology_class,who_pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Not applicable,Isoniazid; Rifampicin,NA,Bronchoalveolar lavage; Sputum; Other,NALC treated sputum and bronchialalveolar lavages,a2r69000007lb6C,Abbott RealTime MTB RIF/INH,Abbott Molecular,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,Yes,Active TB,Systematic review + Meta-analysis,Independent,INH resistance from sputum & culture isolates,89,86,92,99,98,100,1013,Sputum; Sputum Culture,NA,NA,Des Plaines,https://abbottmolecular.com/home.html,United States,"Des Plaines, United States",42.04229736,-87.88932037,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS1081; MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Sputum Sediment,a2r69000007lbEr,BD MAX MDR-TB,"Becton, Dickinson and Company (BD)",United States,Region of the Americas,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,240,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,TB detection,94.5,91.7,96.4,94.9,91.1,97.1,596,Sputum,371,225,Franklin Lakes,https://bd.com,United States,"Franklin Lakes, United States",41.00812912,-74.21038818,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS1081; MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Sputum Sediment,a2r69000007lbEr,BD MAX MDR-TB,"Becton, Dickinson and Company (BD)",United States,Region of the Americas,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,240,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,RIF resistance from sputum,100,87.1,100,100,98.2,100,232,Sputum,26,206,Franklin Lakes,https://bd.com,United States,"Franklin Lakes, United States",41.00812912,-74.21038818,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS1081; MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Sputum Sediment,a2r69000007lbEr,BD MAX MDR-TB,"Becton, Dickinson and Company (BD)",United States,Region of the Americas,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,240,Yes,No,Active TB,Instructions for Use (IFU),Company-Sponsored,INH detection from sputum,100,91.8,100,100,98.1,100,242,Sputum,43,199,Franklin Lakes,https://bd.com,United States,"Franklin Lakes, United States",41.00812912,-74.21038818,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS1081; MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Sputum Sediment,a2r69000007lbEr,BD MAX MDR-TB,"Becton, Dickinson and Company (BD)",United States,Region of the Americas,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,240,Yes,Yes,Active TB,Systematic review + Meta-analysis,Independent,INH detection from sputum,82,63,92,100,98,100,232,Sputum,NA,NA,Franklin Lakes,https://bd.com,United States,"Franklin Lakes, United States",41.00812912,-74.21038818,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS1081; MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Sputum Sediment,a2r69000007lbEr,BD MAX MDR-TB,"Becton, Dickinson and Company (BD)",United States,Region of the Americas,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,240,Yes,Yes,Active TB,Systematic review + Meta-analysis,Independent,TB detection from sputum,93,89,96,97,96,98,892,Sputum,NA,NA,Franklin Lakes,https://bd.com,United States,"Franklin Lakes, United States",41.00812912,-74.21038818,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,MTB IS1081; MTB IS6110,Isoniazid; Rifampicin,NA,Sputum; Other,Sputum Sediment,a2r69000007lbEr,BD MAX MDR-TB,"Becton, Dickinson and Company (BD)",United States,Region of the Americas,Regulatory Achieved,CE-IVDD; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,qPCR,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,Lab-based,Fluorescence,inhA promoter; katG; rpoB,NA,Automated (excluding sample preparation),Intended for professional use only,240,Yes,Yes,Active TB,Systematic review + Meta-analysis,Independent,RIF detection from sputum,90,55,100,95,91,97,232,Sputum,NA,NA,Franklin Lakes,https://bd.com,United States,"Franklin Lakes, United States",41.00812912,-74.21038818,Moderate complexity,WHO
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Isoniazid; Rifampicin,NA,Bronchoalveolar lavage; Sputum; Urine,NA,a2r69000007lbEs,AccuPower TB&MDR RealTime PCR kit-A,Bioneer Corporation,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Unknown,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Daejeon,https://bioneer.com,South Korea,"Daejeon, Korea, Republic of",36.34912872,127.38493346999999,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Amikacin; Fluoroquinolone; Kanamycin,NA,Bronchoalveolar lavage; Sputum; Sputum Culture,NA,a2r69000007lbF4,AccuPower XDR-TB RealTime PCR kit-A,Bioneer Corporation,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Unknown,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Daejeon,https://bioneer.com,South Korea,"Daejeon, Korea, Republic of",36.34912872,127.38493346999999,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Ethambutol; Streptomycin,NA,Bronchoalveolar lavage; Sputum; Sputum Culture,NA,a2r69000007lbF5,AccuPower XDR-TB RealTime PCR kit-B,Bioneer Corporation,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Unknown,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Daejeon,https://bioneer.com,South Korea,"Daejeon, Korea, Republic of",36.34912872,127.38493346999999,Moderate complexity,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,MTB CFP-10; MTB ESAT-6,Not applicable,NA,Other,injection under skin,a2r69000007lbFM,Cy-Tb skin test,Serum Institute of India,India,South-East Asian Region,Regulatory Achieved,WHO recommended,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Host Immune Response,Other,No instrumentation is required,True Point of Care,Colorimetric,Not applicable,Injectable,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Pune,https://seruminstitute.com,India,"Pune, India",18.52890396,73.8743515,Not applicable,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,Antigen,Private,Not applicable,NA,Urine,NA,a2r69000007lbLA,Standard F TB LAM Ag FIA,"SD Biosensor, Inc.","Korea, Republic of",Western Pacific Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Immunoassay,Private,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Suwon-si,https://sdbiosensor.com,South Korea,"Suwon-si, Korea, Republic of",37.25973511,127.00894928,Low complexity,Pipe
Active,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Urine,NA,a2r69000007lbFJ,FLOW TB Urine LAM Assay,Salus Discovery,United States,Region of the Americas,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Immunoassay,Private,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Madison,https://salusd.com,United States,"Madison, United States",43.07392502,-89.38524628,Low complexity,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,Interferon Gamma,Not applicable,NA,Whole Blood,NA,a2r69000006Skdn,Wantai TB-IGRA,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd",China,Western Pacific Region,Regulatory Achieved,China NMPA; WHO recommended,NA,Mycobacterium Tuberculosis,NA,Immunoassay,ELISA/EIA; IGRA,IA Reagent Kit,Standard lab instrumentation is required,Lab-based,Colorimetric,Not applicable,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,Beijing,https://ystwt.cn,China,"Beijing, China",39.9078064,116.39758301,Not applicable,WHO
Active,Triage/Screening,Tuberculosis,Antibody (serological),Private,Not applicable,NA,Plasma; Serum; Whole Blood,NA,a2r69000007lbLH,NOVA Test Tuberculosis IGG/IGM Tri-line Test,"Atlas Link Technology Co., Ltd.",China,Western Pacific Region,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Private,NA,Manual,Intended for professional use only,15,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,HeBei,https://atlas-link.com,China,"HeBei, China",39.30455017,115.00488281,Not applicable,Pipe
Active,Triage/Screening,Tuberculosis,Antibody (serological),Private,Not applicable,NA,Serum,NA,a2r69000007lbLI,NOVA Test Tuberculosis Antibody Test,"Atlas Link Technology Co., Ltd.",China,Western Pacific Region,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Rapid diagnostic test (strip or cassette),No instrumentation is required,True Point of Care,Colorimetric,Private,NA,Manual,Intended for professional use only,15,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,HeBei,https://atlas-link.com,China,"HeBei, China",39.30455017,115.00488281,Not applicable,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Other,injection under skin,a2r69000007lbLK,Recombinant mycobacterium tuberculosis fusion protein(EC)n,Anhui Zhifei Longcom Biopharmaceutical Co. Ltd.,China,Western Pacific Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Other,No instrumentation is required,True Point of Care,Colorimetric,Private,Injectable,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Anhui,https://zflongkema.com,China,"Anhui, China",31.82392883,117.23145294,Not applicable,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Cerebrospinal fluid (CSF); Other,Pleural fluid; Pericardial fluid; Peritoneal fluid;,a2r69000007lbLL,IRISA-TB,Antrum Biotech,South Africa,African Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Immunoassay,Private,Chemiluminescent Immunoassay (CLIA),Standard lab instrumentation is required,Lab-based,Colorimetric,Private,NA,Manual,Intended for professional use only,120,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Cape Town,https://antrumbiotech.co,South Africa,"Cape Town, South Africa",-33.92710876,18.42006111,Not applicable,Pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Private,Rifampicin,NA,Sputum; Sputum Culture,NA,a2r69000007lb6F,MeltPro MTB/RIF Test Kit,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Regulatory Achieved,CE-IVDD; Other,China CDFA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Private,Amikacin; Capreomycin; Kanamycin,NA,Sputum; Sputum Culture,NA,a2r69000007lb6B,MeltPro MTB/SL Test Kit,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Private,Isoniazid,NA,Sputum; Sputum Culture,NA,a2r69000007lb6H,MeltPro MTB/INH Test Kit,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Regulatory Achieved,CE-IVDD; Other,China CDFA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Private,Streptomycin,NA,Sputum; Sputum Culture,NA,a2r69000007lb6G,MeltPro MTB/STR Test Kit,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Regulatory Achieved,CE-IVDD; Other,China CDFA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Private,Fluoroquinolone,NA,Sputum; Sputum Culture,NA,a2r69000007lb6J,MeltPro MTB/FQ Test Kit,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Regulatory Achieved,CE-IVDD; Other,China CDFA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Drug Resistance,DNA,Private,Ethambutol,NA,Sputum; Sputum Culture,NA,a2r69000007lb6I,MeltPro MTB/EMB Test Kit,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Regulatory Achieved,CE-IVDD; Other,China CDFA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,Private,Not applicable,NA,Sputum; Sputum Culture,NA,a2r69000007lbFP,MeltPro Mycobacteria Identification Kit,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,Private,Not applicable,NA,Bronchoalveolar lavage; Sputum,NA,a2r69000007lbFO,MeltPro TB Assay,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Regulatory Achieved,Other,China CDFA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,Private,Not applicable,NA,Sputum; Sputum Culture,NA,a2r69000007lbFQ,MeltPro Mycobacterium Tuberculosis McSpoligotyping Kit,"Xiamen Zeesan Biotech Co., ltd.",China,Western Pacific Region,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),Standard lab instrumentation is required,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Xiamen City,https://zeesandx.com,China,"Xiamen City, China",24.47950935,118.08947754,Moderate complexity,Pipe
Latent,Triage/Screening,Tuberculosis,RNA,Private,Not applicable,NA,Purified RNA,NA,a2r69000007lb8t,T-Track TB part 2 - T-Track TB Quant PCR,Mikrogen GmbH,Germany,European Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Molecular,Private,NAT reagent kit (open source),A proprietary/new instrument is optional,Lab-based,Fluorescence,Private,NA,Manual,Intended for professional use only,180,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Bavaria,https://mikrogen.de,Germany,"Bavaria, Germany",48.94681168,11.41901207,Not applicable,Pipe
Active,"Monitoring (treatment, immune status, patient)",Host Response,RNA,Private,Not applicable,NA,Whole Blood,NA,a2r69000007lb8w,TB22 signature in-house assay,Research Center Borstel,Germany,European Region,Early Stage Development (partial prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Unspecified,Unknown,Lab-based,Fluorescence,Private,NA,Unknown,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Borstel,https://fz-borstel.de/index.php/en,Germany,"Borstel, Germany",52.66984177,8.97046089,Not applicable,Pipe
Active,"Monitoring (treatment, immune status, patient)",Host Response,RNA,Private,Not applicable,NA,Finger prick blood,NA,a2r69000007lb8z,RISK 6 host response assay,QuantuMDx Group Limited,United Kingdom,European Region,Early Stage Development (partial prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Unspecified,Unknown,Lab-based,Fluorescence,Private,NA,Unknown,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Newcastle upon Tyne,https://quantumdx.com,United Kingdom,"Newcastle upon Tyne, United Kingdom",54.97790527,-1.6086086,Not applicable,Pipe
Latent,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Whole Blood,Blood stimulation tubes,a2r69000007lbEy,T-Track TB part 1 - T-Track TB Stimulation,Mikrogen GmbH,Germany,European Region,Regulatory Achieved,CE-IVDD,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Other,A proprietary/new instrument is optional,Lab-based,Fluorescence,Private,Stimulation/incubation,Manual,Intended for professional use only,1440,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Bavaria,https://mikrogen.de,Germany,"Bavaria, Germany",48.94681168,11.41901207,Not applicable,Pipe
Active,Triage/Screening,Tuberculosis,DNA,Private,Not applicable,NA,Saliva; Urine,NA,a2r69000007lbL8,RidTB,GenEndeavor llc,United States,Region of the Americas,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Rapid diagnostic test (strip or cassette),Standard lab instrumentation is required,near Point of Care,Colorimetric,Private,NA,Manual,Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Pleasanton,https://Genendeavor.com,United States,"Pleasanton, United States",37.65843582,-121.8769989,Low complexity,Pipe
Active,Triage/Screening,Tuberculosis,Antigen,Private,Not applicable,NA,Other,Heamolysate,a2r69000007lb8p,Erythra-TB-KIT,Erythra Inc.,China,Western Pacific Region,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis,Already on the market (commercialized),Immunoassay,Private,Rapid diagnostic test (strip or cassette),No instrumentation is required,near Point of Care,Colorimetric,Private,NA,Manual,Intended for professional use only,5,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Yangzhou,http://www.genenexus.com/,China,"Yangzhou, China",32.39442062,119.41364288,Low complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,MTB gyrB Gene; Other,Not applicable,NA,Sputum,NA,a2r69000007lb8j,Loopamp MTBC Detection Kit,"Eiken Chemical Co., Ltd.",Japan,Western Pacific Region,Regulatory Achieved,CE-IVDR; WHO recommended,WHO recommended,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Isothermal LAMP,NAT reagent kit (open source),Standard lab instrumentation is required,near Point of Care,Fluorescence,Not applicable,NA,Manual,Intended for professional use only,40,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Otawara,https://eiken.co.jp,Japan,"Otawara, Japan",36.8709259,140.01560974,Not applicable,WHO
Active,Diagnostic/confirmatory test,Tuberculosis,DNA,Private,Not applicable,NA,Sputum; Sputum Culture; Other,EPTB specimen,a2r69000007lbEz,Mylab PathoDetect MTB Detection kit,Mylab Discovery Solutions Pvt. Ltd.,India,South-East Asian Region,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Unknown,Intended for professional use only,80,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Pune,https://mylabglobal.com,India,"Pune, India",18.52890396,73.8743515,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Isoniazid; Rifampicin,NA,Sputum; Sputum Culture; Other,EPTB specimen,a2r69000007lbF0,Mylab PathoDetect MTB RIF and INH resistance detection kit,Mylab Discovery Solutions Pvt. Ltd.,India,South-East Asian Region,Research Use Only (RUO),None,NA,Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species,Already on the market (commercialized),Molecular,Private,NAT reagent kit (proprietary platform),A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,NA,Unknown,Intended for professional use only,80,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,Pune,https://mylabglobal.com,India,"Pune, India",18.52890396,73.8743515,Moderate complexity,Pipe
Active,Diagnostic/confirmatory test,Tuberculosis + Drug Resistance,DNA,Private,Bedaquiline,NA,Purified DNA,Sputum or EPTB specimen,a2r69000007lb68,Truenat MTB-BDQ,Molbio Diagnostics Pvt. Ltd.,India,South-East Asian Region,Late Stage Development (fully functional prototype),None,NA,Mycobacterium Tuberculosis,Unknown,Molecular,Private,Cartridge-based processing,A proprietary/new instrument is required,near Point of Care,Fluorescence,Private,chip based,Automated (excluding sample preparation),Intended for professional use only,NA,Yes,NA,NA,NA,Company-Sponsored,NA,0,0,0,0,0,0,0,NA,0,0,"Verna Industrial Estate, Verna,",https://molbiodiagnostics.com,India,"Verna Industrial Estate, Verna,, India",15.34916973,73.93138885,Low complexity,Pipe
