disease_target,manufacturer,submission_id,submission_title,country,region,type_of_technology,stage_of_development,regulatory_status,target_pathogen,serovar_subtype,assay_target,target_analyte,test_format,lab_vs_poc,validated_sample_types,city,instrument_name,test_to_be_listed_on_finds_web_page,permalink,country_tmp,city2,lat,lng
Dengue,"Humasis Co., Ltd.",a2r69000007lbaA,Humasis Dengue NS1,"Korea, Republic of",Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Anyang-si,NA,Yes,https://humasis.com/en,South Korea,"Anyang-si, Korea, Republic of",37.39424896,126.9205246
Enteric fever; Typhoid fever,IDL Biotech,a2r69000007lbf8,TUBEX,Sweden,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Salmonella Typhi,Not applicable,Antibody (serological),Anti-Salmonella typhi IgM,IA Reagent Kit,Lab-based,Serum,Bromma,NA,Yes,https://idlbiotech.com,Sweden,"Bromma, Sweden",59.33976746,17.93954086
Dengue,ImmuneMed Inc.,a2r69000007lbf9,Dengue IgM/IgG Rapid,"Korea, Republic of",Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Chuncheon-si,NA,Yes,https://immunemed.co.kr/eng/main/index.asp,South Korea,"Chuncheon-si, Korea, Republic of",37.86963272,127.73867798
Dengue,ImmuneMed Inc.,a2r69000007lbfB,"Dengue NS1 Rapid, IgM/IgG Rapid","Korea, Republic of",Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Chuncheon-si,NA,Yes,https://immunemed.co.kr/eng/main/index.asp,South Korea,"Chuncheon-si, Korea, Republic of",37.86963272,127.73867798
Dengue,ImmuneMed Inc.,a2r69000007lbfA,Dengue NS1 Ag Rapid,"Korea, Republic of",Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Chuncheon-si,NA,Yes,https://immunemed.co.kr/eng/main/index.asp,South Korea,"Chuncheon-si, Korea, Republic of",37.86963272,127.73867798
Dengue,InBios International,a2r69000007lbfF,DENV Detect NS1 ELISA (FDA;CE),United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD; US FDA 510k,Dengue virus,Unspecified,Antigen,DENV NS1,IA Reagent Kit,Lab-based,Serum,Seattle,NA,Yes,https://inbios.com,United States,"Seattle, United States",47.60322952,-122.33027649
Dengue,InBios International,a2r69000007lbfE,DENV Detect IgM Capture ELISA (FDA;CE),United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD; US FDA De Novo,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgM,IA Reagent Kit,Lab-based,Serum,Seattle,NA,Yes,https://inbios.com,United States,"Seattle, United States",47.60322952,-122.33027649
Dengue,InBios International,a2r69000007lbYj,Dengue NS1 Detect Rapid Test,United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Serum,Seattle,NA,Yes,https://inbios.com,United States,"Seattle, United States",47.60322952,-122.33027649
Dengue,InBios International,a2r69000007lbYk,DENV Detect IgG ELISA (CE),United States,Region of the Americas,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG,IA Reagent Kit,Lab-based,Serum,Seattle,NA,Yes,https://inbios.com,United States,"Seattle, United States",47.60322952,-122.33027649
Dengue,"INNOVITA (TANGSHAN) BIOLOGICAL TECHNOLOGY CO., LTD.",a2r69000007lbYl,Dengue IgG/IgM Whole Blood Test Cassette (Colloidal Gold),China,Western Pacific Region,Immunoassay,Regulatory Achieved,Brazil ANVISA,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Whole Blood,Qian'an,NA,Yes,https://innovita.com.cn,China,"Qian'an, China",45.00376892,124.04096222
Dengue,"InTec PRODUCTS, INC.",a2r69000007lbYp,One Step Anti-Dengue (IgM & IgG) Tri-Line Test - cassette (CE),China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Xiamen,NA,Yes,https://intecasi.com,China,"Xiamen, China",24.47950935,118.08947754
Dengue,"InTec PRODUCTS, INC.",a2r69000007lbYo,One Step Anti-Dengue (IgM & IgG) Tri-Line Test - cassette,China,Western Pacific Region,Immunoassay,Regulatory Achieved,Unknown,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum,Xiamen,NA,Yes,https://intecasi.com,China,"Xiamen, China",24.47950935,118.08947754
Dengue,"InTec PRODUCTS, INC.",a2r69000007lbYr,One Step Dengue NS1 Ag Test,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Whole Blood,Xiamen,NA,Yes,https://intecasi.com,China,"Xiamen, China",24.47950935,118.08947754
Dengue,"InTec PRODUCTS, INC.",a2r69000007lbYq,One Step Anti-Dengue (IgM & IgG) Tri-Line Test - strip,China,Western Pacific Region,Immunoassay,Regulatory Achieved,Unknown,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum,Xiamen,NA,Yes,https://intecasi.com,China,"Xiamen, China",24.47950935,118.08947754
Ebola virus disease,InterLabService ltd.,a2r69000007lbts,AmpliSens EBOV Zaire-FRT,Russian Federation,European Region,Molecular,Regulatory Achieved,CE-IVDD,Ebola virus,Zaire ebolavirus,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Urine; Whole Blood; Other,Moscow,NA,Yes,https://interlabservice.ru/en,Russian Federation,"Moscow, Russian Federation",55.75654221,37.61492157
Dengue,InterLabService ltd.,a2r69000007lbYs,AmpliSens Dengue virus type-FRT,Russian Federation,European Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,Moscow,NA,Yes,https://interlabservice.ru/en,Russian Federation,"Moscow, Russian Federation",55.75654221,37.61492157
Ebola virus disease; Marburg virus disease,"Ecoli Dx, s.r.o.",a2r69000007lbtt,AmpliSens FiloA-screen-FRT PCR kit,Czech Republic,European Region,Molecular,Regulatory Achieved,CE-IVDD,Ebola virus; Marburg virus,Sudan ebolavirus; Zaire ebolavirus,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Venous blood,Praha,NA,Yes,https://pcrdiagnostics.eu,Czech Republic,"Praha, Czech Republic",50.08781052,14.42045975
Dengue,InterLabService ltd.,a2r69000007lbYt,AmpliSens Dengue virus-FRT,Russian Federation,European Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,Moscow,NA,Yes,https://interlabservice.ru/en,Russian Federation,"Moscow, Russian Federation",55.75654221,37.61492157
Dengue,Intermedical,a2r69000007lbYu,Dengue IgM/IgG Rapid Test (Whole Blood/Serum/Plasma),Italy,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Villaricca,NA,Yes,https://intermedical.it/en/home,Italy,"Villaricca, Italy",40.92266846,14.1907959
Dengue,Biozek Medical,a2r69000007lbYv,Dengue NS1 Antigen Rapid Test cassette,Netherlands,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,Unknown,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Apeldoorn,NA,Yes,https://biozek.com,Netherlands,"Apeldoorn, Netherlands",52.21632385,5.96462202
Dengue,Biozek Medical,a2r69000007lbYw,Dengue NS1/Dengue Combo Rapid Test cassette,Netherlands,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Apeldoorn,NA,Yes,https://biozek.com,Netherlands,"Apeldoorn, Netherlands",52.21632385,5.96462202
Enteric fever; Typhoid fever,Biozek Medical,a2r69000007lbYx,Salmonella Typhi Antigen Rapid Test Cassette,Netherlands,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Salmonella Typhi,Not applicable,Antigen,Salmonella Lipopolysaccharide,Rapid diagnostic test (strip or cassette),True Point of Care,Stool,Apeldoorn,NA,Yes,https://biozek.com,Netherlands,"Apeldoorn, Netherlands",52.21632385,5.96462202
Enteric fever; Typhoid fever,Biozek Medical,a2r69000007lbYz,Typhoid IgG/IgM Rapid Test Cassette WB/S/P,Netherlands,European Region,Immunoassay,Regulatory Achieved,CE-IVDD,Salmonella Typhi,Not applicable,Antibody (serological),Anti-Salmonella typhi IgG; Anti-Salmonella typhi IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Apeldoorn,NA,Yes,https://biozek.com,Netherlands,"Apeldoorn, Netherlands",52.21632385,5.96462202
Mpox,"Jiangsu Bioperfectus Technologies Co., Ltd.",a2r69000007lbTI,Monkeypox Virus Real Time PCR Kit - Veterinary Use Only,China,Western Pacific Region,Molecular,Regulatory Achieved,Unknown,Mpox virus,Unspecified,DNA,MPX F3L gene,NAT reagent kit (open source),Lab-based,Serum; Other,Taizhou City,NA,Yes,https://bioperfectus.com,China,"Taizhou City, China",28.65641022,121.42076111
Mpox,"Jiangsu Bioperfectus Technologies Co., Ltd.",a2r69000007lbIT,Monkeypox Virus Real Time PCR Kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,MPX F3L gene,NAT reagent kit (proprietary platform),Lab-based,Lesion crusts; Lesion fluid; Nasopharyngeal swab; Serum; Tonsillar swab; Whole Blood,Taizhou City,NA,Yes,https://bioperfectus.com,China,"Taizhou City, China",28.65641022,121.42076111
Ebola virus disease,"Jiangsu Bioperfectus Technologies Co., Ltd.",a2r69000007lbtu,Ebola Virus Real Time PCR Kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Ebola virus,Sudan ebolavirus; Zaire ebolavirus,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Urine; Whole Blood,Taizhou City,NA,Yes,https://bioperfectus.com,China,"Taizhou City, China",28.65641022,121.42076111
Mpox,"Jiangsu Macro & Micro-Test Med-Tech Co., Ltd.",a2r69000007lbKn,Med-Tec monkeypox virus nucleic acid detection kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Rudong County,NA,Yes,https://hongweitest.com,China,"Rudong County, China",32.33174515,121.18488312
Mpox; Pox diseases (unspecified),"Jiangsu Macro & Micro-Test Med-Tech Co., Ltd.",a2r69000007lbmd,Orthopox Virus Universal Type/Monkeypox Virus Nucleic Acid Detection Kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus; Orthopoxvirus,Unspecified,DNA,MPX F3L gene; Other,NAT reagent kit (open source),Lab-based,Lesion fluid; Nasopharyngeal swab; Oropharyngeal swab; Serum,Rudong County,NA,Yes,https://hongweitest.com,China,"Rudong County, China",32.33174515,121.18488312
Mpox,"Jiangsu Mole Bioscience Co.,Ltd.",a2r69000007lbKg,Mole Bioscience's Monkeypox Virus Nucleic Acid Detection Kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Hangzhou,NA,Yes,https://en.molechina.com,China,"Hangzhou, China",30.24592018,120.21079254
Dengue,"Jiangsu Mole Bioscience Co.,Ltd.",a2r69000007lbZ5,Dengue virus RNA Detection (Fluorescent Real-time PCR method)50 tests / kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Hangzhou,NA,Yes,https://en.molechina.com,China,"Hangzhou, China",30.24592018,120.21079254
Mpox,"JINAN BABIO BIOTECHNOLOGY CO., ltd.",a2r69000007lbKS,Babio monkeypox virus nucleic acid detection kit,China,Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Shandong,NA,Yes,https://jnbaibo.com,China,"Shandong, China",36.35057068,118.15930939
Dengue,J Mitra & Co. Pvt. ltd.,a2r69000007lbZl,Dengue Day 1 Test,India,South-East Asian Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum,New Delhi,NA,Yes,https://jmitra.co.in,India,"New Delhi, India",28.63242531,77.21878815
Mpox,"JOYSBIO (Tianjin) Biotechnology Co., Ltd",a2r69000007lbCS,JOYSBIO Monkeypox Rapid Test Kit,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,Antigen,Unknown,Rapid diagnostic test (strip or cassette),True Point of Care,Lesion fluid,Tianjin,NA,Yes,https://en.joysbio.com,China,"Tianjin, China",39.29474258,117.33509827
Mpox,"KH Medical Co., Ltd",a2r69000007lb7n,RADI Monkeypox Detection Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Other,NAT reagent kit (open source),Lab-based,Lesion crusts; Whole Blood; Wound swab,Hanam-si,NA,Yes,https://khmedical.co.kr,South Korea,"Hanam-si, Korea, Republic of",37.53112793,127.19668579
Chikungunya; Dengue; Zika virus disease,"KogeneBiotech Co., ltd.",a2r69000007lbZE,PowerChek ZIKV / DENV / CHIKV Multiplex Real-time PCR Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Chikungunya virus; Dengue virus; Zika virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Other,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Dengue,"KogeneBiotech Co., ltd.",a2r69000007lbZG,PowerChek DENV Serotype Real-time PCR Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Other,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Dengue,"KogeneBiotech Co., ltd.",a2r69000007lbZF,PowerChek DENV Real-time PCR Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Other,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Dengue; Zika virus disease,"KogeneBiotech Co., ltd.",a2r69000007lbZI,PowerChek ZIKV & DENV Real-time PCR Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus; Zika virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Other,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Gastroenteritis; Salmonellosis (Non-Typhoidal),"KogeneBiotech Co., ltd.",a2r69000007lbZA,PowerChek Salmonella spp. Detection Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Salmonella spp.,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Gastroenteritis; Salmonellosis (Non-Typhoidal),"KogeneBiotech Co., ltd.",a2r69000007lbZq,PowerChek Multiplex Pathogen Detection Kit (8-plex),"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Escherichia coli; Listeria monocytogenes; Salmonella spp.; Shigella spp; Staphylococcus aureus; Vibrio parahaemolyticus; Yersinia enterocolitica,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Gastroenteritis; Salmonellosis (Non-Typhoidal),"KogeneBiotech Co., ltd.",a2r69000007lbZC,PowerChek Salmonella Triplex Detection Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Unknown,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Gastroenteritis; Salmonellosis (Non-Typhoidal),"KogeneBiotech Co., ltd.",a2r69000007lbZB,PowerChek Salmonella spp. Real-time PCR Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Salmonella spp.,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Unknown,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Gastroenteritis; Salmonellosis (Non-Typhoidal),"KogeneBiotech Co., ltd.",a2r69000007lbZD,PowerChek Salmonella Triplex Real-time PCR Kit,"Korea, Republic of",Western Pacific Region,Molecular,Regulatory Achieved,CE-IVDD,Salmonella enterica; Salmonella spp.,S.Enteritidis; S.typhimurium,DNA,Other; Salmonella invA,NAT reagent kit (open source),Lab-based,Stool; Water (environmental sample); Other,Seoul,NA,Yes,https://kogene.co.kr/eng,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748
Enteric fever; Paratyphoid fever; Typhoid fever,Lab-Care Diagnostics (India) Pvt. Ltd.,a2r69000007lbZs,ACCUCARE S.typhi S.paratyphi Direct Antigen Detection,India,South-East Asian Region,Immunoassay,Regulatory Achieved,CE-IVDD; India CDSCO,Salmonella Paratyphi; Salmonella Typhi,S.paratyphi A,Antigen,Salmonella antigen A,Rapid diagnostic test (strip or cassette),True Point of Care,Serum; Stool,NA,NA,Yes,https://labcarediagnostics.com,India,India,22.35250664,79.36367798
Dengue,"Labnovation Technologies, Inc.",a2r69000007lbdu,Dengue IgG/IgM/NS1,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological) + Antigen,Anti-DENV IgG; Anti-DENV IgM; DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Shenzhen,NA,Yes,https://labnovation.com,China,"Shenzhen, China",22.54368019,114.0579071
Dengue,"Labnovation Technologies, Inc.",a2r69000007lbdv,Dengue NS1 Antigen Test,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antigen,DENV NS1,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum; Whole Blood,Shenzhen,NA,Yes,https://labnovation.com,China,"Shenzhen, China",22.54368019,114.0579071
Dengue,"Labnovation Technologies, Inc.",a2r69000007lbZt,Dengue IgG/IgM Test,China,Western Pacific Region,Immunoassay,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,Antibody (serological),Anti-DENV IgG; Anti-DENV IgM,Rapid diagnostic test (strip or cassette),True Point of Care,Plasma; Serum,Shenzhen,NA,Yes,https://labnovation.com,China,"Shenzhen, China",22.54368019,114.0579071
Mpox,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbp4,Monkeypox Virus Real Time PCR Reagent kit I/II,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Purified DNA,La Jolla,Lightcycler 96 system,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Ebola virus disease,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbtw,ebolavirus (EBOV) Real Time RT-PCR Kit,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD; China NMPA; WHO EUL,Ebola virus,Ebola spp.,RNA,Unknown,NAT reagent kit (proprietary platform),Lab-based,Unknown,La Jolla,Lightcycler 96 system,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Mpox,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbp4,Monkeypox Virus Real Time PCR Reagent kit I/II,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Purified DNA,La Jolla,Lightcycler 480 system,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Ebola virus disease,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbtw,ebolavirus (EBOV) Real Time RT-PCR Kit,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD; China NMPA; WHO EUL,Ebola virus,Ebola spp.,RNA,Unknown,NAT reagent kit (proprietary platform),Lab-based,Unknown,La Jolla,Lightcycler 480 system,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Enteric fever; Typhoid fever,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbdV,Salmonella Typhi Real Time PCR Kit,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Salmonella Typhi,Not applicable,DNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Stool; Water (environmental sample),La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Chikungunya; Dengue,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbeA,Dengue Fever Virus & Chikungunya Virus Real Time RT-PCR KitCat. # : ER-0411-02,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Chikungunya virus; Dengue virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Gastroenteritis; Salmonellosis (Non-Typhoidal),"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbcf,Salmonella & Shigella Real Time PCR Kit,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Salmonella spp.; Shigella spp,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Stool; Water (environmental sample),La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Dengue,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbeC,Dengue Virus Real Time RT-PCR KitCat. # : ER-0063-01Cat. # : ER-0063-02,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Dengue,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbeB,Dengue Fever Virus Genotyping///Real Time RT-PCR KitCat. # : ER-0414-02,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-1; DENV-2; DENV-3; DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Dengue,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbeE,Dengue Virus II Real Time RT-PCR KitCat. # : ER-0063-03Cat. # : ER-0063-04,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-2,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Dengue,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbeD,Dengue Virus General-type Real Time RT-PCR KitCat. # : ER-0101-01Cat. # : ER-010,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,Unspecified,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Dengue,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbeG,Dengue Virus IV Real Time RT-PCR KitCat. # : ER-0064-03Cat. # : ER-0064-04,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-4,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Dengue,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbeF,Dengue Virus III Real Time RT-PCR KitCat. # : ER-0064-01Cat. # : ER-0064-02,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Dengue virus,DENV-3,RNA,Unknown,NAT reagent kit (open source),Lab-based,Plasma; Serum; Other,La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
Mpox,"Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.",a2r69000007lbp5,Monkeypox Virus Real Time PCR Reagent III/IV,United States,Region of the Americas,Molecular,Regulatory Achieved,CE-IVDD,Mpox virus,Unspecified,DNA,Unknown,NAT reagent kit (open source),Lab-based,Purified DNA,La Jolla,NA,Yes,https://liferiverbiotech.com,United States,"La Jolla, United States",32.83867645,-117.25404358
