date_of_submission,manufacturer,submission_id,submission_title,country,region,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,other_target_pathogen,permalink,planned_market_entry,primary_use_case,ID_type,disease_target,assay_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,other_readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,other_antimicrobial_resistance_class,Drug_resistance_target,Other Drug resistance target,AST_output,test_format,other_test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,other_validated_sample_type,time_to_results_excl_prep,city,test_to_be_listed_on_finds_web_page,country_tmp,city2,lat,lng
25.05.2023,Quidel,a2r69000007laO4,QuickVue TLI Campylobacter Test,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; Health Canada,Immunoassay,ID,Gastro-intestinal Infections,NA,https://quidel.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Gastroenteritis,Antigen,Bacteria (Gram-),Campylobacter coli; Campylobacter jejuni,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,30,San Diego,Yes,United States,"San Diego, United States",32.71575928,-117.16381836
25.05.2023,Acro Biotech Inc.,a2r69000007laMq,Campylobacter Rapid Test Cassette,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Gastro-intestinal Infections,NA,https://acrobiotech.com,Already on the market (commercialized),Diagnostic/confirmatory test,Unknown,Unspecified,Antigen,Bacteria (Gram-),Campylobacter spp,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,NA,Rancho Cucamonga,Yes,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
25.05.2023,Acro Biotech Inc.,a2r69000007laNR,Acro Biotech C-reactive protein Rapid Test Dipstick/Cassette,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,Host Response,Inflammation,NA,https://acrobiotech.com,Already on the market (commercialized),Triage/Screening,Not applicable,Unspecified,Antigen,Not applicable,Not applicable,C-reactive protein,Lateral Flow Assay,Colorimetric,NA,Unknown,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Unknown,Manual,True Point of Care,Intended for professional use only,Plasma; Serum; Venous blood,NA,NA,Rancho Cucamonga,Yes,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
25.05.2023,Savyon Diagnostics,a2r69000007laLs,CoproStrip C. difficile GDH + Toxin A + Toxin B rapid test,Israel,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://savyondx.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,10,Ashdod,Yes,Israel,"Ashdod, Israel",31.7977314,34.65299225
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laMT,Premier Toxins A&B,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,NA,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Diarrhea,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,ELISA/EIA,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Other,Multiwell plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Stool,NA,90,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084
25.05.2023,Biomed Diagnostics,a2r69000007laN5,InTray COLOREX Listeria,United States,Region of the Americas,Research Use Only (RUO),None,Growth based,ID,Gastro-intestinal Infections,NA,https://biomeddiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Growth/metabolism,Bacteria (Gram+),Listeria monocytogenes,Unknown,Culture,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Other,Medium tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Stool; Other,Environmental sample,1440,White City,Yes,United States,"White City, United States",41.89686584,-87.63932037
25.05.2023,First Light Biosciences,a2r69000007laLr,SensiTox C. difficile Toxin Test,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,NA,https://firstlightbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,ELISA/EIA,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Stool,NA,35,Bedford,Yes,United States,"Bedford, United States",42.49223709,-71.27994537
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laMS,Premier CAMPY,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,NA,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Gastroenteritis,Antigen,Bacteria (Gram-),Campylobacter coli; Campylobacter jejuni,Unknown,ELISA/EIA,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Other,Multiwell plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Stool,NA,100,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084
25.05.2023,Biomed Diagnostics,a2r69000007laN4,InTray COLOREX KPC,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,ID-Phenotypic AST,Gastro-intestinal Infections,Citrobacter spp; Pseudomonas spp; Acinetobacter spp,https://biomeddiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Growth/metabolism,Bacteria (Gram-),Enterobacter spp; Escherichia coli; Klebsiella spp; Other,Unknown,Culture,Colorimetric,NA,Qualitative,CPO,Not applicable,NA,Unknown,NA,S/R,Other,Medium tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Stool; Other,Biological samples; Surface streaks,1440,White City,Yes,United States,"White City, United States",41.89686584,-87.63932037
25.05.2023,Great Basin Scientific,a2r69000007laLu,Shiga Toxin Direct Test,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Molecular,ID,Gastro-intestinal Infections,NA,https://gbscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Escherichia coli,Unknown,Isothermal Other,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Stool,NA,120,Salt Lake City,Yes,United States,"Salt Lake City, United States",40.75847626,-111.88814545
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laMV,Revogene C. difficile,United States,Region of the Americas,Regulatory Achieved,Brazil ANVISA; CE-IVDD; US FDA 510k,Molecular,ID,Gastro-intestinal Infections,NA,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,DNA,Bacteria (Gram+),Clostridioides difficile,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Stool,NA,70,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laMU,Immunocard STAT E. coli O157 Plus,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA 510k,Immunoassay,ID,Gastro-intestinal Infections,NA,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Escherichia coli,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Stool; Stool (Faeces) Culture,NA,15,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084
25.05.2023,Biomed Diagnostics,a2r69000007laN6,InTray SMA,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,ID,Gastro-intestinal Infections,NA,https://biomeddiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Growth/metabolism,Bacteria (Gram-),Escherichia coli,Unknown,Culture,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Other,Medium tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Stool (Faeces) Culture,NA,1440,White City,Yes,United States,"White City, United States",41.89686584,-87.63932037
25.05.2023,"SD Biosensor, Inc.",a2r69000007laMX,M10 C. Difficile,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,Molecular,ID,Gastro-intestinal Infections,NA,https://sdbiosensor.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram+),Clostridioides difficile,Unknown,qPCR,Fluorescence,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Stool,NA,47,Suwon-si,Yes,South Korea,"Suwon-si, Korea, Republic of",37.25973511,127.00894928
25.05.2023,Biopanda Reagents ltd.,a2r69000007laN8,H. pylori Antigen ELISA Kit,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://biopanda.co.uk,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Helicobacter pylori,Unknown,ELISA/EIA,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Other,Multiwell plate,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Plasma; Serum,NA,NA,Belfast,Yes,United Kingdom,"Belfast, United Kingdom",54.58725739,-5.93095207
25.05.2023,"Meridian Bioscience, Inc.",a2r69000007laMW,Alethia C. difficile,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Molecular,ID,Gastro-intestinal Infections,NA,https://meridianbioscience.com,Already on the market (commercialized),Diagnostic/confirmatory test,Unknown,Unspecified,DNA,Bacteria (Gram+),Clostridioides difficile,Unknown,Isothermal LAMP,Turbidity,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Stool,NA,60,Cincinnati,Yes,United States,"Cincinnati, United States",39.10369873,-84.51361084
25.05.2023,Biomed Diagnostics,a2r69000007laN7,InTray COLOREX VRE,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Growth based,ID-Phenotypic AST,Gastro-intestinal Infections,Enterococcus casseliflavus; Enterococcus gallinarum,https://biomeddiagnostics.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Growth/metabolism,Bacteria (Gram+),Enterococcus faecalis; Enterococcus faecium; Other,Unknown,Culture,Colorimetric,NA,Qualitative,VRE,Not applicable,NA,Unknown,NA,S/R,Other,Medium tray,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Stool; Other,Biological samples; Surface streaks,1440,White City,Yes,United States,"White City, United States",41.89686584,-87.63932037
25.05.2023,Amunet S.A. de C.V,a2r69000007laMZ,PYLORINET-DNA,Mexico,Region of the Americas,Regulatory Status Unknown,Unknown,Molecular,ID,Gastro-intestinal Infections,NA,https://amunet.com.mx,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,DNA,Bacteria (Gram-),Helicobacter pylori,Unknown,Isothermal LAMP,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,NAT reagent kit (open source),NA,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Saliva,NA,40,Puebla,Yes,Mexico,"Puebla, Mexico",19.03300095,-98.18299866
25.05.2023,Biopanda Reagents ltd.,a2r69000007laNA,Clostridium difficile Toxin A+B Rapid Test,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://biopanda.co.uk,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,20,Belfast,Yes,United Kingdom,"Belfast, United Kingdom",54.58725739,-5.93095207
25.05.2023,Amunet S.A. de C.V,a2r69000007laMY,Amunet Campylobacter Quick Test,Mexico,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Gastro-intestinal Infections,NA,https://amunet.com.mx,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Diarrhea,Antigen,Bacteria (Gram-),Campylobacter spp,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Colony/plate; Stool,NA,15,Puebla,Yes,Mexico,"Puebla, Mexico",19.03300095,-98.18299866
25.05.2023,Biopanda Reagents ltd.,a2r69000007laN9,C. Difficile GDH Ag Rapid Test Cassette,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://biopanda.co.uk,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,20,Belfast,Yes,United Kingdom,"Belfast, United Kingdom",54.58725739,-5.93095207
25.05.2023,Curetis GmbH,a2r69000007laMb,Unyvero Intra-abdominal Infection,Germany,European Region,Regulatory Achieved,CE-IVDD,Molecular,ID-Resistance,Intra-abdominal Infections,Staphylococcus spp; Enterococcus spp; Streptococcus spp; Coagulase negative staphylococci; Klebsiella variicola; Bacteroides fragilis group; Prevotella spp; Cutibacterium acnes; Other,https://curetis.com,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Other,DNA,Bacteria (Gram+); Bacteria (Gram-); Fungi; Other,Acinetobacter baumannii; Candida albicans; Candida glabrata; Candida krusei; Candida spp; Candida tropicalis; Clostridioides difficile; Enterobacter cloacae complex; Enterococcus faecalis; Escherichia coli; Klebsiella aerogenes; Klebsiella oxytoca; Klebsiella pneumoniae; Other; Proteus spp; Pseudomonas aeruginosa; Staphylococcus aureus,Unknown,qPCR,Fluorescence,NA,Qualitative,Colistin/Polymyxin resistance; CPO; ESBL; Fluoroquinolone resistance; MRSA; VRE,aac; CTX-M; IMP; KPC; mcr-1; mecA; mecC; NDM; OXA; vanA; vanB; VIM,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Blood Culture; Tissue/Biopsy; Other,Ascites; Peritoneal fluid; Pancreatic juice; Bile; Puncture fluid; Swabs; Other,300,Holzgerlingen,Yes,Germany,"Holzgerlingen, Germany",48.63920593,9.0117321
25.05.2023,Biopanda Reagents ltd.,a2r69000007laNC,Biopanda H. pylori Antigen Rapid Test Cassette,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://biopanda.co.uk,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Helicobacter pylori,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,15,Belfast,Yes,United Kingdom,"Belfast, United Kingdom",54.58725739,-5.93095207
25.05.2023,Cepheid,a2r69000007laMa,Xpert Carba-R,United States,Region of the Americas,Regulatory Achieved,US FDA 510k,Molecular,Resistance,Gastro-intestinal Infections,NA,https://cepheid.com,Already on the market (commercialized),Surveillance,Not applicable,Unspecified,DNA,Bacteria (Gram-),Unknown,Unknown,qPCR,Fluorescence,NA,Qualitative,CPO,IMP; KPC; NDM; OXA; VIM,NA,Not applicable,NA,Not applicable,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Colony/plate; Rectal swab; Other,Perirectal swab,48,Sunnyvale,Yes,United States,"Sunnyvale, United States",37.3736763,-122.03657532
25.05.2023,Biopanda Reagents ltd.,a2r69000007laNB,Clostridium difficile Combo Rapid Test,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://biopanda.co.uk,Already on the market (commercialized),Diagnostic/confirmatory test,Presumptive identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,20,Belfast,Yes,United Kingdom,"Belfast, United Kingdom",54.58725739,-5.93095207
25.05.2023,OPERON,a2r69000007laLc,Simple/Stick Strep pneumo,Spain,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Upper Respiratory Tract Infections,NA,https://operon.es,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram+),Streptococcus pneumoniae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is optional,Manual,True Point of Care,Intended for professional use only,Urine,NA,20,Zaragoza,Yes,Spain,"Zaragoza, Spain",41.65683746,-0.87942451
25.05.2023,Coris BioConcept,a2r69000007laMD,OXA-23 K-SeT,Belgium,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,Resistance,Gastro-intestinal Infections,NA,https://corisbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Antigen,Not applicable,Unknown,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,CPO,OXA,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Colony/plate,NA,20,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
25.05.2023,Acro Biotech Inc.,a2r69000007laLb,Mycoplasma pneumoniae Antigen Rapid Test Cassette,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Upper Respiratory Tract Infections,NA,https://acrobiotech.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Other,Mycoplasma pneumoniae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Oropharyngeal swab,NA,NA,Rancho Cucamonga,Yes,United States,"Rancho Cucamonga, United States",34.10639954,-117.57576752
25.05.2023,Coris BioConcept,a2r69000007laMC,RESIST CTX-M,Belgium,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,Resistance,Gastro-intestinal Infections,NA,https://corisbio.com,2023,Diagnostic/confirmatory test,Not applicable,Unspecified,Antigen,Not applicable,Unknown,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,ESBL,CTX-M,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Colony/plate,NA,20,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
25.05.2023,OPERON,a2r69000007laLe,Simple/Stick Strep A,Spain,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Upper Respiratory Tract Infections,NA,https://operon.es,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pharyngitis,Antigen,Bacteria (Gram+),Streptococcus pyogenes (Group A),Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is optional,Manual,True Point of Care,Intended for professional use only,Oropharyngeal swab,NA,10,Zaragoza,Yes,Spain,"Zaragoza, Spain",41.65683746,-0.87942451
25.05.2023,Coris BioConcept,a2r69000007laMF,Clostridium K-SeT,Belgium,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://corisbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram+),Clostridioides difficile,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,20,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
25.05.2023,OPERON,a2r69000007laLd,Simple/Stick Strep pneumo-Legio,Spain,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Lower Respiratory Tract Infections; Upper Respiratory Tract Infections,NA,https://operon.es,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Bacteria (Gram+); Bacteria (Gram-),Legionella pneumophila; Streptococcus pneumoniae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is optional,Manual,True Point of Care,Intended for professional use only,Urine,NA,20,Zaragoza,Yes,Spain,"Zaragoza, Spain",41.65683746,-0.87942451
25.05.2023,Coris BioConcept,a2r69000007laME,IMP K-SeT,Belgium,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,Resistance,Bloodstream Infections; Gastro-intestinal Infections,NA,https://corisbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,Antigen,Not applicable,Unknown,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,CPO,IMP,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Blood Culture; Colony/plate; Rectal swab,NA,20,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
25.05.2023,Biozek Medical,a2r69000007laLg,Biozek Strep A Rapid Test Dipstick/Cassette,Netherlands,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Upper Respiratory Tract Infections,NA,https://biozek.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pharyngitis,Antigen,Bacteria (Gram+),Streptococcus pyogenes (Group A),Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Oropharyngeal swab,NA,NA,Apeldoorn,Yes,Netherlands,"Apeldoorn, Netherlands",52.21632385,5.96462202
25.05.2023,Coris BioConcept,a2r69000007laMH,Pylori K-SeT,Belgium,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://corisbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Helicobacter pylori,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,20,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
25.05.2023,Biozek Medical,a2r69000007laLf,Biozek Mycoplasma pneumoniae Antigen Rapid Test Cassette,Netherlands,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Upper Respiratory Tract Infections,NA,https://biozek.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pneumonia,Antigen,Other,Mycoplasma pneumoniae,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Oropharyngeal swab,NA,NA,Apeldoorn,Yes,Netherlands,"Apeldoorn, Netherlands",52.21632385,5.96462202
25.05.2023,Coris BioConcept,a2r69000007laMG,Pylori-Strip,Belgium,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,ID,Gastro-intestinal Infections,NA,https://corisbio.com,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Unspecified,Antigen,Bacteria (Gram-),Helicobacter pylori,Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Stool,NA,20,Gembloux,Yes,Belgium,"Gembloux, Belgium",50.56044006,4.69319773
25.05.2023,LumiQuick Diagnostics Inc.,a2r69000007laLi,Strep A Test Card,United States,Region of the Americas,Regulatory Status Unknown,Unknown,Immunoassay,ID,Upper Respiratory Tract Infections,NA,https://lumiquick.co,Already on the market (commercialized),Diagnostic/confirmatory test,Identification,Pharyngitis,Antigen,Bacteria (Gram+),Streptococcus pyogenes (Group A),Unknown,Lateral Flow Assay,Colorimetric,NA,Qualitative,Not applicable,Not applicable,NA,Not applicable,NA,Not applicable,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Oropharyngeal swab,NA,NA,Santa Clara,Yes,United States,"Santa Clara, United States",37.3523941,-121.95307922
25.05.2023,AmplexDiagnostics GmbH,a2r69000007laMJ,eazyplex SuperBug expert,Germany,European Region,Regulatory Achieved,CE-IVDD,Molecular,Resistance,Gastro-intestinal Infections,Pseudomonas spp; Acinetobacter spp,https://eazyplex.com,Already on the market (commercialized),Diagnostic/confirmatory test,Not applicable,Unspecified,DNA,Bacteria (Gram-),Enterobacterales; Other,Unknown,Isothermal LAMP,Fluorescence,NA,Qualitative,CPO,IMP; Other,NA,Not applicable,NA,Not applicable,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Colony/plate,NA,20,Gars-Bahnhof,Yes,Germany,"Gars-Bahnhof, Germany",48.14619827,12.29627132
