"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Assay: Potential impact (in silico analyses)","Assay: No impact (analytical/clinical studies)","Assay: Impact (analytical/clinical studies)","Assay: No expected impact (in silico analyses)","Assay: S gene dropout","Assay: SARS-CoV-2 variant(s)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name","Instrument: Connectivity Solution","Assay: FIND Website Area"
"a2v69000004gLca","a2r69000007lbwt","","06.07.2023","China","Wuhan","Western Pacific Region","uni-science.com","Uni-science Biotechnology Co., Ltd","SARS-CoV-2 Antigen Rapid Test Kit (Colloidal gold Immunoassay)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLdA","a2r69000007lc0l","","06.07.2023","China","Haicang District","Western Pacific Region","wizbiotech.com","Xiamen Wiz Biotech Co., ltd.","SARS-CoV-2 Antigen Rapid Test (Colloidal Gold); Self-Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","2021","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","15.00","Yes","","","","","","","","","","","","","","None","Alpha; Beta; Delta; Delta+; Gamma; Omicron","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLh4","a2r69000007lbpY","","13.07.2023","China","","Western Pacific Region","https://www.aliabiotech.com/","ALiA BioTech (formerly known as Sanwa BioTech in operation)","CO-Check SARS-CoV-2 Antigen LFIA Test (POCT)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Fluorescence","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","15.00","Yes","","","","","","","","","","","","","","None","Delta; Omicron","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLh3","a2r69000007lbpW","","13.07.2023","China","","Western Pacific Region","https://www.aliabiotech.com/","ALiA BioTech (formerly known as Sanwa BioTech in operation)","ALiA SARS-CoV-2 Antigen FIA Test (POCT)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Fluorescence","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Unknown","","20.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLee","a2r69000007lblC","","06.07.2023","China","Zhuhai","Western Pacific Region","livzondiagnostics.com","Zhuhai Livzon Diagnostics Inc.","Livzon Rapid Test for SARS-CoV-2 Antigen (Lateral Flow)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLed","a2r69000007lbQV","","06.07.2023","China","Zhuhai","Western Pacific Region","livzondiagnostics.com","Zhuhai Livzon Diagnostics Inc.","Diagnostic Kit for Nucleic Acid to nCoV-2019 (PCR- Fluorescence Probe)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Research Use Only (RUO)","None","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLeg","a2r69000007lbAH","","06.07.2023","China","Chongqing","Western Pacific Region","zybio.com","ZYBIO INC.","SARS-CoV-2 & Influenza AB Nucleic Acid Detection Kit","Diagnostic/confirmatory test","ID","Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","N gene; S gene; Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Nasopharyngeal swab; Oropharyngeal swab; Sputum","","60.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLef","a2r69000007lbjr","","06.07.2023","China","Zhuhai","Western Pacific Region","sinochipsdiagnostics.com","ZhuHai Sinochips Bioscience Co., ltd.","COVID-19 Nucleic Acid RT-PCR Test Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLeh","a2r69000007lbFn","","06.07.2023","China","Chongqing","Western Pacific Region","zybio.com","ZYBIO INC.","SARS-CoV-2 Antigen Assay Kit (Colloidal Gold Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; MHRA UK","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","30.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLej","a2r69000007lbRc","","06.07.2023","China","Chongqing","Western Pacific Region","zybio.com","ZYBIO INC.","SARS-CoV-2 Nucleic Acid Detection Kit (PCR-Fluorescent Probe Method)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","Test in BOTH WHO ongoing & under assessment lists (July 7th 2022)","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasal swab; Oropharyngeal swab","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLel","a2r69000007lblD","","06.07.2023","China","Chongqing","Western Pacific Region","zybio.com","ZYBIO INC.","SARS-CoV-2 & Influenza A/B Antigen Assay Kit (Colloidal Gold Method)","Diagnostic/confirmatory test","ID","Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein; Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLeo","a2r69000007lbpB","","06.07.2023","United States","Irvine","Region of the Americas","zymoresearch.com","Zymo Research Corp","Quick SARS-CoV-2 Multiplex Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","N gene","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for self-collection (kit available)","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab; Saliva; Sputum","","113.00","Yes","","","","","","","","","","","","","","None","Alpha; Beta; Delta; Delta+; Gamma; Omicron","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLen","a2r69000007lbRk","","06.07.2023","United States","Irvine","Region of the Americas","zymoresearch.com","Zymo Research Corp","Quick SARS-CoV-2rRT-PCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","N gene","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Mid-turbinate swab; Nasal swab; Nasopharyngeal swab; Oropharyngeal swab; Sputum; Other","","","Yes","","","","","","","","","","","","","","None","Alpha; Beta; Delta; Delta+; Gamma; Omicron","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLdt","a2r69000007lbvx","","06.07.2023","Korea, Republic of","Cheongju-si","Western Pacific Region","zetbio.com","Z BIOTECH INC.","AnyLab COVID-19 Ag Nasal Test Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLdv","a2r69000007lbwg","","06.07.2023","United Kingdom","Unknown","European Region","zekmed.com","Zekmed","Zekmed antigen rapid test cassette (colloidal gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Saliva","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLdu","a2r69000007lbY8","","06.07.2023","Korea, Republic of","Cheongju-si","Western Pacific Region","zetbio.com","Z BIOTECH INC.","AnyLab COVID-19 Ag Test Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; Korea MFDS","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLeY","a2r69000007lbVy","","06.07.2023","China","Unknown","Western Pacific Region","lituo.com.cn","Zhuhai Lituo Biotechnology Co., ltd.","COVID-19 Antigen Detection Kit(Colloidal Gold) For Saliva","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Biochip","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLdx","a2r69000007lbl8","","06.07.2023","Turkey","Unknown","European Region","zetmedikal.com/en","ZET medikal tekstil dis tic ltd sti","SOFTEC SARS COV-2 (COVID-19) Antigen Rapid Test Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLeX","a2r69000007lbWR","","06.07.2023","China","Zhuhai","Western Pacific Region","zhhaitai.com","Zhuhai Haitai Biological Pharmaceutical Co., ltd.","Novel Coronavirus (2019-nCoV)/Flu A/Flu B Real-time Multiplex RT-PCR Kit (manual","Diagnostic/confirmatory test","ID","Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Research Use Only (RUO)","None","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLdw","a2r69000007lbz7","","06.07.2023","Thailand","Bangkok","South-East Asian Region","zenosticbio.com","Zenostic","FastProof Dual SARS-CoV-2 RT-LAMP Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","RdRp gene","Isothermal LAMP","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Saliva","","60.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLea","a2r69000007lbGt","","06.07.2023","China","Unknown","Western Pacific Region","lituo.com.cn","Zhuhai Lituo Biotechnology Co., ltd.","COVID-19 Antigen Detection Kit (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhh","a2r69000007lbB4","","13.07.2023","India","Pune","South-East Asian Region","mylabglobal.com","Mylab Discovery Solutions Pvt. Ltd.","PathoDetect COVID-19 Qualitative PCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; India CDSCO","Indian CDSCO","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1b","qPCR","","Fluorescence","NAT reagent kit (open source)","","A proprietary/new instrument is optional","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Mid-turbinate swab; Nasal swab; Nasopharyngeal swab; Oropharyngeal swab; Sputum","","90.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta; Delta; Gamma; Omicron","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhl","a2r69000007lc2L","","13.07.2023","United Kingdom","West Sussex","European Region","optigene.co.uk","Optigene","COVID-19_Direct Plus RT-LAMP KIT","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","MHRA UK","","Already on the market (commercialized)","Molecular","RNA","ORF1ab","Isothermal LAMP","","Fluorescence","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Saliva","","60.00","Yes","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhk","a2r69000007lc25","","13.07.2023","United States","San Diego","Region of the Americas","onsitegene.com","OnSiteGene","Hi-Sense COVID-19 Molecular Testing Kit 1.0","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Mid-turbinate swab; Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","50.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhm","a2r69000007lbjP","","13.07.2023","United States","Scottsdale","Region of the Americas","pathogendx.com","PathogenDx","DetectX-Rv","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","N gene","qPCR","DNA microarray","Fluorescence","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta; Delta; Gamma","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhp","a2r69000007lbEK","","13.07.2023","United States","Ontario","Region of the Americas","","Pro-Lab Diagnostics","Proflow SARS-CoV-2 Antigen Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; MHRA UK","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","Unknown","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhq","a2r69000007lc2G","","13.07.2023","United Kingdom","London","European Region","protondx.com","ProtonDx","Dragonfly SARS-CoV-2 Test Panel","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; MHRA UK","","Already on the market (commercialized)","Molecular","RNA","E gene; N1 gene; N2 gene","Isothermal LAMP","","Colorimetric","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Buccal swab; Nasal swab; Nasopharyngeal swab","","30.00","Yes","","","","","","","","","","","","","","Not applicable","Not applicable","Not applicable","Not applicable","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhv","a2r69000007lbEc","","13.07.2023","Turkey","Ankara","European Region","sgadx.com/sars-cov-2-test-kits","SGA Medikal","V-chek SARS-CoV-2 Rapid Ag Test Kit (IFA)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is optional","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","0.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLi9","a2r69000007lc26","","13.07.2023","United States","San Jose","Region of the Americas","visbymedical.com","Visby Medical, Inc","Visby Medical Respiratory Health Test","Diagnostic/confirmatory test","ID","Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Regulatory Achieved","US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","N gene; ORF1ab","qPCR","","Colorimetric","Cartridge-based processing","","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab","","30.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta; Delta; Delta+; Gamma; Omicron; Omicron (BA.4); Omicron (BA.5)","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhW","a2r69000007lbW3","","13.07.2023","China","Unknown","Western Pacific Region","english.ipe.cas.cn","Institute of Process Engineering, Chinese Academy of Sciences","Coronavirus Disease 2019 COVID-19 Nucleic Acid Testing Kit CAMP-based)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Research Use Only (RUO)","None","","Already on the market (commercialized)","Molecular","RNA","Unknown","Isothermal Other","CAMP","Fluorescence","NAT reagent kit (open source)","","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Unknown","","","Yes","","","","","","","","","","","","","","None","Delta","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhZ","a2r69000007lbpE","","13.07.2023","China","Jiangsu","Western Pacific Region","medomics-dx.net","Jiangsu Medomics Medical Technology","SARS-CoV-2 Antigen Test Kit (LFIA)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","20.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhY","a2r69000007lbJW","","13.07.2023","China","Rudong County","Western Pacific Region","mmtest.com","Jiangsu Macro & Micro-Test Med-Tech Co., Ltd.","SARS-CoV-2 Virus Antigen Detection Kit (Immunofluorescence Chromatography)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Fluorescence","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLiA","a2r69000007lbx7","","13.07.2023","China","Hangzhou","Western Pacific Region","vivachek.com","VivaChek Biotech (Hangzhou) Co., Ltd.","VivaDiag SARS-CoV-2 Ag FIA Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Fluorescence","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","near Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","15.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhb","a2r69000007lbNd","","13.07.2023","Japan","Bunkyo-ku","Western Pacific Region","kainos.co.jp/en/etc/index.html","KAINOS Laboratories, Inc.","Swiftgene SARS-CoV-2 KAINOS","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Japan MHLW","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","Unspecified","","Unknown","Unknown","Lab-based","Intended for professional use only","Unknown","","","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLha","a2r69000007lbNc","","13.07.2023","Japan","Yokohama-shi","Western Pacific Region","dnaform.jp/en","K.K. DNAFORM","SmartAmp SARS-CoV-2","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Japan MHLW","","Already on the market (commercialized)","Molecular","RNA","Other","Isothermal Other","","Fluorescence","NAT reagent kit (open source)","","Unknown","Unknown","Lab-based","Intended for professional use only","Unknown","","40.00","Yes","","","","","","","","","","","","","","None","None","None","None","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
"a2v69000004gLhd","a2r69000007lb6L","","13.07.2023","Canada","Richmond Hill","Region of the Americas","laipac.com","Laipac Technology Inc.","LooK SPOT","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; Germany BfArM; Other","UAE MoH","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","IGRA","Colorimetric","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is optional","Manual","True Point of Care","Intended for professional use only","Nasal swab","","8.00","Yes","","","","","","","","","","","","","","None","None","None","Alpha; Beta; Delta; Delta+; Gamma; Omicron","Unknown","Not applicable","Victoria Aroworade","Victoria Aroworade","","","","COVID-19; Outbreak"
