"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Disease Target Phase","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Resistance Marker","Assay: Other resistance marker","Assay: Drug Resistance Target","Assay: Other drug resistance target","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Perf Submission Title","Performance Detail Submission Number","Assay Target","Study Type","Type of data source","Drug Resistance Target","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Target Patient Group","Sample Type","Total number of samples","Number of positive samples","Number of negative samples","Other drug resistance target","Assay: Other Regulatory Approval","Assay: Purpose of submission"
"a2v69000004gKrM","a2r69000007lbEs","a266900000B8tr9","06.07.2023","Daejeon","Korea, Republic of","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower TB&MDR RealTime PCR kit-A","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","fabG1; inhA; katG; oxyR-ahpC intergenic region; rpoB","","Isoniazid; Rifampicin","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Urine","","","Yes","No","","PD-57881","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKrL","a2r69000007lbEs","a266900000B8tr8","06.07.2023","Daejeon","Korea, Republic of","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower TB&MDR RealTime PCR kit-A","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","fabG1; inhA; katG; oxyR-ahpC intergenic region; rpoB","","Isoniazid; Rifampicin","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Urine","","","Yes","No","","PD-57880","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKrO","a2r69000007lbF4","a266900000B8trB","06.07.2023","Daejeon","Korea, Republic of","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower XDR-TB RealTime PCR kit-A","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","gyrA; gyrB; rrs","","Amikacin; Fluoroquinolone; Kanamycin","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Sputum Culture","","","Yes","No","","PD-57883","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKrN","a2r69000007lbF4","a266900000B8trA","06.07.2023","Daejeon","Korea, Republic of","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower XDR-TB RealTime PCR kit-A","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","gyrA; gyrB; rrs","","Amikacin; Fluoroquinolone; Kanamycin","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Sputum Culture","","","Yes","No","","PD-57882","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKrQ","a2r69000007lbF5","a266900000B8trD","06.07.2023","Daejeon","Korea, Republic of","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower XDR-TB RealTime PCR kit-B","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","embB; rpsL","","Ethambutol; Streptomycin","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Sputum Culture","","","Yes","No","","PD-57885","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKrP","a2r69000007lbF5","a266900000B8trC","06.07.2023","Daejeon","Korea, Republic of","Western Pacific Region","bioneer.com","Bioneer Corporation","AccuPower XDR-TB RealTime PCR kit-B","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","embB; rpsL","","Ethambutol; Streptomycin","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Bronchoalveolar lavage; Sputum; Sputum Culture","","","Yes","No","","PD-57884","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLVH","a2r69000007lbFM","a266900000B8tu1","06.07.2023","Pune","India","South-East Asian Region","seruminstitute.com","Serum Institute of India","Cy-Tb skin test","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Regulatory Achieved","WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","MTB CFP-10; MTB ESAT-6","Host Immune Response","Skin test","Colorimetric","Not applicable","","Not applicable","","Other","Injectable","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Other","injection under skin","","Yes","No","","PD-58059","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLUF","a2r69000007lbLA","a266900000B8ttv","06.07.2023","Suwon-si","Korea, Republic of","Western Pacific Region","sdbiosensor.com","SD Biosensor, Inc.","Standard F TB LAM Ag FIA","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis","Late Stage Development (fully functional prototype)","None","Unspecified Market Entry","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Fluorescence","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","","Yes","No","","PD-58053","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLTq","a2r69000007lbFJ","a266900000B8tts","06.07.2023","Madison","United States","Region of the Americas","salusd.com","Salus Discovery","FLOW TB Urine LAM Assay","Triage/Screening","ID","Tuberculosis","Active","Mycobacterium Tuberculosis","Late Stage Development (fully functional prototype)","None","Unspecified Market Entry","Immunoassay","Antigen","Lipoarabinomannan (LAM)","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Urine","","","Yes","No","","PD-58050","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000003LBpe","a2r69000006Skdn","a266900000BsdtA","10.10.2023","Beijing","China","Western Pacific Region","ystwt.cn","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd","Wantai TB-IGRA","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Regulatory Achieved","China NMPA; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","Interferon Gamma","ELISA/EIA; IGRA","","Colorimetric","Not applicable","","Not applicable","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Whole Blood","","","Yes","No","","PD-69673","","","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKxz","a2r69000007lbLH","a266900000B8tqt","06.07.2023","HeBei","China","Western Pacific Region","atlas-link.com","Atlas Link Technology Co., Ltd.","NOVA Test Tuberculosis IGG/IGM Tri-line Test","Triage/Screening","ID","Tuberculosis","Active","Mycobacterium Tuberculosis","Research Use Only (RUO)","None","Already on the market (commercialized)","Immunoassay","Antibody (serological)","MTB IgG; MTB IgM","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","","PD-57865","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKy0","a2r69000007lbLI","a266900000B8tqu","06.07.2023","HeBei","China","Western Pacific Region","atlas-link.com","Atlas Link Technology Co., Ltd.","NOVA Test Tuberculosis Antibody Test","Triage/Screening","ID","Tuberculosis","Active","Mycobacterium Tuberculosis","Research Use Only (RUO)","None","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum","","15.00","Yes","No","","PD-57866","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKwm","a2r69000007lbLK","a266900000B8tqr","06.07.2023","Anhui","China","Western Pacific Region","zflongkema.com","Anhui Zhifei Longcom Biopharmaceutical Co. Ltd.","Recombinant mycobacterium tuberculosis fusion protein(EC)n","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD; WHO recommended","Already on the market (commercialized)","Immunoassay","Antigen","PPD tuberculin","Host Immune Response","Skin test","Colorimetric","Not applicable","","Not applicable","","Other","Injectable","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Other","injection under skin","","Yes","No","","PD-57863","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKwp","a2r69000007lbLL","a266900000B8tqs","06.07.2023","Cape Town","South Africa","African Region","antrumbiotech.co","Antrum Biotech","IRISA-TB","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Late Stage Development (fully functional prototype)","None","Unspecified Market Entry","Immunoassay","Antigen","Interferon Gamma","ELISA/EIA; IGRA","","Colorimetric","Not applicable","","Not applicable","","Chemiluminescent Immunoassay (CLIA)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Cerebrospinal fluid (CSF); Other","Pleural fluid; Pericardial fluid; Peritoneal fluid;","120.00","Yes","No","","PD-57864","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLdD","a2r69000007lb6F","a266900000B8tu6","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro MTB/RIF Test Kit","Diagnostic/confirmatory test","AMR","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; Other","Already on the market (commercialized)","Molecular","DNA","Not applicable","qPCR","Melt-curve analysis","Fluorescence","rpoB","rpoB codons 507~533","Rifampicin","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Sputum; Sputum Culture","","","Yes","No","","PD-58064","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","China CDFA","Test Directory"
"a2v69000004gLdC","a2r69000007lb6B","a266900000B8tu5","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro MTB/SL Test Kit","Diagnostic/confirmatory test","AMR","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","DNA","Not applicable","qPCR","Melt-curve analysis","Fluorescence","eis promoter; rrs","rrs (positions 1401; 1402 and 1484) and eis promoter region (positions -37; -14 and -10)","Amikacin; Capreomycin; Kanamycin","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Sputum; Sputum Culture","","","Yes","No","","PD-58063","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLdF","a2r69000007lb6H","a266900000B8tu8","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro MTB/INH Test Kit","Diagnostic/confirmatory test","AMR","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; Other","Already on the market (commercialized)","Molecular","DNA","Not applicable","qPCR","Melt-curve analysis","Fluorescence","inhA; inhA promoter; oxyR-ahpC intergenic region","ahpC promoter region (positions -44~-30 and -15~3); inhA codon 94; inhA promoter region (positions -17~-8); and katG codon 315","Isoniazid","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Sputum; Sputum Culture","","","Yes","No","","PD-58066","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","China CDFA","Test Directory"
"a2v69000004gLdE","a2r69000007lb6G","a266900000B8tu7","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro MTB/STR Test Kit","Diagnostic/confirmatory test","AMR","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; Other","Already on the market (commercialized)","Molecular","DNA","Not applicable","qPCR","Melt-curve analysis","Fluorescence","rpsL","codon 43 and codon 88; rrs positions 513 - 517 and positions 905 - 908","Streptomycin","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Sputum; Sputum Culture","","","Yes","No","","PD-58065","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","China CDFA","Test Directory"
"a2v69000004gLdH","a2r69000007lb6J","a266900000B8tuA","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro MTB/FQ Test Kit","Diagnostic/confirmatory test","AMR","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; Other","Already on the market (commercialized)","Molecular","DNA","Not applicable","qPCR","Melt-curve analysis","Fluorescence","gyrA","gyrA codons 88~94","Fluoroquinolone","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Sputum; Sputum Culture","","","Yes","No","","PD-58068","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","China CDFA","Test Directory"
"a2v69000004gLdG","a2r69000007lb6I","a266900000B8tu9","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro MTB/EMB Test Kit","Diagnostic/confirmatory test","AMR","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDD; Other","Already on the market (commercialized)","Molecular","DNA","Not applicable","qPCR","Melt-curve analysis","Fluorescence","embB","embB codons 306; 368; 378; 380; 406; 497","Ethambutol","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Sputum; Sputum Culture","","","Yes","No","","PD-58067","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","China CDFA","Test Directory"
"a2v69000004gLdJ","a2r69000007lbFP","a266900000B8tuC","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro Mycobacteria Identification Kit","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","DNA","MTB ITS","qPCR","Melt-curve analysis","Fluorescence","Not applicable","","Not applicable","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Sputum; Sputum Culture","","","Yes","No","","PD-58070","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLdI","a2r69000007lbFO","a266900000B8tuB","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro TB Assay","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","Other","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","Not applicable","","Not applicable","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Sputum","","","Yes","No","","PD-58069","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","China CDFA","Test Directory"
"a2v69000004gLdK","a2r69000007lbFQ","a266900000B8tuD","06.07.2023","Xiamen City","China","Western Pacific Region","zeesandx.com","Xiamen Zeesan Biotech Co., ltd.","MeltPro Mycobacterium Tuberculosis McSpoligotyping Kit","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Research Use Only (RUO)","None","Already on the market (commercialized)","Molecular","DNA","Other","qPCR","Melt-curve analysis","Fluorescence","Not applicable","","Not applicable","","NAT reagent kit (proprietary platform)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Sputum; Sputum Culture","","","Yes","No","","PD-58071","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLhg","a2r69000007lb8t","a266900000B8ttD","13.07.2023","Bavaria","Germany","European Region","mikrogen.de","Mikrogen GmbH","T-Track TB part 2 - T-Track TB Quant PCR","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Molecular","RNA","Interferon Gamma; Other","qPCR","","Fluorescence","Not applicable","","Not applicable","","NAT reagent kit (open source)","","A proprietary/new instrument is optional","Manual","Lab-based","Intended for professional use only","Purified RNA","","180.00","Yes","No","","PD-58009","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLht","a2r69000007lb8w","a266900000B8ttl","13.07.2023","Borstel","Germany","European Region","fz-borstel.de/index.php/en","Research Center Borstel","TB22 signature in-house assay","Monitoring (treatment, immune status, patient)","Host Response","Tuberculosis","Active","Mycobacterium Tuberculosis","Early Stage Development (partial prototype)","None","Unspecified Market Entry","Molecular","mRNA","Unknown","qPCR","","Fluorescence","Not applicable","","Not applicable","","Unspecified","","Unknown","Unknown","Lab-based","Intended for professional use only","Whole Blood","","","Yes","No","","PD-58043","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLhs","a2r69000007lb8z","a266900000B8tth","13.07.2023","Newcastle upon Tyne","United Kingdom","European Region","quantumdx.com","QuantuMDx Group Limited","RISK 6 host response assay","Monitoring (treatment, immune status, patient)","Host Response","Tuberculosis","Active","Mycobacterium Tuberculosis","Early Stage Development (partial prototype)","None","Unspecified Market Entry","Molecular","mRNA","Unknown","qPCR","","Fluorescence","Not applicable","","Not applicable","","Unspecified","","Unknown","Unknown","Lab-based","Intended for professional use only","Finger prick blood","","","Yes","No","","PD-58039","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLhf","a2r69000007lbEy","a266900000B8ttC","13.07.2023","Bavaria","Germany","European Region","mikrogen.de","Mikrogen GmbH","T-Track TB part 1 - T-Track TB Stimulation","Triage/Screening","ID","Tuberculosis","Latent","Mycobacterium Tuberculosis","Regulatory Achieved","CE-IVDD","Already on the market (commercialized)","Immunoassay","Antigen","MTB CFP-10; MTB ESAT-6","Other","part 1 of 2 test kit; activation and incubation","Fluorescence","Not applicable","","Not applicable","","Other","Stimulation/incubation","A proprietary/new instrument is optional","Manual","Lab-based","Intended for professional use only","Whole Blood","Blood stimulation tubes","1440.00","Yes","No","","PD-58008","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gLAd","a2r69000007lbL8","a266900000B8ts8","06.07.2023","Pleasanton","United States","Region of the Americas","Genendeavor.com","GenEndeavor llc","RidTB","Triage/Screening","ID","Tuberculosis","Active","Mycobacterium Tuberculosis","Late Stage Development (fully functional prototype)","None","Unspecified Market Entry","Molecular","DNA","MTB IS6110","Other","lateral flow nucleic acid Assay","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","Standard lab instrumentation is required","Manual","near Point of Care","Intended for professional use only","Saliva; Urine","","","Yes","No","","PD-57942","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gL8w","a2r69000007lb8p","a266900000B8ts7","06.07.2023","Yangzhou","China","Western Pacific Region","http://www.genenexus.com/","Erythra Inc.","Erythra-TB-KIT","Triage/Screening","ID","Tuberculosis","Active","Mycobacterium Tuberculosis","Research Use Only (RUO)","None","Already on the market (commercialized)","Immunoassay","Antigen","Other","Lateral Flow Assay","","Colorimetric","Not applicable","","Not applicable","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Other","Heamolysate","5.00","Yes","No","","PD-57941","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gL8a","a2r69000007lb8j","a266900000B8trz","06.07.2023","Otawara","Japan","Western Pacific Region","eiken.co.jp","Eiken Chemical Co., Ltd.","Loopamp MTBC Detection Kit","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Regulatory Achieved","CE-IVDR; WHO recommended","Already on the market (commercialized)","Molecular","DNA","MTB gyrB Gene; Other","Isothermal LAMP","","Fluorescence","Not applicable","","Not applicable","","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","near Point of Care","Intended for professional use only","Sputum","","40.00","Yes","No","","PD-57933","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","WHO recommended","Test Directory"
"a2v69000004gKl5","a2r69000007lbEz","a266900000B8ttN","06.07.2023","Pune","India","South-East Asian Region","mylabglobal.com","Mylab Discovery Solutions Pvt. Ltd.","PathoDetect MTB Detection kit","Diagnostic/confirmatory test","ID","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Research Use Only (RUO)","None","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","Not applicable","","Not applicable","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Sputum; Sputum Culture; Other","EPTB specimen","80.00","Yes","No","","PD-58019","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKl6","a2r69000007lbF0","a266900000B8ttO","06.07.2023","Pune","India","South-East Asian Region","mylabglobal.com","Mylab Discovery Solutions Pvt. Ltd.","PathoDetect MTB RIF and INH resistance detection kit","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis; Mycobacterium Tuberculosis Complex Species","Research Use Only (RUO)","None","Already on the market (commercialized)","Molecular","DNA","MTB IS6110","qPCR","","Fluorescence","Unknown","","Isoniazid; Rifampicin","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Unknown","near Point of Care","Intended for professional use only","Sputum; Sputum Culture; Other","EPTB specimen","80.00","Yes","No","","PD-58020","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKl9","a2r69000007lb68","a266900000B8ttG","06.07.2023","Verna Industrial Estate, Verna,","India","South-East Asian Region","molbiodiagnostics.com","Molbio Diagnostics Pvt. Ltd.","Truenat MTB-BDQ","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Late Stage Development (fully functional prototype)","None","Unspecified Market Entry","Molecular","DNA","Not applicable","qPCR","","Fluorescence","atpE","","Bedaquiline","","Cartridge-based processing","chip based","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Purified DNA","Sputum or EPTB specimen","","Yes","No","","PD-58012","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKl8","a2r69000007lb67","a266900000B8ttF","06.07.2023","Verna Industrial Estate, Verna,","India","South-East Asian Region","molbiodiagnostics.com","Molbio Diagnostics Pvt. Ltd.","Truenat MTB-FQ","Diagnostic/confirmatory test","ID-AMR","Tuberculosis","Active","Mycobacterium Tuberculosis","Late Stage Development (fully functional prototype)","None","Unspecified Market Entry","Molecular","DNA","Not applicable","qPCR","","Fluorescence","gyrA","","Fluoroquinolone","","Cartridge-based processing","chip based","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Purified DNA","Sputum or EPTB specimen","","Yes","No","","PD-58011","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
"a2v69000004gKjO","a2r69000007lbL5","a266900000B8tr2","06.07.2023","Pasadena","United States","Region of the Americas","beckmancoulter.com","Beckman Coulter Inc.","T cell activation marker (TAM-TB) assay","Monitoring (treatment, immune status, patient)","ID","Tuberculosis","Active","Mycobacterium Tuberculosis","Early Stage Development (partial prototype)","None","Unspecified Market Entry","Immunoassay","Antigen","Other","Flow Cytometry","","Fluorescence","Not applicable","","Not applicable","","Other","Flow cytometry","A proprietary/new instrument is required","Unknown","Lab-based","Intended for professional use only","Whole Blood","","","Yes","No","","PD-57874","","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0","","","Test Directory"
