"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: FIND Website Area","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Perf Submission Title","FIND Evaluation","Study Type","Type of data source","Assay Target","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Target Patient Group","Sample Type","Total number of samples","Number of positive samples","Number of negative samples"
"a2v69000004gKt7","a2r69000007lboX","a266900000Bsbpw","06.07.2023","Neglected Tropical Diseases","Abbott Park","United States","Region of the Americas","abbott.com","Abbott Laboratories","SD Bioline Chagas AB rapid test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA; Guatemala DGVRCS; Honduras DGVMN; Paraguay DINAVISA; Peru DIGEMID; Other","Uruguay","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","Mendicino Combination of 2 RDTs","No","Independent","Published scientific article","Antibody (serological)","97.60","0.00","0.00","93.80","0.00","0.00","","Serum","106","42","64"
"a2v69000004gKt7","a2r69000007lboX","a266900000CC5fi","06.07.2023","Neglected Tropical Diseases","Abbott Park","United States","Region of the Americas","abbott.com","Abbott Laboratories","SD Bioline Chagas AB rapid test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA; Guatemala DGVRCS; Honduras DGVMN; Paraguay DINAVISA; Peru DIGEMID; Other","Uruguay","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","FIND evaluation (Colombia)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","92.99","90.84","95.15","99.65","98.78","100.00","Chronic","Serum","585","0","0"
"a2v69000004gKt7","a2r69000007lboX","a266900000CC5fj","06.07.2023","Neglected Tropical Diseases","Abbott Park","United States","Region of the Americas","abbott.com","Abbott Laboratories","SD Bioline Chagas AB rapid test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA; Guatemala DGVRCS; Honduras DGVMN; Paraguay DINAVISA; Peru DIGEMID; Other","Uruguay","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","FIND evaluation (Bolivia)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","94.44","90.33","96.87","98.87","95.97","99.69","Chronic","Serum","375","0","0"
"a2v69000004gKt7","a2r69000007lboX","a266900000CC5fk","06.07.2023","Neglected Tropical Diseases","Abbott Park","United States","Region of the Americas","abbott.com","Abbott Laboratories","SD Bioline Chagas AB rapid test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Argentina ANMAT; Bolivia AGEMED; Brazil ANVISA; CE-IVDD; Colombia INVIMA; Ecuador ARCSA; Guatemala DGVRCS; Honduras DGVMN; Paraguay DINAVISA; Peru DIGEMID; Other","Uruguay","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","FIND evaluation (Argentina)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","100.00","98.17","100.00","76.00","69.47","81.74","Chronic","Serum","400","0","0"
"a2v69000004gKrw","a2r69000007lc0O","a266900000BscqZ","06.07.2023","Neglected Tropical Diseases","Valencia","Spain","European Region","progenie-molecular.com","Progenie Molecular S.L.U.","RealCycler CHAG","","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Unknown","","Already on the market (commercialized)","Molecular","DNA","Satellite DNA","qPCR","","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is optional","Manual","Lab-based","Intended for professional use only","Whole Blood","","","Yes","No","Trypanosoma cruzi BLANK","No","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gKt8","a2r69000007lc1D","a266900000Bsbpz","06.07.2023","Neglected Tropical Diseases","Cambridge","United Kingdom","European Region","abcam.com","AbCam","Anti-Chagas IgG ELISA Kit","","ID","Chagas Disease","Trypanosoma cruzi","Research Use Only (RUO)","None","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","145.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","100.00","0.00","0.00","98.90","0.00","0.00","","Serum; Plasma","0","0","0"
"a2v69000004gLSg","a2r69000007lbkj","a266900000Bscs9","06.07.2023","Neglected Tropical Diseases","Little Bentley","United Kingdom","European Region","rapidlabs.co.uk","Rapid Labs ltd.","Chagas Ab Rapid Test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","92.90","66.10","99.80","98.40","96.00","99.60","","Serum; Plasma; Whole Blood","264","17","247"
"a2v69000004gLT4","a2r69000007lc17","a266900000Bscsj","06.07.2023","Neglected Tropical Diseases","Unknown","Paraguay","Region of the Americas","","Research Institute for Health Sciences (University of Asuncion)","Chagas V2-IICS","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","","60.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","98.00","96.00","99.00","98.00","96.00","99.00","","Serum","0","0","0"
"a2v69000004gLT4","a2r69000007lc17","a266900000Bscsk","06.07.2023","Neglected Tropical Diseases","Unknown","Paraguay","Region of the Americas","","Research Institute for Health Sciences (University of Asuncion)","Chagas V2-IICS","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum","","60.00","Yes","No","Acosta et al poster","No","Independent","Other","Antibody (serological)","98.00","96.00","99.00","98.00","97.00","99.00","","Serum","2222","1111","1111"
"a2v69000004gLT3","a2r69000007lc16","a266900000Bscsl","06.07.2023","Neglected Tropical Diseases","Unknown","Paraguay","Region of the Americas","","Research Institute for Health Sciences (University of Asuncion)","Chagas Test ELISA","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Whole Blood","","110.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","97.00","96.00","99.00","98.00","96.00","99.00","","Serum; Whole Blood","0","0","0"
"a2v69000004gLT3","a2r69000007lc16","a266900000Bscsm","06.07.2023","Neglected Tropical Diseases","Unknown","Paraguay","Region of the Americas","","Research Institute for Health Sciences (University of Asuncion)","Chagas Test ELISA","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Whole Blood","","110.00","Yes","No","WHO comparative study data 2010","No","Independent","Published scientific article","Antibody (serological)","97.02","93.20","99.00","99.60","97.30","99.90","","Serum","430","168","262"
"a2v69000004gKuU","a2r69000007lbnu","a266900000Bsbsf","06.07.2023","Neglected Tropical Diseases","Guidonia Montecelio","Italy","European Region","adaltis.net","Adaltis srl","EIAgen T cruzi IgG + IgM","","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Status Unknown","Unknown","","Unknown","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","","Yes","No","Trypanosoma cruzi BLANK","No","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gLVb","a2r69000007lbJq","a266900000Bscyg","06.07.2023","Neglected Tropical Diseases","Changzhou","China","Western Pacific Region","chemtronbio.com","Shanghai Chemtron Biotech Co., Ltd","Schistosomiasis Antibody Rapid Test","Diagnostic/confirmatory test","ID","Schistosomiasis","Schistosoma mansoni","Validation","None","","2023","Immunoassay","Antibody (serological)","Schisto Total Antibody","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Serum","","10.00","Yes","No","Schisto BLANK","No","Company-Sponsored","No available data","Antibody (serological)","0.00","0.00","0.00","0.00","0.00","0.00","All","","0","0","0"
"a2v69000004gLVd","a2r69000007lbFe","a266900000Bscyi","06.07.2023","Neglected Tropical Diseases","Changzhou","China","Western Pacific Region","chemtronbio.com","Shanghai Chemtron Biotech Co., Ltd","Filariasis IgG/IgM Antibody Rapid Test","Diagnostic/confirmatory test","ID","Lymphatic Filariasis","Brugia malayi; Wuchereria bancrofti","Validation","None","","2022","Immunoassay","Antibody (serological)","LF IgG; LF IgM","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","10.00","Yes","No","Filariasis OVERALL BLANK","No","Company-Sponsored","No available data","Antibody (serological)","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gKte","a2r69000007lboO","a266900000BsbrI","06.07.2023","Neglected Tropical Diseases","Beijing","China","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Chagas Cassette","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","99.90","97.30","100.00","99.50","97.40","100.00","","Serum; Plasma; Whole Blood","214","14","200"
"a2v69000004gKte","a2r69000007lboO","a266900000BsbrJ","06.07.2023","Neglected Tropical Diseases","Beijing","China","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Chagas Cassette","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","Technical report INLASA","No","Independent","Government reports","Antibody (serological)","84.60","0.00","0.00","100.00","0.00","0.00","","Serum","44","11","33"
"a2v69000004gKte","a2r69000007lboO","a266900000CC5fT","06.07.2023","Neglected Tropical Diseases","Beijing","China","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Chagas Cassette","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","FIND evaluation (Bolivia)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","84.36","78.32","88.95","100.00","97.49","100.00","Chronic","Serum","328","0","0"
"a2v69000004gKte","a2r69000007lboO","a266900000CC5fU","06.07.2023","Neglected Tropical Diseases","Beijing","China","Western Pacific Region","accubiotech.com","AccuBioTech Co., ltd.","Accu-Tell Chagas Cassette","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","FIND evaluation (Argentina)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","98.00","94.96","99.45","93.00","88.53","96.12","Chronic","Serum","400","0","0"
"a2v69000004gKuM","a2r69000007lbki","a266900000BsbsN","06.07.2023","Neglected Tropical Diseases","Rancho Cucamonga","United States","Region of the Americas","acrobiotech.com","Acro Biotech Inc.","Chagas Rapid Test Cassette- WB/S/P","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","92.90","66.10","99.80","98.40","96.00","99.60","","Serum; Plasma; Whole Blood","264","17","247"
"a2v69000004gKuM","a2r69000007lbki","a266900000CC5fZ","06.07.2023","Neglected Tropical Diseases","Rancho Cucamonga","United States","Region of the Americas","acrobiotech.com","Acro Biotech Inc.","Chagas Rapid Test Cassette- WB/S/P","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD; Ecuador ARCSA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","FIND evaluation (Bolivia)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","87.85","82.79","91.57","89.25","83.98","92.93","Chronic","Serum","400","0","0"
"a2v69000004gKuA","a2r69000007lboW","a266900000BsbsU","06.07.2023","Neglected Tropical Diseases","Rancho Cucamonga","United States","Region of the Americas","acrobiotech.com","Acro Biotech Inc.","Chagas Rapid Test Cassette S/P","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED; CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum","","15.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","92.90","66.10","99.80","99.00","96.40","99.90","","Serum; Plasma","214","14","200"
"a2v69000004gLUG","a2r69000007lbT0","a266900000Bscwf","06.07.2023","Neglected Tropical Diseases","Suwon-si","Korea, Republic of","Western Pacific Region","sdbiosensor.com","SD Biosensor, Inc.","STANDARD Q Filariasis Ag Test","Diagnostic/confirmatory test","ID","Lymphatic Filariasis","Wuchereria bancrofti","Regulatory Achieved","CE-IVDD; Korea MFDS","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","10.00","Yes","No","Wuchereria bancrofti Antigen","No","Company-Sponsored","Instructions for Use (IFU)","Antigen","100.00","92.90","100.00","100.00","100.00","92.60","","Serum; Plasma","389","99","190"
"a2v69000004gKx5","a2r69000007lboH","a266900000BsbwO","06.07.2023","Neglected Tropical Diseases","Burnaby","Canada","Region of the Americas","artronlab.com","Artron Laboratories Inc.","Chagas Antibody Test Cassette","Triage/Screening","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","CE-IVDD; Colombia INVIMA; Paraguay DINAVISA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","","Yes","No","Performance specification report","No","Company-Sponsored","Other","Antibody (serological)","98.50","0.00","0.00","100.00","0.00","0.00","","Serum","350","200","150"
"a2v69000004gKx5","a2r69000007lboH","a266900000CC5fX","06.07.2023","Neglected Tropical Diseases","Burnaby","Canada","Region of the Americas","artronlab.com","Artron Laboratories Inc.","Chagas Antibody Test Cassette","Triage/Screening","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","CE-IVDD; Colombia INVIMA; Paraguay DINAVISA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG; Chagas IgM","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","","Yes","No","FIND evaluation (Colombia)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","87.18","84.38","89.97","99.65","98.78","100.00","Chronic","Serum","585","0","0"
"a2v69000003LBrG","a2r69000006SkhL","a266900000BsdtK","12.10.2023","Neglected Tropical Diseases","Gembloux","Belgium","European Region","corisbio.com","Coris BioConcept","HAT Sero K-SeT","Diagnostic/confirmatory test","ID","Human African Trypanosomiasis (HAT)","Trypanosoma brucei","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","15.00","Yes","No","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gKvZ","a2r69000007lc0J","a266900000BsbuP","06.07.2023","Neglected Tropical Diseases","Hamburg","Germany","European Region","altona-diagnostics.com","altona Diagnostics GmbH","RealStar Chagas PCR Kit","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","DNA","Unknown","qPCR","","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","DNA","0.00","0.00","0.00","0.00","0.00","0.00","","Unknown","0","0","0"
"a2v69000003LBrL","a2r69000006SkhV","a266900000BsdtP","12.10.2023","Neglected Tropical Diseases","Antwerp","Belgium","European Region","diagnostics.itg.be","Institute of Tropical Medicine Belgium","ITM CATT/T.b.gambiense","Diagnostic/confirmatory test","ID","Human African Trypanosomiasis (HAT)","Trypanosoma brucei","Research Use Only (RUO)","","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","","Slide Agglutination","","Slide Agglutination","","A proprietary/new instrument is required","Manual","near Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum","","10.00","Yes","No","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gKwF","a2r69000007lboS","a266900000BsbvD","06.07.2023","Neglected Tropical Diseases","Puebla","Mexico","Region of the Americas","amunet.com.mx","Amunet S.A. de C.V","Amunet prueba rapida Chagas","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Mexico COFEPRIS","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum","","15.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","92.90","66.10","99.80","99.90","98.50","100.00","","Serum; Plasma","213","13","200"
"a2v69000004gLVi","a2r69000007lbGl","a266900000Bscyt","06.07.2023","Neglected Tropical Diseases","Changzhou","China","Western Pacific Region","chemtronbio.com","Shanghai Chemtron Biotech Co., Ltd","Chagas Antibody Rapid Test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Validation","None","","2022","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","10.00","Yes","No","Chagas IgG BLANK","No","Company-Sponsored","No available data","Antibody (serological)","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gLVk","a2r69000007lbs8","a266900000Bscyv","06.07.2023","Neglected Tropical Diseases","Changzhou","China","Western Pacific Region","chemtronbio.com","Shanghai Chemtron Biotech Co., Ltd","Onchocerciasis Antibody Rapid Test","Diagnostic/confirmatory test","ID","Onchocerciasis","Onchocera volvulus","Validation","None","","2023","Immunoassay","Antibody (serological)","Oncho IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","10.00","Yes","No","Onchocerciasis BLANK","No","Company-Sponsored","No available data","Antibody (serological)","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gLZL","a2r69000007lbnr","a266900000Bsd6I","06.07.2023","Neglected Tropical Diseases","Unknown","Brazil","Region of the Americas","(could not be found)","Symbiosys","ELISA Anti-Chagas","","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Status Unknown","Unknown","","Unknown","Immunoassay","Antibody (serological)","Unknown","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","","Yes","No","Trypanosoma cruzi BLANK","No","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
"a2v69000004gKxs","a2r69000007lc15","a266900000BsbxR","06.07.2023","Neglected Tropical Diseases","Unknown","Uruguay","Region of the Americas","atgen.com.uy","ATGen Diagnostica","Celquest Chagas ELISA","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Chile ANAMED; Colombia INVIMA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","ELISA/EIA","","IA Reagent Kit","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Plasma; Serum","","100.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","99.50","0.00","0.00","100.00","0.00","0.00","","Serum; Plasma","0","0","0"
"a2v69000004gLYN","a2r69000007lboT","a266900000Bsd4t","06.07.2023","Neglected Tropical Diseases","Shenzhen","China","Western Pacific Region","spanbio.com","SPAN BIOTECH LTD.","One-Step Chagas Ab Rapid Test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","China NMPA","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","92.90","0.00","0.00","100.00","0.00","0.00","","Serum; Plasma; Whole Blood","214","14","200"
"a2v69000004gKy1","a2r69000007lb82","a266900000Bsbxc","06.07.2023","Neglected Tropical Diseases","HeBei","China","Western Pacific Region","atlas-link.com","Atlas Link Technology Co., Ltd.","T.cruzi IgG Chagas Test cassette","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum","","15.00","Yes","No","IFU data - Chagas","No","Company-Sponsored","Instructions for Use (IFU)","Antibody (serological)","92.90","66.10","99.80","99.00","96.40","99.90","","Serum; Plasma; Whole Blood","214","15","199"
"a2v69000004gKy1","a2r69000007lb82","a266900000CC5fl","06.07.2023","Neglected Tropical Diseases","HeBei","China","Western Pacific Region","atlas-link.com","Atlas Link Technology Co., Ltd.","T.cruzi IgG Chagas Test cassette","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Achieved","Bolivia AGEMED","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","near Point of Care","Intended for professional use only","Plasma; Serum","","15.00","Yes","No","FIND evaluation (Bolivia)","Yes","Independent","FIND report/test evaluation","Antibody (serological)","62.16","54.99","68.84","100.00","97.64","100.00","Chronic","Serum","344","0","0"
"a2v69000004gLeI","a2r69000007lbko","a266900000BsdFI","06.07.2023","Neglected Tropical Diseases","Unknown","China","Western Pacific Region","zjkuake.com","Zhejiang Quark Biotechnology Co., Ltd","Chagas Ab Rapid Test","Diagnostic/confirmatory test","ID","Chagas Disease","Trypanosoma cruzi","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Chagas IgG","Lateral Flow Assay","","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Serum; Venous blood","","15.00","Yes","No","Trypanosoma cruzi BLANK","No","Company-Sponsored","","","0.00","0.00","0.00","0.00","0.00","0.00","","","0","0","0"
