"Test Directory Package ID","Assay: Company/Institution Name: Organisation Name","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Region","Assay: Company/Institution Name: City","Assay: Company/Institution Name: Country of Manufacturer","Assay: Created Date","Assay: Assay ID","Assay: Assay Name","Instrument: Instrument Name","Assay: Product Website","Assay: Stage of Development","Assay: Planned Market Entry","Assay: Regulatory Approval","Assay: Primary Use Case","Assay: Syndromes","Assay: Disease Target","Assay: Assay Aim","Assay: ID type","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Other Target Analyte","Assay: Target Pathogen","Assay: Other target pathogen","Assay: Target Organism Classes","Assay: Type of Technology","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Other Readout Technology","Assay: Qualitative or Quantitative","Assay: Resistance Marker","Assay: Other resistance marker","Assay: Antimicrobial Resistance Class","Assay: Other Antimicrobial Resistance Class","Assay: Drug Resistance Target","Assay: Other drug resistance target","Assay: AST Output","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: End user profile (training level)","Assay: Lab vs. POC","Assay: Health Level","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Assay: Confidentiality Level","Assay: Comments","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: WHO Region"
"a2v69000004gKJN","Biosynex SA","biosynex.com","Europe","ILLKIRCH-GRAFFENSTADEN","Switzerland","25.05.2023","a2r69000007laPJ","BIOSYNEX Legionella pneumophila BSS","","biosynex.com/en/laboratories-hospitals-bacteriology/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Unspecified","ID","Presumptive identification","Antigen","Unknown","","Legionella pneumophila","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine","","","Yes","","","France","European Region"
"a2v69000004gKIp","Citest Diagnostics Inc.","citestdiagnostics.com","Americas","Vancouver","Canada","25.05.2023","a2r69000007laOl","Clostridium difficile GDH+ Toxin A +Toxin B Rapid Test","","citesttestkit.com/sale-27235821-clostridium-difficile-gdh-toxin-a-toxin-b-rapid-test-clostridium-difficile-infection.html","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Presumptive identification","Antigen","Unknown","","Clostridioides difficile","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Stool","","10.00","Yes","","","Canada","Region of the Americas"
"a2v69000004gKJQ","Coris BioConcept","corisbio.com","Europe","Gembloux","Belgium","25.05.2023","a2r69000007laPM","Legionella K-SeT","","corisbio.com/products/legionella","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Pneumonia","ID","Identification","Antigen","Unknown","","Legionella pneumophila","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine","","15.00","Yes","","","Belgium","European Region"
"a2v69000004gKIo","TECHLAB","techlab.com","Americas","Blacksburg","United States","25.05.2023","a2r69000007laOk","CAMPYLOBACTER QUIK CHEK","","techlab.com/diagnostics/foodborne-pathogens/campylobacter-diagnostics/campylobacter-quik-chek/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD; Health Canada; US FDA 510k","Diagnostic/confirmatory test","Enteric","Gastroenteritis","ID","Presumptive identification","Antigen","Unknown","","Campylobacter coli; Campylobacter jejuni; Other","Campylobacter lari; Campylobacter upsaliensis","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Standard lab instrumentation is required","Manual","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Stool","","30.00","Yes","","","United States","Region of the Americas"
"a2v69000004gKJP","Assure Tech. (Hangzhou) Co., ltd.","diareagent.com","Western Pacific","Hangzhou","China","25.05.2023","a2r69000007laPL","Assure Tech S. pneumoniae+ Legionella 2 in 1","","diareagent.com/products-details-en.php?id=6","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Lower Respiratory Tract Infections; Upper Respiratory Tract Infections","Unspecified","ID","Presumptive identification","Antigen","Unknown","","Legionella pneumophila; Streptococcus pneumoniae","","Bacteria (Gram+); Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine","","","Yes","","","China","Western Pacific Region"
"a2v69000004gKIr","FASTinov S.A.","fastinov.com","Europe","Porto","Portugal","25.05.2023","a2r69000007laOn","FASTgramneg AST","","fastinov.com/products/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Bloodstream Infections","Unspecified","Phenotypic AST","Not applicable","Growth/metabolism","Unknown","","Enterobacterales; Other","Pseudomonas spp; Acinetobacter spp","Bacteria (Gram-)","Growth based","Culture","","Colorimetric","","","Not applicable","","CPO; ESBL","","Amikacin; Ampicillin; Cefepime; Cefotaxime; Ceftazidime; Ciprofloxacin; Gentamicin; Meropenem; Piperacilin/Tazobactam; Other","Amoxacillin-clavulanic acid; Ceftalozane-tazobactam; Ceftazidime-avibactam","S/I/R","Other","Plate","Unknown","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Unknown","","","Yes","","","Portugal","European Region"
"a2v69000004gKJS","ELITechGroup","elitechgroup.com","Europe","Puteaux","France","25.05.2023","a2r69000007laPO","Pneumocystis ELITe MGB Kit","","elitechgroup.com/molecular-diagnostics-intl/product/pneumocystis-elite-mgb-kit/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Pneumonia","ID","Identification","DNA","Unknown","","Pneumocystis jirovecii","","Fungi","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Laboratory Technician","Lab-based","","Intended for professional use only","Bronchoalveolar lavage; Sputum","","150.00","Yes","","","France","European Region"
"a2v69000004gKIq","FASTinov S.A.","fastinov.com","Europe","Porto","Portugal","25.05.2023","a2r69000007laOm","FASTgrampos AST","","fastinov.com/products/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Bloodstream Infections","Unspecified","Phenotypic AST","Not applicable","Growth/metabolism","Unknown","","Other","Staphylococcus spp; Enterococcus spp; Bacillus spp","Bacteria (Gram+)","Growth based","Culture","","Colorimetric","","","Not applicable","","Not applicable","","Ampicillin; Cefoxitin; Gentamicin; Oxacillin; Penicillin; Vancomycin; Other","Linezolid","S/I/R","Other","Plate","Unknown","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Unknown","","","Yes","","","Portugal","European Region"
"a2v69000004gKJR","ELITechGroup","elitechgroup.com","Europe","Puteaux","France","25.05.2023","a2r69000007laPN","Respiratory Bacterial ELITe MGB Panel","","elitechgroup.com/molecular-diagnostics-intl/product/respiratory-bacterial-elite-mgb-panel/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Pneumonia","ID","Identification","DNA","Unknown","","Chlamydia pneumoniae; Legionella pneumophila; Mycoplasma pneumoniae","","Bacteria (Gram-); Other","Molecular","qPCR","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Fully automated (including sample preparation)","Laboratory Technician","Lab-based","","Intended for professional use only","Bronchoalveolar lavage","","150.00","Yes","","","France","European Region"
"a2v69000004gKIt","Noscendo GmbH","noscendo.com","Europe","Duisburg","Germany","25.05.2023","a2r69000007laOp","DISQVER","","noscendo.com","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Bloodstream Infections","Unspecified","ID","Unknown","DNA","Unknown","","Unknown","","Bacteria (Gram+); Bacteria (Gram-); Fungi; Parasite; Virus","Sequencing","","","Unspecified","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Unspecified","","Unknown","Unknown","Laboratory Technician","Laboratory-developed test","","Intended for professional use only","Venous blood","","","Yes","","","Germany","European Region"
"a2v69000004gKJU","Meridian Bioscience, Inc.","meridianbioscience.com","Americas","Cincinnati","United States","25.05.2023","a2r69000007laPQ","MERIFLUOR Pneumocystis","","meridianbioscience.com/diagnostics/disease-areas/respiratory/pneumocystis/merifluor-pneumocystis/?country=US","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Pneumonia","ID","Identification","Unknown","Unknown","","Other","Pneumocystis carinii","Fungi","Immunoassay","Agglutination","","Fluorescence","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Slide Agglutination","","Standard lab instrumentation is required","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Bronchoalveolar lavage; Sputum; Other","Bronchial wash","30.00","Yes","","Requires a fluorescence microscope","United States","Region of the Americas"
"a2v69000004gKIs","FASTinov S.A.","fastinov.com","Europe","Porto","Portugal","25.05.2023","a2r69000007laOo","FASTcolistin MIC","","fastinov.com/products/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Bloodstream Infections","Unspecified","Phenotypic AST","Not applicable","Growth/metabolism","Unknown","","Enterobacterales; Other","Pseudomonas spp; Acinetobacter spp","Bacteria (Gram-)","Growth based","Culture","","Colorimetric","","","Not applicable","","Colistin/Polymyxin resistance","","Colistin","","MIC","Other","Plate","Unknown","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Unknown","","","Yes","","","Portugal","European Region"
"a2v69000004gKJT","Meridian Bioscience, Inc.","meridianbioscience.com","Americas","Cincinnati","United States","25.05.2023","a2r69000007laPP","TRU Legionella","","meridianbioscience.com/diagnostics/disease-areas/respiratory/legionella/tru-legionella/?country=US","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Pneumonia","ID","Identification","Antigen","Unknown","","Legionella pneumophila","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine","","20.00","Yes","","","United States","Region of the Americas"
"a2v69000004gKIv","ELITechGroup","elitechgroup.com","Europe","Puteaux","France","25.05.2023","a2r69000007laOr","Rapid Polymyxin Pseudomonas","","elitechgroup.com/microbiology/product/rapid-polymyxin-pseudomonas/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Bloodstream Infections; CNS Infections; Enteric; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","Unspecified","Phenotypic AST","Not applicable","Growth/metabolism","Unknown","","Pseudomonas aeruginosa","","Bacteria (Gram-)","Chemical/Biochemical","Enzymatic assays","","Colorimetric","","","Not applicable","","Colistin/Polymyxin resistance","","Colistin; Other","Polymyxin B","S/R","Other","Tray","Standard lab instrumentation is required","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Colony/plate","","240.00","Yes","","","France","European Region"
"a2v69000004gKJW","OPERON","operon.es","Europe","Zaragoza","Spain","25.05.2023","a2r69000007laPS","Simple/Stick Legio pneumo","","operondx.com/legionella-pneumophila/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Pneumonia","ID","Identification","Antigen","Unknown","","Legionella pneumophila","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is optional","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine","","20.00","Yes","","","Spain","European Region"
"a2v69000004gKIu","ELITechGroup","elitechgroup.com","Europe","Puteaux","France","25.05.2023","a2r69000007laOq","Rapid Polymyxin NP","","elitechgroup.com/product/rapid-polymyxin-np","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Bloodstream Infections","Unspecified","Phenotypic AST","Not applicable","Growth/metabolism","Unknown","","Enterobacterales","","Bacteria (Gram-)","Chemical/Biochemical","Enzymatic assays","","Colorimetric","","","Not applicable","","Colistin/Polymyxin resistance","","Colistin; Other","Polymyxin B; Polymyxin E","S/R","Other","Tray","Standard lab instrumentation is required","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Blood Culture; Colony/plate","","180.00","Yes","","","France","European Region"
"a2v69000004gKJV","Acro Biotech Inc.","acrobiotech.com","Americas","Rancho Cucamonga","United States","25.05.2023","a2r69000007laPR","Legionella pneumophila Rapid Test Cassette","","acrobiotech.com/infectious-disease","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Unspecified","ID","Identification","Antigen","Unknown","","Legionella pneumophila","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine","","","Yes","","","United States","Region of the Americas"
"a2v69000004gKIx","Coris BioConcept","corisbio.com","Europe","Gembloux","Belgium","25.05.2023","a2r69000007laOt","BL-RED 25","","corisbio.com/products/bl-red","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Bloodstream Infections; CNS Infections; Enteric; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","Unspecified","AMR","Not applicable","Growth/metabolism","Unknown","","Enterobacterales","","Bacteria (Gram-)","Chemical/Biochemical","Enzymatic assays","","Electrochemical","","","AmpC","","ESBL","","Not applicable","","Not applicable","Other","Electrochemical kit","A proprietary/new instrument is required","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Blood Culture; Colony/plate","","15.00","Yes","","","Belgium","European Region"
"a2v69000004gKJY","LumiQuick Diagnostics Inc.","lumiquick.co","Americas","Santa Clara","United States","25.05.2023","a2r69000007laPU","Legionella Pneumonia Urinary Antigen Test Card","","lumiquick.co/infectious-diseases","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Unspecified","ID","Identification","Antigen","Unknown","","Legionella pneumophila","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine","","","Yes","","","United States","Region of the Americas"
"a2v69000004gKIw","ELITechGroup","elitechgroup.com","Europe","Puteaux","France","25.05.2023","a2r69000007laOs","Rapid Polymyxin Acinetobacter","","elitechgroup.com/microbiology/product/rapid-polymyxin-acinetobacter/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Bloodstream Infections; CNS Infections; Enteric; Intra-abdominal Infections; Lower Respiratory Tract Infections; Skin and Soft Tissue Infections; Tissue and Joint Infections; Urinary Tract Infections","Unspecified","Phenotypic AST","Not applicable","Growth/metabolism","Unknown","","Acinetobacter baumannii","","Bacteria (Gram-)","Chemical/Biochemical","Enzymatic assays","","Colorimetric","","","Not applicable","","Colistin/Polymyxin resistance","","Colistin; Other","Polymyxin B","S/R","Other","Tray","Standard lab instrumentation is required","Manual","Laboratory Technician","Lab-based","","Intended for professional use only","Blood Culture; Colony/plate","","240.00","Yes","","","France","European Region"
"a2v69000004gKJX","Biozek Medical","biozek.com","Europe","Apeldoorn","Netherlands","25.05.2023","a2r69000007laPT","Biozek Legionella Pneumophila antigen Test","","biozek.com/legionella-pneumophila-rapid-test/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Lower Respiratory Tract Infections","Unspecified","ID","Identification","Antigen","Unknown","","Legionella pneumophila","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine","","","Yes","","","Netherlands","European Region"
"a2v69000004gKHy","VIDIA spol. s r.o.","vidia.cz","Europe","Unknown","Czech Republic","25.05.2023","a2r69000007laNu","Rapid-VIDITEST Yersinia enterocolitica O:9 Card","","vidia.cz/uk/rapid-tests/diagnosis-of-gastro-intestinal-infections/rapid-viditest-yersinia-enterocolitica-o-9-card-detail","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Identification","Antigen","Unknown","","Yersinia enterocolitica","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Stool","","15.00","Yes","","","Czech Republic","European Region"
"a2v69000004gKIZ","CERTEST BIOTEC SL","certest.es/","Europe","San Mateo de Gallego","Spain","25.05.2023","a2r69000007laOV","CerTest GDH+Lactoferrin one step combo card test","","certest.es/products/clostridium-difficile-gdh-lactoferrin/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Presumptive identification","Antigen","Unknown","","Clostridioides difficile","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Standard lab instrumentation is required","Manual","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Stool","","10.00","Yes","","","Spain","European Region"
"a2v69000004gKHx","VIDIA spol. s r.o.","vidia.cz","Europe","Unknown","Czech Republic","25.05.2023","a2r69000007laNt","Rapid-VIDITEST Yersinia enterocolitica O:3 Card","","vidia.cz/uk/rapid-tests/diagnosis-of-gastro-intestinal-infections/rapid-viditest-yersinia-enterocolitica-o-3-card-detail","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Identification","Antigen","Unknown","","Yersinia enterocolitica","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Stool","","15.00","Yes","","","Czech Republic","European Region"
"a2v69000004gKIY","CERTEST BIOTEC SL","certest.es/","Europe","San Mateo de Gallego","Spain","25.05.2023","a2r69000007laOU","CerTest E. coli O157:H7 one step card test","","certest.es/products/escherichia-coli-o157h7/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Identification","Antigen","Unknown","","Escherichia coli","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Standard lab instrumentation is required","Manual","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Colony/plate; Stool","","10.00","Yes","","","Spain","European Region"
"a2v69000004gKHz","Abingdon Health","abingdonhealth.com","Europe","Sand Hutton","United Kingdom","25.05.2023","a2r69000007laNv","Abingdon Simply Test – Ulcer (H. Pylori)","","abingdonsimplytest.com/product/h-pylori-ulcer-self-test/#:~:text=Abingdon%20Simply%20Test%20–%20Ulcer%20%28H.%20Pylori%29%20is,to%20person%20or%20through%20contaminated%20food%20or%20water.","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Identification","Antigen","Unknown","","Helicobacter pylori","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","Self-administered","True Point of Care","","Intended for self-testing (version available)","Stool","","","Yes","","","United Kingdom","European Region"
"a2v69000004gKJA","Acro Biotech Inc.","acrobiotech.com","Americas","Rancho Cucamonga","United States","25.05.2023","a2r69000007laP6","Trichomonas Vaginalis Rapid Test Cassette","","acrobiotech.com/women-s-health","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID","Identification","Antigen","Unknown","","Trichomonas vaginalis","","Parasite","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Unknown","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Vaginal swab","","","Yes","","","United States","Region of the Americas"
"a2v69000004gKIb","CERTEST BIOTEC SL","certest.es/","Europe","San Mateo de Gallego","Spain","25.05.2023","a2r69000007laOX","CerTest EHEC VT1+VT2 one step combo card test","","certest.es/products/ehec-vt1vt2/#:~:text=CerTest%20EHEC%20VT1%2BVT2%20one%20step%20combo%20card%20test,and%20E.%20coli%20suspected%20colonies%20in%20stool%20culture.","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Presumptive identification","Antigen","Unknown","","Escherichia coli","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Standard lab instrumentation is required","Manual","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Colony/plate; Stool","","10.00","Yes","","","Spain","European Region"
"a2v69000004gKJC","Acro Biotech Inc.","acrobiotech.com","Americas","Rancho Cucamonga","United States","25.05.2023","a2r69000007laP8","Chlamydia Rapid Test Cassette","","acrobiotech.com/women-s-health","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID","Identification","Antigen","Unknown","","Chlamydia trachomatis","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Unknown","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine; Vaginal swab","","","Yes","","","United States","Region of the Americas"
"a2v69000004gKIa","CERTEST BIOTEC SL","certest.es/","Europe","San Mateo de Gallego","Spain","25.05.2023","a2r69000007laOW","CerTest Clostridium difficile Toxin A+B one step combo card test","","certest.es/products/clostridium-difficile-toxin-a-b/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Presumptive identification","Antigen","Unknown","","Clostridioides difficile","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Standard lab instrumentation is required","Manual","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Stool","","10.00","Yes","","","Spain","European Region"
"a2v69000004gKJB","Acro Biotech Inc.","acrobiotech.com","Americas","Rancho Cucamonga","United States","25.05.2023","a2r69000007laP7","Gonorrhea Rapid Test Cassette","","acrobiotech.com/women-s-health","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID","Identification","Antigen","Unknown","","Neisseria gonorrhoeae","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Unknown","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Urine; Vaginal swab","","","Yes","","","United States","Region of the Americas"
"a2v69000004gKId","CERTEST BIOTEC SL","certest.es/","Europe","San Mateo de Gallego","Spain","25.05.2023","a2r69000007laOZ","CerTest Clostridium difficile GDH+Toxin A+B one step combo card test","","certest.es/products/clostridium-difficile-gdh-ta-tb/","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Diagnostic/confirmatory test","Enteric","Unspecified","ID","Presumptive identification","Antigen","Unknown","","Clostridioides difficile","","Bacteria (Gram+)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Standard lab instrumentation is required","Manual","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Stool","","10.00","Yes","","","Spain","European Region"
"a2v69000004gKJE","LumiQuick Diagnostics Inc.","lumiquick.co","Americas","Santa Clara","United States","25.05.2023","a2r69000007laPA","Lumiquick Chlamydia Test Card","","lumiquick.co/infectious-diseases","Regulatory Status Unknown","Already on the market (commercialized)","Unknown","Diagnostic/confirmatory test","Sexually Transmitted Infections","Unspecified","ID","Identification","Antigen","Unknown","","Chlamydia trachomatis","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Unknown","Manual","Trained staff in health care facilities","True Point of Care","","Intended for professional use only","Unknown","","","Yes","","","United States","Region of the Americas"
"a2v69000004gKIc","CERTEST BIOTEC SL","certest.es/","Europe","San Mateo de Gallego","Spain","25.05.2023","a2r69000007laOY","CerTest H. pylori + Transferrin combo card test","","certest.es/products/h-pyloritransferrin/#:~:text=CerTest%20H.%20pylori%20%2B%20Transferrin%20combo%20card%20test,to%20monitor%20patients%20treatment%20%28%20H.%20pylori%20eradication%29.","Regulatory Achieved","Already on the market (commercialized)","CE-IVDD","Monitoring (treatment, immune status, patient); Diagnostic/confirmatory test","Enteric","Unspecified","ID","Identification","Antigen","Unknown","","Helicobacter pylori","","Bacteria (Gram-)","Immunoassay","Lateral Flow Assay","","Colorimetric","","Qualitative","Not applicable","","Not applicable","","Not applicable","","Not applicable","Rapid diagnostic test (strip or cassette)","","Standard lab instrumentation is required","Manual","Trained staff in health care facilities","near Point of Care","","Intended for professional use only","Stool","","10.00","Yes","","","Spain","European Region"
