"Performance Detail Submission: ID","Parent Submission: Created Date","Parent Submission: Date of Submission","Parent Submission: Company/Institution Name","Parent Submission: Submission Title","Parent Submission: Disease Target","Parent Submission: Stage of Development","Parent Submission: Country of Manufacturer","Parent Submission: Region","Parent Submission: Product Website","Parent Submission: Regulatory Approval","Sensitivity (%)","Specificity (%)","Parent Submission: Type of Technology","Parent Submission: Assay Target","Parent Submission: Target Analyte(s)","Parent Submission: Technology principle","Parent Submission: Test Format","Parent Submission: Instrument requirement","Parent Submission: Level of automation","Parent Submission: Lab vs. POC","Parent Submission: Self-testing/Self-Collection","Parent Submission: Validated Sample Types","Parent Submission: Time to results excl sample prep (mins)","Parent Submission: Connectivity Solution","FIND Evaluation","Parent Submission: Impact of SARS-COV-2 Beta variant","Parent Submission: Impact of SARS-COV-2 Alpha variant","Parent Submission: Impact of SARS-COV-2 Gamma variant","Parent Submission: Impact of SARS-COV-2 Delta+ variant","Parent Submission: Impact of SARS-COV-2 Delta variant","Parent Submission: Impact of SARS-COV-2 Omicron variant","Parent Submission: S gene dropout","Parent Submission: SARS-CoV-2 variant(s)","Parent Submission: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Parent Submission: Is this a variant detection test?","Parent Submission: Revoked/Not Approved By"
"a266900000A9w91","08.03.2021","08.03.2021","CerTest Biotec S.L.","VIASURE SARS-CoV-2 (N1 + N2) Real Time PCR Detection Kit","SARS-CoV-2","Regulatory Achieved","Spain","Europe","https://www.certest.es/","CE-IVD; MHRA UK","100.00","100.00","Molecular","RNA","N gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Saliva","90.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w95","08.03.2021","08.03.2021","CerTest Biotec S.L.","VIASURE SARS-CoV-2, Flu & RSV Real Time PCR Detection Kit","SARS-CoV-2; Influenza A; Influenza B; Respiratory Syncytial Virus","Regulatory Achieved","Spain","Europe","https://www.certest.es/","Australia TGA; CE-IVD; MHRA UK","100.00","100.00","Molecular","RNA","N gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","90.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wIP","31.05.2021","31.05.2021","Chai Biosciences","COVID-19 Saliva Dx Test Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","","None","","","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Saliva","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIv","28.03.2022","","Changsha Sinocare Inc.","SARS-CoV-2 Antigen Test Kit (Colloidal Gold Method)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.sinocareintl.com","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIw","28.03.2022","","Changzhou Biowin Pharmaceutical Co.,Ltd.","Novel Coronavirus (COVID-19) Antigen Test Kit (Colloidal Gold) For Saliva)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.czbiowin.cn","CE-IVD","91.89","99.20","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QIx","28.03.2022","","Changzhou Biowin Pharmaceutical Co.,Ltd.","Novel Coronavirus (COVID-19) Antigen Test Kit(Colloidal Gold)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.czbiowin.cn","CE-IVD","91.89","99.20","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Oropharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9Yn","02.09.2021","02.09.2021","Chaozhou Hybribio Biochemistry ltd.","COVID-19 Real-Time PCR Kit","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","http://www.hybribio.cn/","WHO EUL; Australia TGA; Brazil ANVISA; CE-IVD","99.41","99.71","Molecular","RNA","N gene; ORF1ab","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Bronchoalveolar lavage; Sputum; Other","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9Yo","02.09.2021","02.09.2021","Chaozhou Hybribio Biochemistry ltd.","Respiratory Virus (IFVa/b + COVID-19) Real-Time PCR Kit","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","China","Western Pacific","http://www.hybribio.cn/","CE-IVD","","","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Unknown","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wCt","02.04.2021","02.04.2021","Chembio Diagnostic Systems, Inc.","DPP COVID-19 Antigen System","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://chembio.com/","Brazil ANVISA","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","0.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wID","26.05.2021","26.05.2021","Chemtron Biotech Co., ltd.","Chemtrue COVID-19/Influenza A+B Ag Combo Rapid Test (Colloidal Gold)","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","China","Western Pacific","https://www.chemtronbio.com","CE-IVD","92.96","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","10.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9Yq","02.09.2021","02.09.2021","Chengdu Fengji Biotechnology Co., ltd. of China","2019-nCoV Nucleic acid detection kit (multiplex PCR fluorescent probe method)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.foregene.com","China NMPA","","","Molecular","RNA","E gene; N gene; ORF1ab","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9w9W","12.03.2021","12.03.2021","CHIL TIBB MAL. SAN. VE TC. ltd. T","CHIL COVID-19 Antigen Rapid Test (Nasopharyngeal / Oropharyngeal Swab-Cassette)","SARS-CoV-2","Regulatory Achieved","Turkey","Europe","https://www.chil.com.tr/","CE-IVD; Germany BfArM; Other","99.01","99.57","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","20.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000AWL7X","23.08.2022","23.08.2022","CHIL TIBB MAL. SAN. VE TC. ltd. T","CHIL COVID-19 ANTIGEN RAPID TEST (NASAL SWAB-CASSETTE)","SARS-CoV-2","Regulatory Achieved","Turkey","South-East Asia","","CE-IVD; Ukraine SMDC; Germany BfArM; Other","98.75","99.72","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","15.00","No","No","Impact (analytical/clinical studies)","Impact (analytical/clinical studies)","Unknown","Unknown","Unknown","Impact (analytical/clinical studies)","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QKq","28.03.2022","","Chongqing iSIA BIO-Technology Co., Ltd","COVID-19 Antigen Rapid Test Kit (Swab)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.isiabio.com.cn","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Oropharyngeal swab; Nasal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wBx","30.03.2021","30.03.2021","ChromaCode, Inc.","HDPCR SARS-CoV-2 Assay","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://chromacode.com/products/hdpcr-sars-cov-2-assay/","US FDA EUA","100.00","98.75","Molecular","RNA","N1 gene; N2 gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab","90.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJY","28.03.2022","","CIGA Healthcare Ltd.","Suresign Professional Covid-19 Antigen Rapid Test Cassette (Oral Fluid)","SARS-CoV-2","Regulatory Achieved","United Kingdom","Europe","www.cigahealthcare.com/","CE-IVD","90.10","99.30","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wFM","29.04.2021","29.04.2021","Citest Diagnostics Inc.","COVID-19 Antigen Rapid Test(swab)","SARS-CoV-2","Regulatory Achieved","Canada","Americas","https://www.citestdiagnostics.com","CE-IVD","92.90","99.90","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Nasal swab","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wFN","29.04.2021","29.04.2021","Citest Diagnostics Inc.","COVID-19 Antigen Rapid Test (Oral Fluid)","SARS-CoV-2","Regulatory Achieved","Canada","Americas","https://www.citestdiagnostics.com","CE-IVD","90.10","99.30","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9dZ","02.09.2021","02.09.2021","Clear Labs Inc.","Clear Dx SARS-CoV-2 Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.clearlabs.com/","US FDA EUA","100.00","100.00","Molecular","RNA","Unknown","Sequencing","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Automated (excluding sample preparation)","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000Auhjw","03.12.2021","","Clinomics USA Inc.","Clinomics TrioDx RT-PCR COVID-19 Test","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://clinomics.com/en/main","US FDA EUA","100.00","100.00","Molecular","RNA","E gene; N gene; RdRp gene","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Nasal swab","","Yes","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9da","02.09.2021","02.09.2021","Clonit","quanty-CONV-19","SARS-CoV-2","Regulatory Achieved","Italy","Europe","https://www.clonit.it/en/","CE-IVD","100.00","100.00","Molecular","RNA","N gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum; Saliva","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9Xo","02.09.2021","02.09.2021","Co-Diagnostics, Inc.","Logix Smart Coronavirus Disease 2019 (COVID-19) Kit","SARS-CoV-2","Regulatory Achieved","United States","Americas","http://codiagnostics.com/","US FDA EUA; Australia TGA; CE-IVD; MHRA UK; South Africa SAHPRA","","","Molecular","RNA","RdRp gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Bronchoalveolar lavage; Sputum; Other","","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No expected impact (in silico analyses)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJZ","28.03.2022","","Cofoe Medical Technology Co.,Ltd","SARS-CoV-2 Antigen Test Kit(Colloidal Gold Method)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","/","CE-IVD","90.10","99.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wCu","02.04.2021","02.04.2021","Core Technology Co., ltd.","Coretests COVID-19 Ag Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.coretests.com","CE-IVD; WHO EUL Under Assessment","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","10.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000AWLKN","30.08.2022","30.08.2022","Core Technology Co., ltd.","COVID-19 IgM/IgG Ab Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","https://www.coretests.com/product/show_112.html","CE-IVD","0.00","0.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma; Whole Blood","10.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJa","28.03.2022","","Core Technology Co., ltd.","COVID-19 Saliva Ag Test","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","www.coretests.com","CE-IVD","0.00","0.00","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Saliva","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wEz","21.04.2021","21.04.2021","Coris BioConcept","COVID-19 Sero NP/RBD","SARS-CoV-2","Regulatory Achieved","Belgium","Europe","https://www.corisbio.com","CE-IVD","98.40","98.50","Immunoassay","Antibody (serological)","Total Antibody","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Serum; Plasma","15.00","No","No","No expected impact (in silico analyses)","No expected impact (in silico analyses)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wDz","06.04.2021","06.04.2021","Coris BioConcept","COVID-19 Ag Respi-Strip","SARS-CoV-2","Regulatory Achieved","Belgium","Europe","https://www.corisbio.com","Brazil ANVISA; CE-IVD; Other","91.20","99.40","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","30.00","No","Yes","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","No impact (analytical/clinical studies conducted)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000AvzJq","17.12.2021","17.12.2021","Coris BioConcept","COVID-19 Ag K-SeT","SARS-CoV-2","Regulatory Achieved","Belgium","Europe","","CE-IVD","96.90","100.00","Immunoassay","Antigen","N-protein","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","15.00","No","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000B5QJb","28.03.2022","","CORMAY","CORMAY RAPID SARS-CoV-2 ANTIGEN TEST KIT","SARS-CoV-2","Regulatory Achieved","Poland","Europe","cormay.pl/index.php?lang=_en","CE-IVD","95.00","98.00","Immunoassay","Antigen","Unknown","Lateral Flow Assay","Rapid diagnostic test (strip or cassette)","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","15.00","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009j2YV","25.07.2022","25.07.2022","Coyote Bioscience","DirectDetect SARSCOV2 Detection Kit (PCRFluorescence Probe)","SARS-CoV-2","Regulatory Achieved","China","Western Pacific","","CE-IVD","95.00","95.00","Molecular","RNA","N gene; ORF1ab","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Fully automated (including sample preparation)","near Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","35.00","Yes","No","No impact (analytical/clinical studies conducted)","No impact (analytical/clinical studies conducted)","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","WHO EUL"
"a2669000009z9bG","02.09.2021","02.09.2021","Creative Biolabs","SARS-CoV-2 (2019-nCoV) Anti-NP IgG ELISA Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","https://www.creative-biolabs.com/","None","93.33","","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bH","02.09.2021","02.09.2021","Creative Biolabs","SARS-CoV-2 (2019-nCoV) Anti-S1 RBD IgG ELISA Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","https://www.creative-biolabs.com/","None","","","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bI","02.09.2021","02.09.2021","Creative Biolabs","SARS-CoV-2 (2019-nCoV) Multiplex qRT-PCR Detection Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","https://www.creative-biolabs.com/","None","","","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bJ","02.09.2021","02.09.2021","Creative Biolabs","SARS-CoV-2 (2019-nCoV) N qRT-PCR (Taqman) Detection Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","https://www.creative-biolabs.com/","None","","","Molecular","RNA","E gene","qRT-PCR","NAT reagent kit – open source","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bK","02.09.2021","02.09.2021","Creative Biolabs","SARS-CoV-2 (2019-nCoV) Total Antibody Rapid Test Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","https://www.creative-biolabs.com/","None","","","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","IA Reagent Kit","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","Unknown","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bL","02.09.2021","02.09.2021","Creative Biolabs","SARS-CoV-2 (2019-nCoV) Spike Protein ELISA Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","","None","0.00","0.00","Immunoassay","Antigen","S-protein (type unknown)","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wHR","12.05.2021","12.05.2021","Creative Biolabs","SARS-CoV-2 (2019-nCoV) Nucleoprotein Protein ELISA Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","","Unknown","0.00","0.00","Immunoassay","Antigen","N-protein","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bN","02.09.2021","02.09.2021","Creative Diagnostics","ELISA: Anti-SARS-CoV-2 antibodies &NP antigen","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","https://www.creative-diagnostics.com/","None","0.00","0.00","Immunoassay","Antigen","N-protein","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bQ","02.09.2021","02.09.2021","Creative Diagnostics","SARS-COV-2 Total Antibody ELISA Kit","SARS-CoV-2","Research Use Only (RUO)","United States","Americas","https://www.creative-diagnostics.com/","None","94.70","98.40","Immunoassay","Antibody (serological)","Total Antibody","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bT","02.09.2021","02.09.2021","Creative Diagnostics","SARS-CoV-2 IgG ELISA Kit","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.creative-diagnostics.com/","CE-IVD","91.10","98.30","Immunoassay","Antibody (serological)","IgG","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a2669000009z9bU","02.09.2021","02.09.2021","Creative Diagnostics","SARS-CoV-2 IgM ELISA Kit","SARS-CoV-2","Regulatory Achieved","United States","Americas","https://www.creative-diagnostics.com/","CE-IVD","79.40","97.30","Immunoassay","Antibody (serological)","IgM","ELISA/EIA","IA Reagent Kit","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Serum; Plasma","","No","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wIe","31.05.2021","31.05.2021","Credo Diagnostics Biomedical Pte. ltd.","VitaPCR Influenza A&B/SARS-CoV-2 assay","SARS-CoV-2; Influenza A; Influenza B","Regulatory Achieved","Singapore","Western Pacific","https://www.credodxbiomed.com","CE-IVD","0.00","0.00","Molecular","RNA","Unknown","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Automated (excluding sample preparation)","near Point of Care","Intended for professional use only","Nasal swab","20.00","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
"a266900000A9wIf","31.05.2021","31.05.2021","Credo Diagnostics Biomedical Pte. ltd.","QubeMDx+ platform 4-plex","SARS-CoV-2","Regulatory Achieved","Singapore","Western Pacific","https://www.credodxbiomed.com","CE-IVD","","","Molecular","RNA","N gene; Influenza A; Influenza B; Other","qRT-PCR","NAT reagent kit – proprietary platform","A proprietary/new instrument is required","Fully automated (including sample preparation)","True Point of Care","Intended for professional use only","Nasal swab","","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Not applicable","","Yes, I would like the test to be made public on FIND’s test directory","Yes","No","None"
