submission_id,performance_detail_submission_id,date_of_submission,manufacturer,submission_title,disease_target,stage_of_development,permalink,regulatory_status,clinical_sensitivity,clinical_specificity,type_of_technology,assay_target,target_analyte,technology_principle,test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,time_to_results_excl_prep,time_to_results_incl_prep,connectivity_solution,find_evaluation,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta,sc2_delta_plus,sc2_omicron,s_gene_dropout,scov2_variants,test_to_be_listed_on_finds_web_page,data_to_be_published_on_finds_web_page,is_this_a_variant_detection_test,revoked_not_approved_by,study_type,number_of_positive_samples,number_of_negative_samples,total_number_of_samples,regex,country,region
a0B6900001LklZc,a2669000009z9Xo,02.09.21,"Co-Diagnostics, Inc.",Logix Smart Coronavirus Disease 2019 (COVID-19) Kit,SARS-CoV-2,Regulatory Achieved,codiagnostics.com,US FDA EUA; Australia TGA; CE-IVD; MHRA UK; South Africa SAHPRA,NA,NA,Molecular,RNA,RdRp gene,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Bronchoalveolar lavage; Sputum; Other,NA,NA,No,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001LlzSG,a266900000B5QJZ,NA,"Cofoe Medical Technology Co.,Ltd",SARS-CoV-2 Antigen Test Kit(Colloidal Gold Method),SARS-CoV-2,Regulatory Achieved,cofoe.com,CE-IVD,90.1,99,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,101,404,505,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a0B6900001J3zPG,a266900000A9wCu,02.04.21,"Core Technology Co., ltd.",Coretests COVID-19 Ag Test,SARS-CoV-2,Regulatory Achieved,coretests.com,CE-IVD; WHO EUL Under Assessment,0,0,Immunoassay,Antigen,Unknown,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,10,15,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a0B6900001LlzSH,a266900000B5QJa,NA,"Core Technology Co., ltd.",COVID-19 Saliva Ag Test,SARS-CoV-2,Regulatory Achieved,coretests.com,CE-IVD,0,0,Immunoassay,Antigen,Unknown,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Saliva,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a0B6900001J474O,a266900000A9wEz,21.04.21,Coris BioConcept,COVID-19 Sero NP/RBD,SARS-CoV-2,Regulatory Achieved,corisbio.com,CE-IVD,98.4,98.5,Immunoassay,Antibody (serological),Total Antibody,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Serum; Plasma,15,17,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,62,271,333,^(?!.*luxem).*belgium,Belgium,Europe
a0B6900001J40FC,a266900000A9wDz,06.04.21,Coris BioConcept,COVID-19 Ag Respi-Strip,SARS-CoV-2,Regulatory Achieved,corisbio.com,Brazil ANVISA; CE-IVD; Other,91.2,99.4,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,30,32,No,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,No impact (analytical/clinical studies conducted),Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,34,155,189,^(?!.*luxem).*belgium,Belgium,Europe
a0B6900001LlNIR,a266900000AvzJq,17.12.21,Coris BioConcept,COVID-19 Ag K-SeT,SARS-CoV-2,Regulatory Achieved,corisbio.com,CE-IVD,96.9,100,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab,15,16,No,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,No impact (analytical/clinical studies conducted),Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,98,174,272,^(?!.*luxem).*belgium,Belgium,Europe
a0B6900001LlzSI,a266900000B5QJb,NA,CORMAY,CORMAY RAPID SARS-CoV-2 ANTIGEN TEST KIT,SARS-CoV-2,Regulatory Achieved,cormay.pl/index.php?lang=_en,CE-IVD,95,98,Immunoassay,Antigen,Unknown,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,poland,Poland,Europe
a0B6900001OU9P6,a2669000009j2YV,25.07.22,Coyote Bioscience,DirectDetect SARS‐COV2 Detection Kit (PCR‐Fluorescence Probe),SARS-CoV-2,Regulatory Achieved,coyotebio.com,CE-IVD,95,95,Molecular,RNA,N gene; ORF1ab,qRT-PCR,"NAT reagent kit – proprietary platform",A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,35,36,Yes,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,WHO EUL,Company-Sponsored,0,0,0,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a0B6900001Lkld4,a2669000009z9bG,02.09.21,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Anti-NP IgG ELISA Kit,SARS-CoV-2,Research Use Only (RUO),Creative Biolabs,None,93.33,NA,Immunoassay,Antibody (serological),IgG,ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001Lkld5,a2669000009z9bH,02.09.21,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Anti-S1 RBD IgG ELISA Kit,SARS-CoV-2,Research Use Only (RUO),Creative Biolabs,None,NA,NA,Immunoassay,Antibody (serological),IgG,ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001Lkld6,a2669000009z9bI,02.09.21,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Multiplex qRT-PCR Detection Kit,SARS-CoV-2,Research Use Only (RUO),Creative Biolabs,None,NA,NA,Molecular,RNA,Unknown,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001Lkld7,a2669000009z9bJ,02.09.21,Creative Biolabs,SARS-CoV-2 (2019-nCoV) N qRT-PCR (Taqman) Detection Kit,SARS-CoV-2,Research Use Only (RUO),Creative Biolabs,None,NA,NA,Molecular,RNA,E gene,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001Lkld8,a2669000009z9bK,02.09.21,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Total Antibody Rapid Test Kit,SARS-CoV-2,Research Use Only (RUO),Creative Biolabs,None,NA,NA,Immunoassay,Antibody (serological),IgG; IgM,Lateral Flow Assay,IA Reagent Kit,A proprietary/new instrument is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,NA,NA,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001Lkld9,a2669000009z9bL,02.09.21,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Spike Protein ELISA Kit,SARS-CoV-2,Research Use Only (RUO),Creative Biolabs,None,0,0,Immunoassay,Antigen,S-protein (type unknown),ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J4FJY,a266900000A9wHR,12.05.21,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Nucleoprotein Protein ELISA Kit,SARS-CoV-2,Research Use Only (RUO),Creative Biolabs,Unknown,0,0,Immunoassay,Antigen,N-protein,ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001LkldB,a2669000009z9bN,02.09.21,Creative Diagnostics,ELISA: Anti-SARS-CoV-2 antibodies &NP antigen,SARS-CoV-2,Research Use Only (RUO),creative-diagnostics.com/,None,0,0,Immunoassay,Antigen,N-protein,ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Unknown,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001LkldE,a2669000009z9bQ,02.09.21,Creative Diagnostics,SARS-COV-2 Total Antibody ELISA Kit,SARS-CoV-2,Research Use Only (RUO),creative-diagnostics.com/,None,94.7,98.4,Immunoassay,Antibody (serological),Total Antibody,ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001LkldH,a2669000009z9bT,02.09.21,Creative Diagnostics,SARS-CoV-2 IgG ELISA Kit,SARS-CoV-2,Regulatory Achieved,creative-diagnostics.com/,CE-IVD,91.1,98.3,Immunoassay,Antibody (serological),IgG,ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,NA,75,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001LkldI,a2669000009z9bU,02.09.21,Creative Diagnostics,SARS-CoV-2 IgM ELISA Kit,SARS-CoV-2,Regulatory Achieved,creative-diagnostics.com/,CE-IVD,79.4,97.3,Immunoassay,Antibody (serological),IgM,ELISA/EIA,IA Reagent Kit,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,NA,75,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J4MOl,a266900000A9wIe,31.05.21,Credo Diagnostics Biomedical Pte. ltd.,VitaPCR Influenza A&B/SARS-CoV-2 assay,SARS-CoV-2,Regulatory Achieved,credodxbiomed.com,CE-IVD,0,0,Molecular,RNA,Unknown,qRT-PCR,"NAT reagent kit – proprietary platform",A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,Intended for professional use only,Nasal swab,20,22,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,singapore,Singapore,Asia
a0B6900001J4MOp,a266900000A9wIf,31.05.21,Credo Diagnostics Biomedical Pte. ltd.,QubeMDx+ platform 4-plex,SARS-CoV-2,Regulatory Achieved,credodxbiomed.com,CE-IVD,NA,NA,Molecular,RNA,N gene; Influenza A; Influenza B; Other,qRT-PCR,"NAT reagent kit – proprietary platform",A proprietary/new instrument is required,Fully automated (including sample preparation),True Point of Care,Intended for professional use only,Nasal swab,NA,20,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,singapore,Singapore,Asia
a0B6900001J49Tl,a266900000B23b8,27.04.21,"CTK Biotech, inc.",OnSite COVID-19 Ag Rapid Test,SARS-CoV-2,Regulatory Achieved,ctkbiotech.com,WHO EUL; Australia TGA; Brazil ANVISA; CE-IVD; Philippines FDA; South Africa SAHPRA; Colombia INVIMA; Peru DIGEMID; Indonesia MDR,0,0,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,20,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",No,No,None,Independent,0,0,0,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J49Tl,a266900000B49hy,27.04.21,"CTK Biotech, inc.",OnSite COVID-19 Ag Rapid Test,SARS-CoV-2,Regulatory Achieved,ctkbiotech.com,WHO EUL; Australia TGA; Brazil ANVISA; CE-IVD; Philippines FDA; South Africa SAHPRA; Colombia INVIMA; Peru DIGEMID; Indonesia MDR,64.7,0,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,20,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",No,No,None,Independent,36,34,70,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J49Tl,a266900000B49eQ,27.04.21,"CTK Biotech, inc.",OnSite COVID-19 Ag Rapid Test,SARS-CoV-2,Regulatory Achieved,ctkbiotech.com,WHO EUL; Australia TGA; Brazil ANVISA; CE-IVD; Philippines FDA; South Africa SAHPRA; Colombia INVIMA; Peru DIGEMID; Indonesia MDR,0,0,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,20,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",No,No,None,Independent,0,0,0,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001Lklcr,a2669000009z9b3,02.09.21,"CTK Biotech, inc.",Aridia COVID-19 Real Time PCR Test,SARS-CoV-2,Regulatory Achieved,ctkbiotech.com,Australia TGA; CE-IVD; Philippines FDA,97.5,99.9,Molecular,RNA,ORF1ab,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum; Plasma,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J49Xs,a266900000A9wFB,28.04.21,"CTK Biotech, inc.",OnSite COVID-19 IgG/IgM Rapid Test,SARS-CoV-2,Regulatory Achieved,ctkbiotech.com,Australia TGA; Brazil ANVISA; CE-IVD; Other,96.7,91.4,Immunoassay,Antibody (serological),IgG; IgM,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Serum; Plasma,10,20,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,210,270,480,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001LlzSJ,a266900000B5QJc,NA,"CTK Biotech, inc.",Aria COVID-19 Ag Rapid Test,SARS-CoV-2,Regulatory Achieved,ctkbiotech.com,CE-IVD,0,0,Immunoassay,Antigen,Unknown,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J49Tl,a266900000B3NHu,27.04.21,"CTK Biotech, inc.",OnSite COVID-19 Ag Rapid Test,SARS-CoV-2,Regulatory Achieved,ctkbiotech.com,WHO EUL; Australia TGA; Brazil ANVISA; CE-IVD; Philippines FDA; South Africa SAHPRA; Colombia INVIMA; Peru DIGEMID; Indonesia MDR,47.2,0,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,20,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",No,No,None,Independent,36,34,70,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001Llcrl,a266900000B2ldg,01.02.22,"CTK Biotech, inc.",OnSite COVID-19 Ag Self Test,SARS-CoV-2,Regulatory Achieved,ctkbiotech.com,Australia TGA; WHO EUL Under Assessment,100,98,Immunoassay,Antigen,N-protein,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,15,20,No,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,51,100,151,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J45JB,a266900000A9wEg,19.04.21,Cue Health,Cue COVID-19 Test,SARS-CoV-2,Regulatory Achieved,cuehealth.com,US FDA EUA; Health Canada,98.7,97.6,Molecular,RNA,N gene,qRT-PCR,Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,Intended for professional use only,Nasal swab,20,NA,Yes,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J3xSc,a266900000A9wBw,30.03.21,Cue Health,Cue COVID-19 Test for Home and Over The Counter (OTC) Use,SARS-CoV-2,Regulatory Achieved,cuehealth.com,US FDA EUA; Singapore HSA; CE-IVD,97.4,99.1,Molecular,RNA,N gene,RT-isothermal NAT (other),Cartridge-based processing,A proprietary/new instrument is required,Automated (excluding sample preparation),True Point of Care,Intended for self-testing (version available),Nasal swab,20,25,Yes,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,38,233,271,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001LklfQ,a2669000009z9dc,02.09.21,"Curative Inc. (in conjunction with KorvaLabs, Inc.)",Curative-Korva SARS-Cov-2 Assay,SARS-CoV-2,Research Use Only (RUO),curative.com/,None,NA,NA,Molecular,RNA,Unknown,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,NA,NA,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,US FDA EUA,Company-Sponsored,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a0B6900001J3xU8,a266900000A9wC2,30.03.21,CURIOSITY DIAGNOSTICS SP Z O O,PCR|ONE SARS-CoV-2 Test,SARS-CoV-2,Regulatory Achieved,pcrone.com/,CE-IVD,0,0,Molecular,RNA,N gene; ORF1ab,qRT-PCR,Cartridge-based processing,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Nasopharyngeal swab,15,15,Yes,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,poland,Poland,Europe
a0B6900001LlzSK,a266900000B5QJW,NA,Cypress Diagnostics,COVID-19 Ag Rapid Test,SARS-CoV-2,Regulatory Achieved,https://diagnostics.be/,CE-IVD,93,100,Immunoassay,Antigen,Unknown,Lateral Flow Assay,Rapid diagnostic test (strip or cassette),No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,15,20,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,0,0,0,^(?!.*luxem).*belgium,Belgium,Europe
a0B6900001J3mJc,a266900000A9w5d,03.03.21,Cytecs GmbH,SARS-CoV-2 RT-PCR,SARS-CoV-2,Regulatory Achieved,cytecs.com,CE-IVD,95.45,98.46,Molecular,RNA,E gene; N gene; ORF1b,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,230,270,No,No,Potential impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,244,195,439,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
a0B6900001LklaA,a2669000009z9YM,02.09.21,"Da An Gene Co., ltd. Of Sun Yat-Sen University",Detection Kit for 2019 Novel Coronavirus (2019-nCoV) RNA (PCR-Fluorescence Probi,SARS-CoV-2,Regulatory Achieved,daangene.com,WHO EUL; China NMPA,NA,NA,Molecular,RNA,N gene; ORF1ab,qRT-PCR,"NAT reagent kit – open source",Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Oropharyngeal swab; Sputum,NA,NA,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not applicable,NA,"Yes, I would like the test to be made public on FIND’s test directory",Yes,No,None,Company-Sponsored,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
