Performance Detail Submission: ID,Company/Institution Name,Submission Title,Country of Manufacturer,Regulatory Approval,Clinical Sensitivity (%),95% CI for Clinical Sensitivity (Lower),95% CI for Clinical Sensitivity (Upper),Clinical Specificity (%),95% CI for Clinical Specificity (Lower),95% CI for Clinical Specificity (Upper),Assay Target,Target Analyte(s),Self-testing/Self-Collection,Validated Sample Types,Time to results excl sample prep (mins),submission_id
a266900000A9w9g,"BGI PathoGenesis Pharmaceutical Technology Co.,Ltd",SARS-CoV-2 Virus Antigen Detection Kit (colloidal gold method),China,CE-IVD,82.30%,-,-,97.88%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9w9g
a266900000A9w9H,BIOCAN DIAGNOSTICS INC,Tell Me Fast COVID19 Antigen Test,Canada,CE-IVD,94.30%,89.40%,96.90%,100.00%,99.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,10,a266900000A9w9H
a266900000A9wJo,BIOESSA,BIOESSA Antigen Rapid Test Cassette (Nasal),Turkey,CE-IVD,99.15%,98.10%,99.80%,98.75%,92.90%,99.20%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wJo
a266900000A9wJ9,"Biohit Healthcare (Hefei) Co., Ltd.",SARS-CoV-2 Antigen test kit Enzyme-linked Immunoassay,China,Unknown,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wJ9
a266900000A9wCk,"Biohit Healthcare (Hefei) Co., Ltd.",SARS-CoV-2 Antigen Rapid Test Kit,China,Australia TGA; CE-IVD,97.65%,91.76%,99.71%,99.60%,97.79%,99.99%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Serum,15,a266900000A9wCk
a266900000B2leG,"Biohit Healthcare (Hefei) Co., Ltd.",Hough COVID-19 Home Test,China,Australia TGA,94.12%,-,-,100.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Unknown,15,a266900000B2leG
a266900000Adzba,"BIOLAN HEALTH,  S.L.",COVID-19 Antigen Rapid Test (Colloidal Gold Method),Spain,CE-IVD,96.50%,85.60%,97.50%,98.30%,95.01%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000Adzba
a266900000A9w78,Biolidics Limited,ClearEpi SARS-CoV-2 Antigen Rapid Test,Singapore,CE-IVD,98.15%,90.10%,100.00%,98.75%,95.60%,99.80%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9w78
a266900000A9wCl,BioMaxima S.A.,COVID-19 Antigen Rapid Test,Poland,CE-IVD,90.40%,79.00%,96.80%,99.50%,97.20%,99.90%,Antigen,Unknown,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wCl
a266900000A9w83,BioMedomics,SARS-CoV-2 Antigen Test Kit (LFIA),United States,CE-IVD,97.73%,94.78%,99.26%,99.51%,98.24%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9w83
a266900000A9w6k,"Biomerica, Inc.",Biomerica COVID-19 Antigen Rapid Test (Nasopharyngeal Swab),United States,CE-IVD,94.70%,89.80%,97.70%,99.70%,98.10%,99.90%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w6k
a266900000A9w5U,"BioNote, Inc.",NowCheck COVID-19 Ag Test,"Korea, Republic of",Australia TGA; Brazil ANVISA; CE-IVD; Philippines FDA,89.20%,81.70%,93.90%,97.30%,94.80%,98.60%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w5U
a266900000A9wEZ,"Bio-Rad Laboratories, Inc.",Coronavirus Ag Rapid Test Cassette (Swab),China,CE-IVD,97.25%,92.17%,99.43%,100.00%,97.69%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wEZ
a266900000A9wJB,"Bioscience (Tianjin) Diagnostic Technology Co.,Ltd",Ag RDT,China,CE-IVD; Other,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wJB
a266900000A9wIi,BioSino Bio-Technology and Science Inc.,SARS-CoV-2 Antigen Detection Kit,China,China NMPA,95.00%,90.00%,95.00%,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,20,a266900000A9wIi
a266900000A9wJr,BioSino Bio-Technology and Science Inc.,SARS-CoV-2 Antigen Detection Kit (colloidal gold immunochromatographic assay),China,CE-IVD,93.88%,83.48%,97.90%,99.03%,94.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,20,a266900000A9wJr
a266900000A9wEl,BioSpeedia International S.A.R.L,BioSpeedia COVID19 Nasal Antigen Test,France,CE-IVD,91.22%,81.00%,99.00%,99.46%,97.00%,99.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wEl
a266900000A9wEo,BioSpeedia International S.A.R.L,COVID19 Speed Antigen Test,France,CE-IVD,97.46%,95.00%,99.00%,99.28%,97.00%,98.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wEo
a266900000B3gwo,BIOSYNEX SWISS SA,BIOSYNEX COVID-19 Ag BSS - self-test,Switzerland,Germany BfArM,97.20%,92.10%,99.40%,100.00%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Nasal swab,15,a266900000B3gwo
a266900000A9w5q,BIOSYNEX SWISS SA,BIOSYNEX COVID-19 Ag+ BSS,Switzerland,CE-IVD,97.50%,91.10%,99.70%,100.00%,99.40%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9w5q
a266900000A9w5s,BIOSYNEX SWISS SA,BIOSYNEX COVID-19 Ag BSS,Switzerland,CE-IVD; Germany BfArM,97.20%,92.10%,99.40%,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w5s
a266900000A9w6h,BIOSYNEX SWISS SA,BIOSYNEX Combo COVID-FLU BSS,Switzerland,CE-IVD,97.50%,91.10%,99.70%,100.00%,99.40%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9w6h
a266900000AAO3V,"BioTeke Corporation (Wuxi) Co., Ltd.",SARS-CoV-2 Antigen Test Kit (colloidal gold method),China,CE-IVD,96.49%,91.20%,99.04%,99.28%,97.43%,99.91%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,20,a266900000AAO3V
a266900000A9wCo,Biotical Health,biotical SARS-CoV-2 Ag card test,Spain,CE-IVD,92.90%,-,-,99.60%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wCo
a266900000A9wEY,Biozek Medical,COVID-19 Antigen Rapid Test Cassette (Oral Fluid),Netherlands,CE-IVD,96.24%,85.90%,95.62%,99.72%,98.44%,99.99%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9wEY
a2669000009z9cO,Boditech Med.,"AFIAS COVID-19, Viral Antigen (automated)","Korea, Republic of",Brazil ANVISA; CE-IVD; Philippines FDA,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,NA,a2669000009z9cO
a266900000A9w9h,Boditech Med.,ichroma COVID-19 Ag,"Korea, Republic of",Korea MFDS; CE-IVD,90.90%,85.70%,95.30%,98.70%,95.50%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,12,a266900000A9w9h
a266900000A9wCM,Brawa GmbH,Testsealabs COVID-19 Antigen test Cassette,Germany,Australia TGA; CE-IVD,97.60%,94.90%,100.00%,98.40%,96.90%,99.90%,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,20,a266900000A9wCM
a266900000A9wGS,BTNX Inc.,COVID-19 Antigen Rapid Test Cassette (Oral Fluid),Canada,CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Saliva,NA,a266900000A9wGS
a266900000A9w5w,BTNX Inc.,Rapid Response COVID-19 Antigen Rapid Test Device,Canada,Australia TGA; Brazil ANVISA; Health Canada; CE-IVD,94.55%,83.93%,98.50%,100.00%,97.10%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9w5w
a266900000B3E1l,CALTH,AllCheck COVID19 Ag,"Korea, Republic of",Korea MFDS,92.86%,87.26%,96.52%,-,96.57%,99.98%,Antigen,N-protein,Intended for professional use only,Nasal swab,10,a266900000B3E1l
a266900000AhHww,Camtech Diagnostics,Camtech COVID-19 Antigen Rapid Test,Singapore,CE-IVD; Philippines FDA,93.33%,-,-,97.72%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000AhHww
a266900000B2VxF,Canon Medical Systems,SARS Coronavirus Antigen Kit Rapiim SARS-CoV-2-N PRTC2N01A,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000B2VxF
a266900000B2leE,Cellspect,Quampas COVID-19 Antigen Test Kit,Japan,Japan MHLW,100.00%,-,-,75.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000B2leE
a266900000AuhcK,"Celltrion USA, Inc.",Celltrion DiaTrust COVID-19 Ag Rapid Test,United States,US FDA EUA,93.30%,78.70%,98.20%,99.00%,94.70%,99.80%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000AuhcK
a266900000Auhl8,"Celltrion USA, Inc.",Celltrion DiaTrust COVID-19 Ag Home Test,United States,US FDA EUA,86.10%,71.30%,93.90%,99.40%,96.80%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000Auhl8
a266900000A9wEv,CerTest Biotec S.L.,CerTest SARS-CoV-2,Spain,Brazil ANVISA; CE-IVD; WHO EUL Under Assessment,94.00%,86.70%,98.00%,100.00%,97.60%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wEv
a266900000A9wCt,"Chembio Diagnostic Systems, Inc.",DPP COVID-19 Antigen System,United States,Brazil ANVISA,0.00%,-,-,0.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,0,a266900000A9wCt
a266900000A9wID,"Chemtron Biotech Co., LTD",Chemtrue® COVID-19/Influenza A+B Ag Combo Rapid Test (Colloidal Gold),China,CE-IVD,92.96%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wID
a266900000A9w9W,CHIL TIBBİ MAL. SAN. VE TİC. LTD. ŞTİ.,CHIL COVID-19 Antigen Rapid Test (Nasopharyngeal / Oropharyngeal Swab-Cassette),Turkey,CE-IVD; Germany BfArM,99.01%,97.49%,99.73%,99.57%,98.46%,99.95%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,20,a266900000A9w9W
a266900000A9wFM,Citest Diagnostics Inc.,COVID-19 Antigen Rapid Test(swab),Canada,CE-IVD,96.40%,89.80%,99.20%,99.00%,96.30%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wFM
a266900000A9wFN,Citest Diagnostics Inc.,COVID-19 Antigen Rapid Test (Oral Fluid),Canada,CE-IVD,90.10%,82.50%,95.10%,99.30%,97.70%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9wFN
a266900000A9wCu,"Core Technology Co., Ltd",Coretests COVID-19 Ag Test,China,CE-IVD; WHO EUL Under Assessment,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,10,a266900000A9wCu
a266900000A9wDz,Coris BioConcept,COVID-19 Ag Respi-Strip,Belgium,Brazil ANVISA; CE-IVD; Other,91.20%,75.00%,98.00%,98.40%,96.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,30,a266900000A9wDz
a266900000AvzJq,Coris BioConcept,COVID-19 Ag K-SeT,Belgium,CE-IVD,96.90%,90.70%,99.20%,100.00%,97.30%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000AvzJq
a266900000A9wF9,"CTK Biotech, inc.",OnSite COVID-19 Ag Rapid Test,United States,WHO EUL; Australia TGA; Brazil ANVISA; CE-IVD; South Africa SAHPRA,92.30%,83.00%,97.50%,100.00%,99.00%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wF9
a266900000B2ldg,"CTK Biotech, inc.",OnSite COVID-19 Ag Self Test,United States,Australia TGA,100.00%,93.00%,100.00%,98.00%,92.90%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldg
a266900000A9wJF,DDS DIAGNOSTIC,Rapid test COVID-19 antigen (nasal swab),Romania,CE-IVD,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasal swab,NA,a266900000A9wJF
a266900000A9wAm,"Denka Co., Ltd.",QuickNavi-COVID19 Ag,Japan,Japan MHLW; WHO EUL Under Assessment,91.70%,82.70%,96.90%,100.00%,99.50%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wAm
a266900000B2leD,"Denka Co., Ltd.",QuickNavi-Flu+COVID19 Ag,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000B2leD
a266900000B2le2,Department of Health (UK),COVID-19 Self-Test to detect infection in asymptomatic individuals (innova/bioti,United Kingdom,MHRA UK,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2le2
a266900000A9wA9,DIA.PRO Diagnostic Bioprobes S.r.l.,SARS-CoV-2 Antigen,Italy,CE-IVD,96.00%,-,-,98.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,5,a266900000A9wA9
a266900000A9w6a,DIALAB GmbH,DIAQUICK COVID-19 Ag Cassette,Austria,CE-IVD,98.32%,94.06%,99.80%,99.60%,98.83%,99.92%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w6a
a266900000AvXtN,diaTROPIX,SAYTU COVID-19 Ag test,Senegal,-,100.00%,95.00%,100.00%,100.00%,97.40%,100.00%,Antigen,Unknown,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000AvXtN
a266900000B2ldp,DNA Diagnostic A/S,SARS-CoV-2 Antigen Rapid Test (Nasal Swab) For Self-testing,Denmark,CE-IVD,100.00%,98.90%,100.00%,99.50%,98.60%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B2ldp
a266900000B2ldS,Drägerwerk AG & Co. KGaA,Dräger Antigen Test SARS-CoV-2,United Kingdom,CE-IVD,92.30%,86.80%,95.70%,99.60%,98.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,1,a266900000B2ldS
a266900000B2ldT,Drägerwerk AG & Co. KGaA,Drager COVID-19 Home Test,United Kingdom,CE-IVD,99.70%,-,-,96.10%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,1,a266900000B2ldT
a266900000A9w5a,DxGen Corp.,Epithod SARS-CoV-2 qAg Test Kit,"Korea, Republic of",CE-IVD,96.00%,86.50%,98.90%,100.00%,96.30%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,3,a266900000A9w5a
a266900000A9w5b,DxGen Corp.,Epithod COVID-19 Ag Test Kit,"Korea, Republic of",CE-IVD,98.00%,89.50%,99.70%,99.00%,94.60%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,3,a266900000A9w5b
a2669000009ztHk,"Dynamiker Biotechnology(Tianjin) Co., Ltd.",Dynamiker COVID-19/Influenza A+B Ag Combo Rapid Test,China,CE-IVD,95.70%,90.22%,98.13%,99.10%,96.61%,99.74%,Antigen,N-protein; Other,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,10,a2669000009ztHk
a2669000009ztQw,"Dynamiker Biotechnology(Tianjin) Co., Ltd.",Dynamiker SARS-CoV-2 Ag Rapid Test,China,CE-IVD,93.28%,87.29%,96.55%,99.00%,97.46%,99.61%,Antigen,N-protein,Intended for professional use only,Nasal swab,10,a2669000009ztQw
a266900000A9wK5,"Dynamiker Biotechnology (Tianjin) Co., Ltd.",Dynamiker SARS-CoV-2 Ag Rapid Test,China,CE-IVD,95.70%,90.20%,98.10%,99.10%,96.60%,99.70%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,10,a266900000A9wK5
a266900000AdbLd,"Dynamiker Biotechnology (Tianjin) Co., Ltd.",Dynamiker SARS-CoV-2 Ag Rapid Test (Saliva),China,CE-IVD,92.98%,-,-,99.07%,-,-,Antigen,N-protein,Intended for professional use only,Saliva,10,a266900000AdbLd
a266900000A9w9q,DYONMED S.A.,CORONA-Ag,Greece,CE-IVD,95.00%,86.08%,98.96%,100.00%,88.43%,100.00%,Antigen,S-protein S1,Intended for professional use only,Sputum; Saliva; Feces,15,a266900000A9w9q
a266900000A9wEb,DYONMED S.A.,SieloCovidAg,Greece,CE-IVD,95.60%,93.79%,98.66%,100.00%,97.12%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,13,a266900000A9wEb
a266900000A9w9s,DYONMED S.A.,FluCov2,Greece,CE-IVD,92.25%,86.55%,96.07%,100.00%,94.56%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,6,a266900000A9w9s
a266900000A9w5H,DYONMED S.A.,DyonCovidAg,Greece,CE-IVD,90.91%,76.43%,96.86%,99.02%,94.66%,100.00%,Antigen,N-protein; S-protein (type unknown); S-protein S1; S-protein RBD; S-protein S2,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9w5H
a266900000A9wCx,Edinburgh Genetics Limited,ActivXpress+ COVID-19 Antigen Complete Testing Kit,United Kingdom,CE-IVD,94.70%,83.00%,97.30%,100.00%,94.40%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wCx
a266900000A9wCy,Edinburgh Genetics Limited,COVID-19 Antigen Detection Kit (Colloidal Gold),United Kingdom,CE-IVD,92.60%,-,-,98.60%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wCy
a266900000A9wBu,Ellume,Ellume COVID-19 Home Test,Australia,US FDA EUA; Health Canada,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Mid-turbinate swab,15,a266900000A9wBu
a266900000AuhlA,Ellume,ellume.lab COVID Antigen Test,Australia,US FDA EUA,81.80%,65.60%,91.40%,100.00%,93.60%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000AuhlA
a266900000B2ldN,"Empowered Diagnostics, LLC",Covclear COVID-19 Rapid Antigen Test,United States,Health Canada; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,3,a266900000B2ldN
a266900000A9wJA,"Eternal Materials Co., Ltd.",COVID-19 Antigen Rapid Test,"Taiwan, Republic of China",Unknown,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wJA
a266900000A9w9v,EZT Trade AB,SARS-COV-2 Antigen Rapid Test Device,China,CE-IVD,96.49%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w9v
a266900000A9wAj,"Foregene Co., Ltd",SARS-CoV-2 Antigen Test Kit (Colloidal Gold),China,CE-IVD,96.80%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab; Saliva,15,a266900000A9wAj
a266900000A9wJj,Fortress Diagnostics,COVID-19 Ag Cassette (Swab) Nasal/Nasopharyngeal,United Kingdom,CE-IVD,96.72%,-,-,99.22%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,12,a266900000A9wJj
a266900000A9wAF,Fujifilm Corporation,FUJIFILM COVID-19 Ag Test,Japan,CE-IVD,85.00%,70.20%,94.30%,100.00%,94.30%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,13,a266900000A9wAF
a266900000B2le6,Fujifilm Corporation,FUJI DRI-CHEM IMMUNO AG HANDY COVID-19 Ag,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,13,a266900000B2le6
a266900000B2le7,Fujifilm Corporation,FUJI DRI-CHEM IMMUNO AG CARTRIDGE COVID-19 Ag,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,13,a266900000B2le7
a266900000A9wCz,FUJIREBIO Inc.,ESPLINE SARS-CoV-2,Japan,Japan MHLW; CE-IVD; WHO EUL Under Assessment,0.00%,-,-,0.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wCz
a266900000B2eNI,FUJIREBIO Inc.,ESPLINE SARS-CoV-2 & FLU A + B,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,NA,a266900000B2eNI
a266900000B2bde,FUJIREBIO Inc.,Lumipulse SARS-CoV-2 Ag,Japan,Japan MHLW; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Saliva,35,a266900000B2bde
a266900000A9wAG,GaDia SA,COVIDia - Antigen,Switzerland,CE-IVD,90.00%,66.90%,98.20%,97.50%,85.30%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,12,a266900000A9wAG
a266900000A9w5f,GaDia SA,COVIDia-Antigen,Switzerland,CE-IVD,90.00%,66.90%,98.20%,97.50%,85.30%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w5f
a266900000A9w9r,GA Generic Assays GmbH,GA CoV-2 Antigen Rapid Test,Germany,CE-IVD,97.06%,91.64%,99.39%,99.20%,97.96%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w9r
a266900000A9wD0,GenBody Inc.,GenBody COVID-19 Ag,"Korea, Republic of",US FDA EUA; Korea MFDS; Australia TGA; CE-IVD; WHO EUL Under Assessment,90.00%,73.40%,97.89%,98.00%,92.96%,99.76%,Antigen,Other,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wD0
a266900000B3Dp9,GenBody Inc.,GenBody FIA COVID-19 Ag,"Korea, Republic of",Korea MFDS,-,-,-,-,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000B3Dp9
a266900000B3D9d,GenBody Inc.,Covid-19 Ag saliva Home Test,"Korea, Republic of",Korea MFDS,89.23%,-,-,99.59%,-,-,Antigen,Other,Intended for self-testing (version available),Saliva,15,a266900000B3D9d
a266900000A9wD1,Genesprint Group Ltd,GenesPrint Colloidal Gold Rapid Antigen Test for SARS CoV-2,"Hong Kong SAR, China",CE-IVD; WHO EUL Under Assessment,0.00%,-,-,0.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,0,a266900000A9wD1
a266900000A9wD2,"Genobio Pharmaceutical Co., Ltd.",COVID-19 Antigen Lateral Flow Assay,China,CE-IVD; WHO EUL Under Assessment,0.00%,-,-,0.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,0,a266900000A9wD2
a266900000ABTMX,"Genobio Pharmaceutical Co., Ltd.",SARS-CoV-2 Antigen Rapid Test (Colloidal Gold),China,CE-IVD,96.23%,92.43%,98.23%,99.26%,98.31%,99.70%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Saliva,15,a266900000ABTMX
a266900000A9wJI,Genrui Biotech Inc.,Genrui SARS-CoV-2 Antigen Test Kit (Colloidal Gold),China,CE-IVD; Germany BfArM,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000A9wJI
a266900000A9wEd,"GenSure Biotech Inc.,",GenSure COVID-19 Antigen Rapid Kit,China,CE-IVD; WHO EUL Under Assessment,96.86%,93.29%,98.84%,100.00%,98.97%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wEd
a266900000A9wD3,"GenSure Biotech Inc.,",COVID-19/FluA/B Antigen Combo Rapid Test P2007,China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasal swab,0,a266900000A9wD3
a266900000A9wI7,"Getein Biotech, Inc.",One Step Test for SARS-CoV-2 Antigen (Colloidal Gold),China,CE-IVD; WHO EUL Under Assessment,97.06%,93.30%,98.74%,98.71%,96.73%,99.50%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,10,a266900000A9wI7
a266900000A9wIA,"Getein Biotech, Inc.",SARS-CoV-2 Antigen Fast Test Kit (Immunofluorescence Assay),China,CE-IVD,98.53%,92.13%,99.74%,99.35%,96.44%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wIA
a266900000A9wD4,Goldsite Diagnostics Inc.,SARS-CoV-2 Antigen Kit (Colloidal Gold),China,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,0,a266900000A9wD4
a266900000A9wD5,Green Cross Medical Science Corp.,GENEDIA W COVID-19 Ag,"Korea, Republic of",Korea MFDS; CE-IVD,90.10%,85.20%,93.50%,100.00%,98.40%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Sputum,15,a266900000A9wD5
a266900000Auhlh,"Guangdong Longsee Biomedical Co.,Ltd",2019-nCoV Ag Rapid Detection Kit (Immuno-Chromatography),China,CE-IVD; WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Saliva,NA,a266900000Auhlh
a266900000A9wIv,"Guangdong Wesail Biotech Co., Ltd.",COVID-19 Ag Test Kit Self-Testing,China,CE-IVD,81.40%,-,-,99.70%,-,-,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000A9wIv
a266900000A9wA0,"Guangdong Wesail Biotech Co., Ltd.",Wesail COVID-19 Ag Test Kit,China,CE-IVD; Germany BfArM,90.00%,-,-,99.20%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wA0
a266900000A9w5C,"Guangdong Wesail Biotech Co., Ltd.",COVID-19 Ag Test Kit,China,CE-IVD; Germany BfArM,90.00%,-,-,99.20%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w5C
a266900000A9wEH,"Guangdong Wesail Biotech Co., Ltd.",Flu+COVID-19 Ag Test Kit,China,CE-IVD,91.10%,-,-,98.00%,-,-,Antigen,N-protein; Other,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9wEH
a266900000A9wEI,"Guangdong Wesail Biotech Co., Ltd.",COVID-19 Ag Saliva Test Kit,China,CE-IVD,90.10%,-,-,99.00%,-,-,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9wEI
