submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,clinical_sensitivity,clinical_specificity,permalink,regex,country,region
a266900000B4CJY,"Jiangsu Konsung Bio-Medical Science & Technology Co.,ltd.",COVID-19 Antigen Rapid Test Kit (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,near Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; Germany BfArM; Other,97.50 %,99.06 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wDF,Hughes Healthcare UK,SARS-CoV-2 Antigen Rapid Test - self testing,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),Other,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,MHRA UK,97.10 %,99.50 %,https://www.hugheshealthcare.co.uk,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000B4FAF,MediPort Diagnostics,COVID-19 Ag Card Antigen Rapid Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD; MHRA UK,97.32 %,99.62 %,https://mediport.com/,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000B4FB8,MediPort Diagnostics,COVID-19 Less Invasive Self Swab Antigen Rapid Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,NA,NA,https://mediport.com/,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000B4AVH,Abacus Diagnostica Oy,GenomEra SARS-CoV-2 2.0 Assay Kit,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Other,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,50,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),CE-IVD,98.20 %,99.80 %,NA,finland,Finland,Europe
a266900000B4F1f,Advanced Molecular Diagnostics ltd.,Zena Max SARs-CoV-2 qPCR Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage,Standard lab instrumentation required,Manual,Lab-based,65,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,98.90 %,100.00 %,NA,india(?!.*ocea),India,Asia
a266900000B4FFy,Genesprint Group Limited,GenesPrint SARS-CoV-2 Antigen Rapid Test Kit,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein; S-protein S1; S-protein RBD; S-protein S2,Nasal swab,A proprietary/new instrument is required,Manual,True Point of Care,5,No,Unknown,Unknown,Unknown,Unknown,Unknown,No impact (analytical/clinical studies conducted),CE-IVD,98.72 %,97.32 %,NA,hong.?kong,Hong Kong SAR China,Asia
a266900000B4AMU,Ustar Biotechnologies (Hangzhou) ltd.,EasyNAT COVID-19 RNA Test,Molecular,Intended for self-testing (version available),RNA,Cartridge-based processing,N gene; ORF1ab,Nasal swab,No instrumentation required,Automated (excluding sample preparation),True Point of Care,55,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Peru DIGEMID,95.41 %,99.80 %,http://en.bioustar.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B4En3,"Genobio Pharmaceutical Co., ltd.",SARS-CoV-2 Molecular Detection Kit  (Real-time RT-PCR),Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab; Bronchoalveolar lavage; Sputum; Saliva,Standard lab instrumentation is required,Manual,Lab-based,40,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B4TCc,MediPort Diagnostics,COVID-19 Ag Card Antigen Rapid Test Kit (self-testing),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),MHRA UK,97.32 %,99.62 %,https://mediport.com/,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000B4A8h,OPTOLANE Technologies Inc.,Genoplexor™ COVID-19 Detection Kit / RT-PCR,Molecular,Intended for professional use only,RNA,Cartridge-based processing,S gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,36,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,99.00 %,100.00 %,http://www.optolane.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B44Ud,"Hangzhou Clongene Biotech Co., ltd.",Clongene COVID-19 Antigen Rapid Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,No impact (analytical/clinical studies conducted),Unknown,Australia TGA,95.10 %,100.00 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B452P,MEDIAN DIAGNOSTICS INC,MDx COVID-19 Ag Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,NA,No,NA,NA,NA,NA,NA,NA,Korea MFDS,NA,NA,http://www.mediandiagnostics.com/eng/collection.php,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B43hV,"Hangzhou Realy Tech Co., ltd.",Sonictec Novel Coronavirus (SARS-Cov-2) Antigen Rapid Test Device (nasal swab),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,10,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA; CE-IVD,95.51 %,93.33 %,https://sonictec.com.au/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B43gE,GenBody Inc.,Covid-19 Ag Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Korea MFDS; Australia TGA,89.23 %,99.59 %,https://www.genbody.co.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B2ldE,"Hangzhou AllTest Biotech Co.,ltd.",BERIGHT COVID-19 Antigen Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,20,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),NA,No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA,90.10 %,99.30 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3Dsm,"Wells Bio, Inc.",careUS COVID-19 Antigen Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,87.10 %,100.00 %,http://www.wellsbio.net,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B44UH,"Hangzhou AllTest Biotech Co.,ltd.",Juschek COVID-19 Antigen Rapid Test (Oral Fluid),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Chile ANAMED,91.10 %,99.30 %,https://www.alltests.com.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B44Fq,"Jiangsu Well Biotech Co.,ltd.",Gardian T3 COVID-19-SARS-CoV-2 Antigen Saliva Self Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,10,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,No impact (analytical/clinical studies conducted),Unknown,Australia TGA,98.95 %,96.64 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B44Rr,"Hangzhou Realy Tech Co., ltd.",Novel Coronavirus (SARS-Cov-2) Antigen Rapid Test Device (nasal swab) (self-test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,10,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA,95.51 %,100.00 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3qRo,Boditai (Xiamen) Biotechnology Co.,RAPID SARS-COV-2 ANTIGEN TEST CARD,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,NA,NA,NA,NA,NA,NA,NA,CE-IVD,NA,NA,http://www.biodetect.cn/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3qRn,Medusa 19,MeduFlow Rapid Antigen Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,20,No,NA,NA,NA,NA,NA,NA,CE-IVD,NA,NA,https://www.medusa19.com/en/meduflow-rapid-antigen-test/,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000B3qQp,Eon Biotechnology Limited,EONBT COVID-19 Antigen,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,NA,NA,NA,NA,NA,NA,CE-IVD,91.95 %,99.30 %,https://eonbt.com/uncategorized/eonbt-covid-19-antigen/,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000B3qLH,Amper Inc.,AMPER COVID-19 Antigen Rapid Testing Kit (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,NA,NA,NA,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,NA,NA,http://www.amperbio.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B3qLI,Amper Inc.,AMPER COVID-19 Antigen Rapid Testing Kit (Colloidal Gold) (at-home),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,NA,True Point of Care,15,No,NA,NA,NA,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,NA,NA,http://www.amperbio.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B3qZD,TODA PHARMA,TODA COVID-19 NASAL SELF-TEST,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,NA,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),NA,No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,94.40 %,100.00 %,https://www.todapharma.com/product/autotest-nasal-covid19/,^(?!.*\bdep)(?!.*martinique).*france|french.?republic|\bgaul,France,Europe
a266900000B3lyR,"Hangzhou AllTest Biotech Co.,ltd.",SARS-CoV-2 Antigen Rapid Test (Nasal Swab) for self testing,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD,NA,NA,https://www.alltests.com.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3loH,"Hangzhou AllTest Biotech Co.,ltd.",GSD NovaGen SARS-CoV-2 Ag Rapid Test (Nasal Swab) for self testing,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,NA,True Point of Care,20,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,94.10 %,99.30 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3lwk,Reszon Diagnostics International Sdn Bhd,Reszon COVID-19 Rapid Antigen Test (Self-testing),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,NA,NA,malaysia,Malaysia,Asia
a266900000B3llS,"Lansion Biotechnology Co., ltd.",COVID-19 Antigen Test Kit (Dry Fluorescence Immunoassay) (self-testing),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,A proprietary/new instrument is required,Manual,True Point of Care,15,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,100.00 %,100.00 %,http://en.lansionbio.com/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3lqr,"Anbio (Xiamen) Biotechnology Co.,ltd.",Rapid COVID-19 Antigen Test (Colloidal Gold) (self test),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Oropharyngeal swab; Nasal swab; Saliva,No instrumentation is required,Manual,True Point of Care,15,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,99.18 %,100.00 %,http://www.anbio.com/en/product-67540-63647-191149.html,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3llI,"Anhui Deep Blue Medical Technology Co., ltd.",COVID-19 (SARS-CoV-2) Antigen Test Kit (Colloidal Gold) ) self-testing,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),CE-IVD; MHRA UK; Other,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3lrk,"Xiamen Boson Biotech Co., ltd.",Rapid SARS-CoV-2 Antigen Test Card (self test),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD; Germany BfArM; Other,96.17 %,99.16 %,https://www.bosonbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3gwo,Biosynex Swizz SA,BIOSYNEX COVID-19 Ag BSS - self-test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD; Germany BfArM,97.20 %,100.00 %,https://www.biosynex.com/,switz|swiss,Switzerland,Europe
a266900000B3D2N,"Hangzhou Testsea Biotechnology Co.,ltd.",Medriva COVID-19 Antigen test cassette (Nasal),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,94.00 %,99.60 %,https://www.testsealabs.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3E7h,Precision Biosensor Inc.,PBCheck COVID-19 Ag,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,https://www.precision-bio.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B3E9J,SD Biosensor INC,SD Biosensor STANDARD Q COVID-19 Ag Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,20,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Singapore HSA,84.97 %,98.40 %,https://www.sdbiosensor.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B3E9s,"Becton, Dickinson and Company (BD)",BD Kit for Rapid Detection of SARS-CoV-2 (self-test list),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),Unknown,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore HSA,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B3Dnh,"Humasis Co., ltd.",Humasis Covid-19 Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein; S-protein RBD,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Korea MFDS,92.90 %,99.80 %,https://www.humasis.com/en/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B3DCr,"Acon Biotech (Hangzhou) Co., ltd.",Flowflex SARS-CoV-2 Antigen Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),WHO EUL; Health Canada; CE-IVD; MHRA UK,97.10 %,99.50 %,https://www.aconlabs.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B3Dr0,Precision Biosensor Inc.,Exdia COVID-19 Ag,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,https://www.precision-bio.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B3Dyw,"Access Bio, Inc.",CareStart COVID-19 Ag Plus,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,http://www.accessbio.net,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B3E1l,CALTH,AllCheck COVID19 Ag,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,92.86 %,NA,http://www.thecalth.com/eng/product/product01.php?ptype=view&prdcode=2104230001&catcode=12000000,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B3DzG,"Sugentech, Inc.",SGTi-flex COVID-19 Ag self,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,Korea MFDS,95.07 %,99.38 %,https://www.sugentech.com,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B3DyQ,"WON Medical Co.,",WonMed Covid-19 Ag,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Unknown,No instrumentation is required,Manual,True Point of Care,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS,NA,NA,http://www.wonmedical.co.kr/en/,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B3Dsc,"MiCo BioMed Co., ltd.",VERI-Q COVID-19 Ag Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Korea MFDS; CE-IVD,96.00 %,100.00 %,http://www.micobiomed.com/en/product/product_view.php?part1_idx=3&part_idx=3&idx=29,dprk|d.p.r.k|korea.+(d.p.r|dpr|north|dem.*rep.*)|(d.p.r|dpr|north|dem.*rep.*).+korea,North Korea,Asia
a266900000B3Dp9,GenBody Inc.,GenBody FIA COVID-19 Ag,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Other,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Manual,True Point of Care,15,Unknown,Unknown,Unknown,No expected impact (in silico analyses),Unknown,Unknown,Unknown,Korea MFDS,NA,NA,https://www.genbody.co.kr,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B2vPO,Artron Laboratories Inc.,Artron COVID-19 Antigen Test (Nasopharyngeal),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,NA,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Health Canada,NA,NA,http://www.artronlab.com/products/COVID19/COVID19%20Ag.html,canada,Canada,North America
a266900000B2vJ9,"iHealth Labs, Inc.",iHealth COVID-19 Antigen Rapid Test Pro,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,No expected impact (in silico analyses),US FDA EUA,NA,NA,https://ihealthlabs.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
