submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,permalink,regex,country,region
a266900000AuhcK,"Celltrion USA, Inc.",Celltrion DiaTrust COVID-19 Ag Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,NA,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),Unknown,US FDA EUA,https://www.celltrion.com/en-us/home/index,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000Auhl8,"Celltrion USA, Inc.",Celltrion DiaTrust COVID-19 Ag Home Test,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),Unknown,US FDA EUA,https://www.celltrion.com/en-us/home/index,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9cV,Centers for Disease Control and Prevention,CDC 2019-nCoV Real-Time RT-PCR Diagnostic Panel (CDC),Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage; Sputum; Other,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA; CE-IVD,https://www.cdc.gov/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9cW,Centers for Disease Control and Prevention,Influenza SARS-CoV-2 (Flu SC2) Multiplex Assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; InfB NS; InfA Matrix gene; Other,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Bronchoalveolar lavage; Sputum; Other,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA; CE-IVD,https://www.cdc.gov/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BBceD,Cepheid,Xpert Xpress CoV-2 plus,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; N gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),US FDA EUA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wIS,Cepheid,Xpert Xpress SARS-CoV-2/Flu/RSV,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; N2 gene,Nasopharyngeal swab; Nasal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),US FDA EUA; Australia TGA; Health Canada,https://www.cepheid.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wCs,Cepheid,Xpert Xpress SARS-CoV-2 test,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; N2 gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,30,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),WHO EUL; US FDA EUA; Australia TGA; Health Canada; Singapore HSA; CE-IVD; MHRA UK; Philippines FDA,https://www.cepheid.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000Av8NL,Cepheid,Xpert Xpress CoV-2/Flu/RSV plus,Molecular,Intended for professional use only,RNA,Cartridge-based processing,E gene; N gene; RdRp gene,Unknown,A proprietary/new instrument is required,Manual,near Point of Care,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),US FDA EUA; Australia TGA; Health Canada; MHRA UK,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000BErei,Cepheid,Xpert Xpress SARS-CoV-2 DoD,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",E gene; N2 gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,A proprietary/new instrument is required,Automated (excluding sample preparation),True Point of Care,30,Yes,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,US FDA EUA,https://www.cepheid.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wEv,CerTest Biotec S.L.,CerTest SARS-CoV-2,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,10,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Brazil ANVISA; CE-IVD; WHO EUL Under Assessment,https://www.certest.es/,spain,Spain,Europe
a266900000A9w8z,CerTest Biotec S.L.,VIASURE SARS-CoV-2 Real Time PCR Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva,Standard lab instrumentation is required,Manual,Lab-based,90,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA; CE-IVD; MHRA UK; WHO EUL Under Assessment,https://www.certest.es/,spain,Spain,Europe
a266900000A9w91,CerTest Biotec S.L.,VIASURE SARS-CoV-2 (N1 + N2) Real Time PCR Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene,Nasopharyngeal swab; Oropharyngeal swab; Saliva,Standard lab instrumentation is required,Manual,Lab-based,90,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),CE-IVD; MHRA UK,https://www.certest.es/,spain,Spain,Europe
a266900000A9w95,CerTest Biotec S.L.,"VIASURE SARS-CoV-2, Flu & RSV Real Time PCR Detection Kit",Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,90,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA; CE-IVD; MHRA UK,https://www.certest.es/,spain,Spain,Europe
a266900000A9wIP,Chai Biosciences,COVID-19 Saliva Dx Test Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Saliva,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B5QIv,Changsha Sinocare Inc.,SARS-CoV-2 Antigen Test Kit (Colloidal Gold Method),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.sinocareintl.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B5QIw,"Changzhou Biowin Pharmaceutical Co.,Ltd.",Novel Coronavirus (COVID-19) Antigen Test Kit (Colloidal Gold) For Saliva),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.czbiowin.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B5QIx,"Changzhou Biowin Pharmaceutical Co.,Ltd.",Novel Coronavirus (COVID-19) Antigen Test Kit(Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.czbiowin.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009z9Yn,Chaozhou Hybribio Biochemistry ltd.,COVID-19 Real-Time PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab; Bronchoalveolar lavage; Sputum; Other,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,WHO EUL; Australia TGA; Brazil ANVISA; CE-IVD,http://www.hybribio.cn/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009z9Yo,Chaozhou Hybribio Biochemistry ltd.,Respiratory Virus (IFVa/b + COVID-19) Real-Time PCR Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Unknown,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,http://www.hybribio.cn/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wCt,"Chembio Diagnostic Systems, Inc.",DPP COVID-19 Antigen System,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,0,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Brazil ANVISA,http://chembio.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wID,"Chemtron Biotech Co., ltd.",Chemtrue® COVID-19/Influenza A+B Ag Combo Rapid Test (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,10,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.chemtronbio.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009z9Yq,"Chengdu Fengji Biotechnology Co., ltd. of China",2019-nCoV Nucleic acid detection kit (multiplex PCR fluorescent probe method),Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene; N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,China NMPA,https://www.foregene.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9w9W,CHIL TIBB MAL. SAN. VE TC. ltd. T,CHIL COVID-19 Antigen Rapid Test (Nasopharyngeal / Oropharyngeal Swab-Cassette),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; Germany BfArM; Other,https://www.chil.com.tr/,turkey,Turkey,Europe
a266900000B5QKq,"Chongqing iSIA BIO-Technology Co., Ltd",COVID-19 Antigen Rapid Test Kit (Swab),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Oropharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.isiabio.com.cn,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wBx,"ChromaCode, Inc.",HDPCR SARS-CoV-2 Assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N1 gene; N2 gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,Standard lab instrumentation is required,Manual,Lab-based,90,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA,https://chromacode.com/products/hdpcr-sars-cov-2-assay/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B5QJY,CIGA Healthcare Ltd.,Suresign Professional Covid-19 Antigen Rapid Test Cassette (Oral Fluid),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.cigahealthcare.com/,united.?kingdom|britain|^u\.?k\.?$,United Kingdom,Europe
a266900000A9wFM,Citest Diagnostics Inc.,COVID-19 Antigen Rapid Test(swab),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.citestdiagnostics.com,canada,Canada,North America
a266900000A9wFN,Citest Diagnostics Inc.,COVID-19 Antigen Rapid Test (Oral Fluid),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.citestdiagnostics.com,canada,Canada,North America
a2669000009z9dZ,Clear Labs Inc.,Clear Dx SARS-CoV-2 Test,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",Unknown,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,US FDA EUA,https://www.clearlabs.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000Auhjw,Clinomics USA Inc.,Clinomics TrioDx RT-PCR COVID-19 Test,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",E gene; N gene; RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,A proprietary/new instrument is required,Manual,Lab-based,NA,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,US FDA EUA,http://clinomics.com/en/main,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9da,Clonit,quanty-CONV-19,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",N gene,Nasopharyngeal swab; Oropharyngeal swab; Sputum; Saliva,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.clonit.it/en/,italy,Italy,Europe
a2669000009z9Xo,"Co-Diagnostics, Inc.",Logix Smart Coronavirus Disease 2019 (COVID-19) Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",RdRp gene,Nasopharyngeal swab; Oropharyngeal swab; Bronchoalveolar lavage; Sputum; Other,Standard lab instrumentation is required,Manual,Lab-based,NA,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),US FDA EUA; Australia TGA; CE-IVD; MHRA UK; South Africa SAHPRA,http://codiagnostics.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B5QJZ,"Cofoe Medical Technology Co.,Ltd",SARS-CoV-2 Antigen Test Kit(Colloidal Gold Method),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,/,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wCu,"Core Technology Co., ltd.",Coretests COVID-19 Ag Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,10,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD; WHO EUL Under Assessment,https://www.coretests.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B5QJa,"Core Technology Co., ltd.",COVID-19 Saliva Ag Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Saliva,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,www.coretests.com,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000A9wEz,Coris BioConcept,COVID-19 Sero NP/RBD,Immunoassay,Intended for professional use only,Antibody (serological),Rapid diagnostic test (strip or cassette),Total Antibody,Serum; Plasma,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.corisbio.com,^(?!.*luxem).*belgium,Belgium,Europe
a266900000A9wDz,Coris BioConcept,COVID-19 Ag Respi-Strip,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,Manual,True Point of Care,30,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,No impact (analytical/clinical studies conducted),Brazil ANVISA; CE-IVD; Other,https://www.corisbio.com,^(?!.*luxem).*belgium,Belgium,Europe
a266900000AvzJq,Coris BioConcept,COVID-19 Ag K-SeT,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),CE-IVD,NA,^(?!.*luxem).*belgium,Belgium,Europe
a266900000B5QJb,CORMAY,CORMAY RAPID SARS-CoV-2 ANTIGEN TEST KIT,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Nasopharyngeal swab; Oropharyngeal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,cormay.pl/index.php?lang=_en,poland,Poland,Europe
a2669000009j2YV,Coyote Bioscience,DirectDetect SARS‐COV2 Detection Kit (PCR‐Fluorescence Probe),Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene; ORF1ab,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),near Point of Care,35,Yes,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,Unknown,CE-IVD,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a2669000009z9bG,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Anti-NP IgG ELISA Kit,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.creative-biolabs.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bH,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Anti-S1 RBD IgG ELISA Kit,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.creative-biolabs.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bI,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Multiplex qRT-PCR Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",Unknown,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.creative-biolabs.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bJ,Creative Biolabs,SARS-CoV-2 (2019-nCoV) N qRT-PCR (Taqman) Detection Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",E gene,Unknown,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.creative-biolabs.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bK,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Total Antibody Rapid Test Kit,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG; IgM,Serum; Plasma,A proprietary/new instrument is required,Manual,Lab-based,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.creative-biolabs.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bL,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Spike Protein ELISA Kit,Immunoassay,Intended for professional use only,Antigen,IA Reagent Kit,S-protein (type unknown),Unknown,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wHR,Creative Biolabs,SARS-CoV-2 (2019-nCoV) Nucleoprotein Protein ELISA Kit,Immunoassay,Intended for professional use only,Antigen,IA Reagent Kit,N-protein,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bN,Creative Diagnostics,ELISA: Anti-SARS-CoV-2 antibodies &NP antigen,Immunoassay,Intended for professional use only,Antigen,IA Reagent Kit,N-protein,Unknown,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.creative-diagnostics.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bQ,Creative Diagnostics,SARS-COV-2 Total Antibody ELISA Kit,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,Total Antibody,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,https://www.creative-diagnostics.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bT,Creative Diagnostics,SARS-CoV-2 IgG ELISA Kit,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgG,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.creative-diagnostics.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a2669000009z9bU,Creative Diagnostics,SARS-CoV-2 IgM ELISA Kit,Immunoassay,Intended for professional use only,Antibody (serological),IA Reagent Kit,IgM,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.creative-diagnostics.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000A9wIe,Credo Diagnostics Biomedical Pte. ltd.,VitaPCR Influenza A&B/SARS-CoV-2 assay,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",Unknown,Nasal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),near Point of Care,20,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.credodxbiomed.com,singapore,Singapore,Asia
a266900000A9wIf,Credo Diagnostics Biomedical Pte. ltd.,QubeMDx+ platform 4-plex,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",N gene; Influenza A; Influenza B; Other,Nasal swab,A proprietary/new instrument is required,Fully automated (including sample preparation),True Point of Care,NA,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,CE-IVD,https://www.credodxbiomed.com,singapore,Singapore,Asia
a2669000009z9b3,"CTK Biotech, inc.",Aridia COVID-19 Real Time PCR Test,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",ORF1ab,Serum; Plasma,Standard lab instrumentation is required,Manual,Lab-based,NA,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD; Philippines FDA,https://www.ctkbiotech.com,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
