date_of_submission,manufacturer,submission_id,submission_title,country,region,stage_of_development,regulatory_status,type_of_technology,assay_aim,syndromes,other_target_pathogen,permalink,planned_market_entry,primary_use_case,ID_type,disease_target,assay_target,organism_classes,target_pathogen,target_analyte,technology_principle,readout_technology,other_readout_technology,qualitative_or_quantitative,antimicrobial_resistance_class,resistance_marker,other_antimicrobial_resistance_class,Drug_resistance_target,Other Drug resistance target,AST_output,test_format,other_test_format,instrument_requirement,level_of_automation,lab_vs_poc,self_testing_self_collection,validated_sample_types,other_validated_sample_type,time_to_results_excl_prep,city,test_to_be_listed_on_finds_web_page,country_tmp,city2,lat,lng,name,region_availability,is_this_a_variant_detection_test,format_of_material_provided,qual_or_quant,storage_temp,performance_detail_submission_id,sensitivity,specificity,connectivity_solution,find_evaluation,s_gene_dropout,scov2_variants,data_to_be_published_on_finds_web_page,study_type,number_of_positive_samples,number_of_negative_samples,total_number_of_samples,sc2_impact_alpha,sc2_impact_beta,sc2_impact_delta,sc2_impact_delta_plus,sc2_impact_gamma,sc2_impact_omicron,sc2_impact_omicron_ba4,sc2_impact_omicron_ba5,laboratory_point_of_care,time_to_result,performance_submission_title,type_data_source,sensitivity_ci_low,sensitivity_ci_up,specificity_ci_low,specificity_ci_up,target_patient_group,sample_type,total_number_samples,number_positive_samples,number_negative_samples,serovar_subtype,instrument_name,disease_target_phase,drug_resistance_target,other_drug_resistance_target,other_regulatory_status,who_technology_class,who_pipe
06.07.2023,"Jiangsu Bioperfectus Technologies Co., Ltd.",a2r69000007lbDt,Novel Corona Virus (SARS-CoV-2) Ag Rapid Test Kit,China,Western Pacific Region,Regulatory Achieved,CE-IVDD; Other,Immunoassay,NA,NA,NA,https://bioperfectus.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab; Nasopharyngeal swab; Oropharyngeal swab,NA,NA,Taizhou City,Yes,China,"Taizhou City, China",NA,NA,testdir,NA,NA,NA,NA,NA,a266900000BscZj,96.67,97.87,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,60,235,295,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Sure Bio-Tech (USA) Co., ltd.",a2r69000007lbDu,2019-nCoV Antigen Rapid Test,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://surebiotech.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab; Nasopharyngeal swab; Oropharyngeal swab,NA,NA,Burlingame,Yes,United States,"Burlingame, United States",NA,NA,testdir,NA,NA,NA,NA,NA,a266900000Bsd5o,93.18,99.32,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,176,441,617,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"CorDx, Inc.",a2r69000007lbDv,COVID-19 Ag Test,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; US FDA EUA,Immunoassay,NA,NA,NA,https://cordx.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,NA,NA,Yes,United States,United States,39.50357056,-99.01834106,testdir,NA,NA,NA,NA,NA,a266900000BscE2,NA,NA,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No expected impact (in silico analyses),No expected impact (in silico analyses),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,DxGen Corp.,a2r69000007lbDw,Epithod SARS-CoV-2 qAg Test Kit,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://dxgenco.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,ELISA/EIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cartridge-based processing,NA,A proprietary/new instrument is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,NA,NA,NA,Yes,South Korea,"Korea, Republic of",36.43822861,127.83287048,testdir,NA,NA,NA,NA,NA,a266900000BscIr,96,100,Yes,No,Unknown,Not applicable,Yes,Company-Sponsored,50,100,150,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,Diatheva,a2r69000007lbDx,Diatheva COVID-19 PCR kit,Italy,European Region,Regulatory Achieved,CE-IVDD,Molecular,NA,NA,NA,https://diatheva.com,NA,NA,NA,Covid-19,RNA,NA,SARS-CoV-2,N gene; ORF1b,PCR (conventional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NAT reagent kit (open source),NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,NA,Cartoceto,Yes,Italy,"Cartoceto, Italy",43.76778412,12.88176441,testdir,NA,NA,NA,NA,NA,a266900000BscIH,100,100,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,186,67,253,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Triplex International Biosciences (China) Co., ltd.",a2r69000007lbDy,Covid-19 Antigen Rapid Test Kit,China,Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://tibchina.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab; Nasopharyngeal swab; Oropharyngeal swab; Saliva,NA,NA,Xiamen,Yes,China,"Xiamen, China",24.47950935,118.08947754,testdir,NA,NA,NA,NA,NA,a266900000Bsd8D,98.33,100,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,300,891,1191,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Hoyotek Biomedical Co., ltd.",a2r69000007lbE2,Corona Virus (COVID-19) Antigen Rapid Test (Colloidal Gold),China,Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://hoyotek.cn/index.html,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Saliva,NA,NA,Beijing,Yes,China,"Beijing, China",39.9078064,116.39758301,testdir,NA,NA,NA,NA,NA,a266900000BscVa,92,99,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,100,400,500,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,nal von minden GmbH,a2r69000007lbE3,NADAL COVID-19 Ag plus (Self-Testing),Germany,European Region,Regulatory Achieved,CE-IVDD; Germany BfArM; Other,Immunoassay,NA,NA,NA,https://nal-vonminden.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Nasal swab,NA,NA,Moers,Yes,Germany,"Moers, Germany",51.45304871,6.62174511,testdir,NA,NA,NA,NA,NA,a266900000Bscjr,NA,NA,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Jiangsu Mole Bioscience Co.,Ltd.",a2r69000007lbE4,Rapid IgM-IgG Combined Antibody Test Kit for SARS-Cov-2 (ICA),China,Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://en.molechina.com,NA,NA,NA,Covid-19,Antibody (serological),NA,SARS-CoV-2,IgG; IgM,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Plasma; Serum,NA,NA,Hangzhou,Yes,China,"Hangzhou, China",30.24592018,120.21079254,testdir,NA,NA,NA,NA,NA,a266900000Bscan,96,97,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,50,100,150,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Shenzhen Lvshiyuan Biotechnology Co., ltd.",a2r69000007lbE5,Green spring SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold),China,Western Pacific Region,Regulatory Achieved,CE-IVDD; Other,Immunoassay,NA,NA,NA,https://lsybt.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for self-testing (version available),Mid-turbinate swab; Nasopharyngeal swab; Oropharyngeal swab; Saliva,NA,NA,Shenzhen,Yes,China,"Shenzhen, China",22.54368019,114.0579071,testdir,NA,NA,NA,NA,NA,a266900000Bsd0u,91.88,100,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,160,138,298,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Beijing Diagreat Biotechnologies Co., ltd.",a2r69000007lbE6,2019-nCoV IgG/IgM Antibody Rapid Test Kit (Colloidal gold Assay),China,Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://diagreat.com,NA,NA,NA,Covid-19,Antibody (serological),NA,SARS-CoV-2,IgG; IgM,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Plasma; Serum,NA,NA,Beijing,Yes,China,"Beijing, China",39.9078064,116.39758301,testdir,NA,NA,NA,NA,NA,a266900000BsbzX,93.3,95,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,655,398,1053,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Jiangsu Mole Bioscience Co.,Ltd.",a2r69000007lbE7,SARS-CoV-2 Antigen Test Cassette,China,Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://en.molechina.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasal swab,NA,NA,Hangzhou,Yes,China,"Hangzhou, China",30.24592018,120.21079254,testdir,NA,NA,NA,NA,NA,a266900000Bscaq,97.3,98.4,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,0,250,250,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Hangzhou Realy Tech Co., ltd.",a2r69000007lbE9,Novel Coronavirus (SARS-Cov-2) Antigen Rapid Test Device (nasal swab),China,Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://realytech.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,near Point of Care,Intended for professional use only,Nasal swab,NA,NA,Hangzhou,Yes,China,"Hangzhou, China",30.24592018,120.21079254,testdir,NA,NA,NA,NA,NA,a266900000BscU0,NA,NA,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,0,0,0,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,altona Diagnostics GmbH,a2r69000007lbEA,AltoStar SARS-CoV-2 RT-PCR Kit 1.5,Germany,European Region,Regulatory Achieved,CE-IVDD; MHRA UK,Molecular,NA,NA,NA,https://altona-diagnostics.com,NA,NA,NA,Covid-19,RNA,NA,SARS-CoV-2,E gene; S gene,qPCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NAT reagent kit (proprietary platform),NA,A proprietary/new instrument is required,Fully automated (including sample preparation),Lab-based,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,NA,Hamburg,Yes,Germany,"Hamburg, Germany",NA,NA,testdir,NA,NA,NA,NA,NA,a266900000BsbuW,100,96,Yes,No,Unknown,Not applicable,Yes,Company-Sponsored,53,51,104,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Maccura Biotechnology Co., ltd.",a2r69000007lbEF,SARS-CoV-2 IgM/IgG Antibody Assay Kit by Colloidal Gold Method,China,Western Pacific Region,Regulatory Achieved,CE-IVDD; WHO EUL Under Assessment,Immunoassay,NA,NA,NA,https://maccura.com/en,NA,NA,NA,Covid-19,Antibody (serological),NA,SARS-CoV-2,IgG; IgM,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Plasma; Serum; Whole Blood,NA,NA,"Chengdu,",Yes,China,"Chengdu,, China",30.5725193,104.06651306,testdir,NA,NA,NA,NA,NA,a266900000BscfU,NA,NA,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"OPTI Medical Systems, Inc.",a2r69000007lbEG,OPTI SARS-CoV-2 Total Antibody Test,United States,Region of the Americas,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://optimedical.com/en,NA,NA,NA,Covid-19,Antibody (serological),NA,SARS-CoV-2,Total Antibody,ELISA/EIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IA Reagent Kit,NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Plasma; Serum,NA,NA,Roswell,Yes,United States,"Roswell, United States",33.39313126,-104.52275848,testdir,NA,NA,NA,NA,NA,a266900000BscnT,96.8,98,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,201,297,498,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,Actim Oy,a2r69000007lbEH,Actim ELISA SARS-CoV-2 IgG,Finland,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://actimtest.com,NA,NA,NA,Covid-19,Antibody (serological),NA,SARS-CoV-2,IgG,ELISA/EIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IA Reagent Kit,NA,Standard lab instrumentation is required,Manual,Lab-based,Intended for professional use only,Serum,NA,NA,Joensuu,Yes,Finland,"Joensuu, Finland",62.60057449,29.76221275,testdir,NA,NA,NA,NA,NA,a266900000Bsbsb,96.2,98.1,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,107,563,670,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,Attomarker ltd.,a2r69000007lbEI,COVID-19 Triple Antibody Test,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://attomarker.com,NA,NA,NA,Covid-19,Antibody (serological),NA,SARS-CoV-2,Total Antibody,ELISA/EIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IA Reagent Kit,NA,A proprietary/new instrument is required,Automated (excluding sample preparation),True Point of Care,Intended for professional use only,Serum,NA,NA,Exeter,Yes,United Kingdom,"Exeter, United Kingdom",50.72198105,-3.53140807,testdir,NA,NA,NA,NA,NA,a266900000Bsbxv,96,95,Yes,No,Unknown,Not applicable,Yes,Company-Sponsored,200,202,402,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,Attomarker ltd.,a2r69000007lbEI,COVID-19 Triple Antibody Test,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://attomarker.com,NA,NA,NA,Covid-19,Antibody (serological),NA,SARS-CoV-2,Total Antibody,ELISA/EIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IA Reagent Kit,NA,A proprietary/new instrument is required,Automated (excluding sample preparation),True Point of Care,Intended for professional use only,Serum,NA,NA,Exeter,Yes,United Kingdom,"Exeter, United Kingdom",50.72198105,-3.53140807,testdir,NA,NA,NA,NA,NA,a266900000Bsbxw,96,95,Yes,No,Unknown,Not applicable,Yes,Company-Sponsored,200,202,402,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,Attomarker ltd.,a2r69000007lbEI,COVID-19 Triple Antibody Test,United Kingdom,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://attomarker.com,NA,NA,NA,Covid-19,Antibody (serological),NA,SARS-CoV-2,Total Antibody,ELISA/EIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IA Reagent Kit,NA,A proprietary/new instrument is required,Automated (excluding sample preparation),True Point of Care,Intended for professional use only,Serum,NA,NA,Exeter,Yes,United Kingdom,"Exeter, United Kingdom",50.72198105,-3.53140807,testdir,NA,NA,NA,NA,NA,a266900000Bsbxx,96,95,Yes,No,Unknown,Not applicable,Yes,Company-Sponsored,200,202,402,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"NanoEntek, Inc.",a2r69000007lbEJ,FREND COVID-19 Ag+FLU A&B,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD; Other,Immunoassay,NA,NA,NA,https://nanoentek.com/?lang=en,NA,NA,NA,Covid-19,Antigen,NA,Influenza A; Influenza B; SARS-CoV-2,InfA NP gene; InfB NP gene; N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is required,Fully automated (including sample preparation),True Point of Care,Intended for professional use only,Nasopharyngeal swab,NA,NA,Seoul,Yes,South Korea,"Seoul, Korea, Republic of",37.56829453,126.99778748,testdir,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Unknown,Not applicable,NA,NA,NA,NA,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.07.2023,Pro-Lab Diagnostics,a2r69000007lbEK,Proflow SARS-CoV-2 Antigen Test,United States,Region of the Americas,Regulatory Achieved,CE-IVDD; MHRA UK,Immunoassay,NA,NA,NA,NA,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,Unknown,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,NA,NA,Ontario,Yes,United States,"Ontario, United States",NA,NA,testdir,NA,NA,NA,NA,NA,a266900000Bscqj,NA,NA,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,LumiraDx Limited,a2r69000007lbEL,LumiraDx SARS-CoV-2 Ag Test,United Kingdom,European Region,Regulatory Achieved,CE-IVDD; Health Canada; Japan MHLW; MHRA UK; US FDA EUA; WHO EUL,Immunoassay,NA,NA,NA,https://lumiradx.com/us-en/what-we-do/diagnostics/fast-lab-solutions,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cartridge-based processing,NA,A proprietary/new instrument is required,Fully automated (including sample preparation),True Point of Care,Intended for professional use only,Nasal swab; Nasopharyngeal swab,NA,NA,London,Yes,United Kingdom,"London, United Kingdom",51.50682449,-0.12611847,testdir,NA,NA,NA,NA,NA,a266900000Bscf9,97.5,97.7,Yes,Yes,Unknown,Not applicable,Yes,Company-Sponsored,40,215,255,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),No impact (analytical/clinical studies conducted),No expected impact (in silico analyses),Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"JOINSTAR BIOMEDICAL TECHNOLOGY CO.,ltd.",a2r69000007lbEM,COVID-19 Antigen Rapid Test (Colloidal Gold),China,Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://joinstar.cn,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,Unknown,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,NA,NA,Hangzhou,Yes,China,"Hangzhou, China",30.24592018,120.21079254,testdir,NA,NA,NA,NA,NA,a266900000BscbL,96.1,97.6,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,BioMaxima S.A.,a2r69000007lbEN,COVID-19 Antigen Rapid Test,Poland,European Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://biomaxima.com,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,No instrumentation is required,Manual,True Point of Care,Intended for professional use only,Nasopharyngeal swab,NA,NA,LUBLIN,Yes,Poland,"LUBLIN, Poland",51.2181015,22.56389999,testdir,NA,NA,NA,NA,NA,a266900000Bsc58,90.4,99.5,NA,No,Unknown,Not applicable,Yes,Company-Sponsored,52,200,252,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06.07.2023,"Philosys Co., ltd.",a2r69000007lbEO,Gmate Covid-19,"Korea, Republic of",Western Pacific Region,Regulatory Achieved,CE-IVDD,Immunoassay,NA,NA,NA,https://topfield.co.kr,NA,NA,NA,Covid-19,Antigen,NA,SARS-CoV-2,N-protein,Lateral Flow Assay,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rapid diagnostic test (strip or cassette),NA,A proprietary/new instrument is required,Manual,True Point of Care,Intended for professional use only,Nasal swab; Sputum,NA,NA,"Gunsan-si, Jeollabuk-do",Yes,South Korea,"Gunsan-si, Jeollabuk-do, Korea, Republic of",35.97930527,126.71838379,testdir,NA,NA,NA,NA,NA,a266900000BscpH,93,97,Yes,No,Unknown,Not applicable,Yes,Company-Sponsored,0,0,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
